symbol,year,field,ours_thousands,dps_thousands,ratio,status
AEL,2022,Sales,0.0,2927.0,,MISMATCH
AEL,2023,Sales,32149.5,32150.0,1.0,EXACT
AEL,2023,PAT,2438.1,2438.0,1.0,EXACT
BAFS,2023,Sales,4543139.2,4543139.0,1.0,EXACT
HMM,2022,PAT,18178.9,18179.0,1.0,EXACT
JSML,2022,Sales,5180431.2,5180431.0,1.0,EXACT
JSML,2022,PAT,127721.1,127721.0,1.0,EXACT
KASBM,2022,PAT,6163.3,6163.0,1.0,EXACT
PAKMI,2022,PAT,1635.6,1636.0,0.9998,EXACT
PRET,2022,Sales,19976813.1,19976813.0,1.0,EXACT
STJT,2024,Sales,7953428,7953428.0,1.0,EXACT
TATM,2023,Sales,34910638,34910638.0,1.0,EXACT
TATM,2024,Sales,45823700,45823700.0,1.0,EXACT
THALL,2022,Sales,37351493,37351493.0,1.0,EXACT
THALL,2022,PAT,4257248,4257248.0,1.0,EXACT
THALL,2023,Sales,31925003,31925003.0,1.0,EXACT
THALL,2023,PAT,2750759,2750759.0,1.0,EXACT
