symbol,year,agent,source,unit,unit_header_text,l1_ok,gp_ok,confidence,rotated,rotation_fixed,bs_page,pl_page,pdf_id,notes
AEL,2022,agent_2,pdf,full-rupees,RUPEES,True,True,high,True,-90,26,27,194428,"BS page was rotated 90deg CCW; fixed with PIL rotate(-90). Sales 2022 shown as dash (zero); GP=0-6,7"
AEL,2023,agent_2,pdf,full-rupees,RUPEES,True,True,high,True,-90,25,26,216565,"BS page rotated 90deg CCW, fixed with PIL rotate(-90). BS is single page (p25) containing both sides"
ARPAK,2015,agent_4,pdf,full-rupees,- - - - Rupees - - - -,True,,high,False,,24,25,symbolic,"Investment company: no sales/COGS/inventory; Income 13,635,668; TL=deferred tax+current liab."
ARPAK,2016,agent_4,pdf,full-rupees,- - - - Rupees - - - -,True,,high,False,,24,25,symbolic,"Investment company: no sales/COGS/inventory; Income 10,903,970."
ARPAK,2017,agent_4,pdf,full-rupees,- - - - Rupees - - - -,True,,high,False,,26,27,symbolic,"Investment company: no sales/COGS/inventory; Income 11,642,498."
ARPAK,2019,agent_4,pdf,full-rupees,- - - - - - - - - Rupees - - - - - - - - -,True,,high,False,,34,35,symbolic,"Investment company: no sales/COGS/inventory; Income 16,029,932; ""Shareholders equity"" line."
ARPAK,2021,agent_4,pdf,full-rupees,- - - - Rupees - - - -,True,,high,False,,32,33,symbolic,"Investment company: no sales/COGS/inventory; Income 13,060,638; big impairment in associate."
ARPAK,2023,agent_4,pdf,full-rupees,- - - - Rupees - - - -,True,,high,False,,32,33,symbolic,"Investment company: no sales/COGS/inventory; Income 15,780,939."
AWWAL,2016,agent_4,pdf,full-rupees,Rupees,True,,high,False,,21,22,AWWAL-ANNUAL-2016,"Modaraba: income-based P&L (advisory fee, Musharika finance income), no sales/COGS/inventory; first "
AWWAL,2017,agent_4,pdf,full-rupees,Rupees,True,,high,False,,23,24,AWWAL-ANNUAL-2017,"Modaraba: income-based P&L, no sales/COGS/inventory."
BIFO,2013,agent_5,pdf,full-rupees,Rupees,True,True,high,False,,17,18,BIFO-ANNUAL-2013,TA/TL computed as sum of as-printed components; no printed total lines. Unit header on audited state
BIFO,2014,agent_5,pdf,full-rupees,Rupees,True,True,high,False,,20,21,BIFO-ANNUAL-2014,TA/TL computed as sum of as-printed components; no printed total lines. Unit header on audited state
BIFO,2015,agent_5,pdf,full-rupees,Rupees,True,True,high,False,,20,21,BIFO-ANNUAL-2015,TA/TL computed as sum of as-printed components; no printed total lines. Unit header on audited state
BIFO,2016,agent_5,pdf,full-rupees,Rupees,True,True,high,False,,20,21,BIFO-ANNUAL-2016,TA/TL computed as sum of as-printed components; no printed total lines. Unit header on audited state
BIFO,2017,agent_5,pdf,full-rupees,Rupees,True,True,high,False,,29,30,BIFO-ANNUAL-2017,TA/TL computed as sum of as-printed components; no printed total lines. Unit header on audited state
BIFO,2018,agent_5,pdf,full-rupees,Rupees,True,True,high,False,,35,36,119193,TA/TL computed as sum of as-printed components; no printed total lines. Unit header on audited state
BIFO,2020,agent_5,pdf,full-rupees,Rupees,True,True,high,False,,33,34,153845,TA/TL computed as sum of as-printed components; no printed total lines. Unit header on audited state
HMM,2018,agent_5,pdf,full-rupees,Rupees,True,,high,False,,26,27,118934,"Habib Metropolitan Modaraba. Modaraba entity: no sales/COGS structure (income 12,657,349; expenses 8"
HMM,2019,agent_5,pdf,full-rupees,Rupees,True,,high,False,,29,30,136092,"Habib Metropolitan Modaraba. Modaraba entity: no sales/COGS structure (income 29,393,602)."
