level,symbol,year,month,defect_type,missing_fields,detail
HOLE,ADMM,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,AEL,2022,,no_financial_row,ALL_FINANCIALS,span 2013-2023
HOLE,AGIL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,AGL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2024
HOLE,AGP,2021,,no_financial_row,ALL_FINANCIALS,span 2018-2024
HOLE,AGSML,2016,,no_financial_row,ALL_FINANCIALS,span 2015-2025
HOLE,AHTM,2015,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,AHTM,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,AHTM,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,AKGL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,AKZO,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2018
HOLE,ALNRS,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,ALTN,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,AMTEX,2015,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,AMTEX,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,ANSM,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,ARUJ,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,ASTM,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,ATLH,2018,,no_financial_row,ALL_FINANCIALS,span 2013-2026
HOLE,AVN,2023,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,BAFS,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,BAPL,2015,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,BAPL,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,BCML,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2021
HOLE,BGL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,BNWM,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
