ticker,first_date,last_date,n_days,n_months
786,"(2018, 9, 3)","(2026, 8, 3)",96,96
AABS,"(2013, 12, 2)","(2026, 8, 3)",153,153
AAL,"(2021, 10, 25)","(2021, 10, 29)",1,1
AASM,"(2013, 12, 3)","(2021, 10, 29)",42,42
AATM,"(2013, 12, 4)","(2026, 8, 3)",55,55
ABL,"(2013, 12, 2)","(2026, 8, 3)",153,153
ABOT,"(2013, 12, 2)","(2026, 8, 3)",153,153
ABSON,"(2021, 10, 25)","(2021, 10, 29)",1,1
ACPL,"(2013, 12, 2)","(2026, 8, 3)",153,153
ADAMS,"(2013, 12, 3)","(2026, 8, 3)",153,153
ADMM,"(2013, 12, 2)","(2026, 8, 3)",153,153
ADOS,"(2013, 12, 2)","(2023, 1, 2)",110,110
AEL,"(2016, 1, 27)","(2024, 1, 5)",95,95
AGHA,"(2020, 11, 2)","(2026, 8, 3)",70,70
AGIC,"(2013, 12, 2)","(2026, 8, 3)",153,153
AGIL,"(2013, 12, 2)","(2026, 8, 3)",153,153
AGL,"(2013, 12, 2)","(2026, 8, 3)",153,153
AGP,"(2018, 3, 5)","(2026, 8, 3)",102,102
AGSML,"(2013, 12, 11)","(2026, 8, 3)",132,132
AGTL,"(2013, 12, 2)","(2026, 8, 3)",153,153
AHCL,"(2013, 12, 2)","(2026, 8, 3)",153,153
AHL,"(2013, 12, 2)","(2026, 8, 3)",153,153
AHTM,"(2013, 12, 2)","(2026, 8, 3)",112,112
AICL,"(2013, 12, 2)","(2026, 8, 3)",153,153
AIRLINK,"(2021, 9, 22)","(2026, 8, 3)",60,60
AKBL,"(2013, 12, 2)","(2026, 8, 3)",153,153
AKDCL,"(2013, 12, 2)","(2021, 7, 8)",91,91
AKDHL,"(2021, 7, 9)","(2026, 8, 3)",62,62
AKDSL,"(2022, 8, 2)","(2026, 8, 3)",49,49
AKGL,"(2013, 12, 10)","(2026, 8, 3)",134,134
AKZO,"(2013, 12, 2)","(2020, 8, 7)",81,81
ALAC,"(2018, 7, 16)","(2026, 8, 3)",98,98
ALIFE,"(2022, 3, 4)","(2026, 8, 3)",54,54
ALNRS,"(2013, 12, 2)","(2026, 8, 3)",151,151
ALQT,"(2013, 12, 13)","(2017, 11, 2)",31,31
ALTN,"(2013, 12, 5)","(2026, 8, 3)",152,152
AMBL,"(2013, 12, 2)","(2026, 8, 3)",137,137
AMSL,"(2021, 10, 25)","(2021, 10, 29)",1,1
AMTEX,"(2013, 12, 2)","(2026, 8, 3)",104,104
