symbol,year,layer,field,vlm_value,ref_value,detail,resolution
786,2018,L5,current_liabilities,18619043,282685260.0,VLM vs parser,
786,2024,L5,current_assets,257401183,262174472.0,VLM vs parser,
AABS,2013,L1,TA=TL+Eq,4210282,4117273,,
AABS,2013,L4,current_assets,1975386,1995817.0,vs opendoors,
AABS,2013,L5,cash,172006,178979.0,VLM vs parser,
AABS,2018,L5,net_income,1293780,1293.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
AABS,2024,L2,cash,74877,86062.0,prior-year overlap,
AABS,2024,L5,cash,74877,86062.0,VLM vs parser,
ABL,2019,L3,Eq,107304833,2344997,YoY x45.8,
ABL,2019,L3,TA,1350598909,27304506,YoY x49.5,
ABOT,2014,L2.5,total_assets,13765595.0,11168004.0,summary-vs-audited,parser summary misaligned (known bug); audited value confirmed: VLM==parser
ABOT,2014,L2.5,total_equity,10871600.0,8747265.0,summary-vs-audited,parser summary misaligned (known bug); audited value confirmed: VLM==parser
ABOT,2014,L2.5,total_liabilities,2893995.0,2420739.0,summary-vs-audited,parser summary misaligned (known bug); audited value confirmed: VLM==parser
ABOT,2019,L2.5,total_equity,13372393,13235011.0,summary-vs-audited,parser summary misaligned (known bug); audited value confirmed: VLM==parser
ABOT,2019,L2.5,total_liabilities,7380287,7046246.0,summary-vs-audited,parser summary misaligned (known bug); audited value confirmed: VLM==parser
ACPL,2016,L5,current_assets,7196874,7344459.0,VLM vs parser,
ACPL,2022,L5,current_assets,10479354,12394241.0,VLM vs parser,
ACPL,2023,L5,current_assets,10565670,12495357.0,VLM vs parser,
ACPL,2024,L5,current_assets,12108218,17169143.0,VLM vs parser,
ACPL,2024,L5,current_liabilities,20216579,23578567.0,VLM vs parser,
ADAMS,2016,L2,cash,40453.287,56351262.0,prior-year overlap,
ADAMS,2018,L2,cash,28661.326,28661326.0,prior-year overlap,
ADAMS,2018,L2,net_income,-30738.65,-30738650.0,prior-year overlap,
ADMM,2020,L5,inventory,321958,3219581.0,VLM vs parser,
ADMM,2024,L5,current_assets,10962287,11171385.0,VLM vs parser,
ADOS,2021,L3,Eq,1434.053,19383.325,YoY x0.1,
ADOS,2022,L3,Eq,109160.208,1434.053,YoY x76.1,
ADOS,2022,L3,Sales,146198.787,21820.97,YoY x6.7,
AEL,2017,L2,cash,776.178,48539895.0,prior-year overlap,
AEL,2017,L2,revenue,241919.51,241919510.0,prior-year overlap,
AEL,2017,L2,total_equity,155193.906,155193906.0,prior-year overlap,
