ticker,year,shares
786,2013,15840000
786,2014,15840000
786,2015,15840000
786,2016,15840000
786,2017,15840000
786,2018,15840000
786,2019,15840000
786,2020,15840000
786,2021,15840000
786,2022,15840000
786,2023,15038806
786,2024,14892105
786,2025,14944304
786,2026,19964501
AABS,2013,17362448
AABS,2014,17362448
AABS,2015,17362448
AABS,2016,17362448
AABS,2017,17362448
AABS,2018,17362448
AABS,2019,17362448
AABS,2020,17362448
AABS,2021,17362448
AABS,2022,17362448
AABS,2023,17362251
AABS,2024,17362916
AABS,2025,17361788
AABS,2026,17362300
ABL,2013,1144993031
ABL,2014,1144993031
ABL,2015,1144993031
ABL,2016,1144993031
ABL,2017,1144993031
ABL,2018,1144993031
ABL,2019,1144993031
ABL,2020,1144993031
ABL,2021,1144993031
ABL,2022,1144993031
ABL,2023,1145032001
ABL,2024,1145176733
ABL,2025,1145028613
ABL,2026,1145073830
ABOT,2013,97888107
ABOT,2014,97888107
ABOT,2015,97888107
ABOT,2016,97888107
ABOT,2017,97888107
ABOT,2018,97888107
ABOT,2019,97888107
ABOT,2020,97888107
ABOT,2021,97888107
ABOT,2022,97888107
ABOT,2023,98043820
ABOT,2024,97909334
ABOT,2025,97904633
ABOT,2026,97900302
ACPL,2013,137449877
ACPL,2014,137449877
ACPL,2015,137449877
ACPL,2016,137449877
ACPL,2017,137449877
ACPL,2018,137449877
ACPL,2019,137449877
ACPL,2020,137449877
ACPL,2021,137449877
ACPL,2022,137449877
ACPL,2023,137448957
ACPL,2024,137438227
ACPL,2025,137388175
ACPL,2026,137426961
ADAMS,2013,17291485
ADAMS,2014,17291485
ADAMS,2015,17291485
ADAMS,2016,17291485
ADAMS,2017,17291485
ADAMS,2018,17291485
ADAMS,2019,17291485
ADAMS,2020,17291485
ADAMS,2021,17291485
ADAMS,2022,17291485
ADAMS,2023,17281912
ADAMS,2024,17277778
ADAMS,2025,17278652
ADAMS,2026,17291008
ADMM,2013,84000000
ADMM,2014,84000000
ADMM,2015,84000000
ADMM,2016,84000000
ADMM,2017,84000000
ADMM,2018,84000000
ADMM,2019,84000000
ADMM,2020,84000000
ADMM,2021,84000000
ADMM,2022,84000000
ADMM,2023,83986136
ADMM,2024,83977039
ADMM,2025,83979494
ADMM,2026,84000000
AEL,2013,8126667
AEL,2014,8126667
AEL,2015,8126667
AEL,2016,8126667
AEL,2017,8126667
AEL,2018,8126667
AEL,2019,8126667
AEL,2020,8126667
AEL,2021,8126667
AEL,2022,8126667
AEL,2023,8126667
AEL,2024,8126667
AEL,2025,8126667
AEL,2026,8126667
AGHA,2013,721381051
AGHA,2014,721381051
AGHA,2015,721381051
AGHA,2016,721381051
AGHA,2017,721381051
AGHA,2018,721381051
AGHA,2019,721381051
AGHA,2020,721381051
AGHA,2021,721381051
AGHA,2022,721381051
AGHA,2023,721381051
AGHA,2024,604159609
AGHA,2025,603264000
AGHA,2026,721381051
AGIC,2013,71906432
AGIC,2014,71906432
AGIC,2015,71906432
AGIC,2016,71906432
AGIC,2017,71906432
AGIC,2018,71906432
AGIC,2019,71906432
AGIC,2020,71906432
AGIC,2021,71906432
AGIC,2022,71906432
AGIC,2023,71846844
AGIC,2024,79024096
AGIC,2025,79939241
AGIC,2026,100662656
AGIL,2013,36000000
AGIL,2014,36000000
AGIL,2015,36000000
AGIL,2016,36000000
AGIL,2017,36000000
AGIL,2018,36000000
AGIL,2019,36000000
AGIL,2020,36000000
AGIL,2021,36000000
AGIL,2022,36000000
AGIL,2023,36000000
AGIL,2024,36020024
AGIL,2025,35990909
AGIL,2026,36000000
AGL,2013,599084224
AGL,2014,599084224
AGL,2015,599084224
AGL,2016,599084224
AGL,2017,599084224
AGL,2018,599084224
AGL,2019,599084224
AGL,2020,599084224
AGL,2021,599084224
AGL,2022,599084224
AGL,2023,599084224
AGL,2024,391982671
AGL,2025,540081157
AGL,2026,599084224
AGP,2013,280006667
AGP,2014,280006667
AGP,2015,280006667
AGP,2016,280006667
AGP,2017,280006667
AGP,2018,280006667
AGP,2019,280006667
AGP,2020,280006667
AGP,2021,280006667
AGP,2022,280006667
AGP,2023,280043765
AGP,2024,280051210
AGP,2025,279989798
AGP,2026,280000000
AGSML,2013,79261700
AGSML,2014,79261700
AGSML,2015,79261700
AGSML,2016,79261700
AGSML,2017,79261700
AGSML,2018,79261700
AGSML,2019,79261700
AGSML,2020,79261700
AGSML,2021,79261700
AGSML,2022,79261700
AGSML,2023,79261700
AGSML,2024,79261700
AGSML,2025,79261700
AGSML,2026,79261700
AGTL,2013,57958172
AGTL,2014,57958172
AGTL,2015,57958172
AGTL,2016,57958172
AGTL,2017,57958172
AGTL,2018,57958172
AGTL,2019,57958172
AGTL,2020,57958172
AGTL,2021,57958172
AGTL,2022,57958172
AGTL,2023,57962095
AGTL,2024,57965554
AGTL,2025,57968494
AGTL,2026,57964201
AHCL,2013,4216967470
AHCL,2014,4216967470
AHCL,2015,4216967470
AHCL,2016,4216967470
AHCL,2017,4216967470
AHCL,2018,4216967470
AHCL,2019,4216967470
AHCL,2020,4216967470
AHCL,2021,4216967470
AHCL,2022,4216967470
AHCL,2023,408447717
AHCL,2024,4210088393
AHCL,2025,4215486525
AHCL,2026,4216967470
AHL,2013,65340079
AHL,2014,65340079
AHL,2015,65340079
AHL,2016,65340079
AHL,2017,65340079
AHL,2018,65340079
AHL,2019,65340079
AHL,2020,65340079
AHL,2021,65340079
AHL,2022,65340079
AHL,2023,65255124
AHL,2024,65378953
AHL,2025,65327685
AHL,2026,65340000
AHTM,2013,8473148
AHTM,2014,8473148
AHTM,2015,8473148
AHTM,2016,8473148
AHTM,2017,8473148
AHTM,2018,8473148
AHTM,2019,8473148
AHTM,2020,8473148
AHTM,2021,8473148
AHTM,2022,8473148
AHTM,2023,8470191
AHTM,2024,8471042
AHTM,2025,8471043
AHTM,2026,8471535
AICL,2013,349798782
AICL,2014,349798782
AICL,2015,349798782
AICL,2016,349798782
AICL,2017,349798782
AICL,2018,349798782
AICL,2019,349798782
AICL,2020,349798782
AICL,2021,349798782
AICL,2022,349798782
AICL,2023,350159443
AICL,2024,350060674
AICL,2025,350117190
AICL,2026,350000000
AIRLINK,2013,395269231
AIRLINK,2014,395269231
AIRLINK,2015,395269231
AIRLINK,2016,395269231
AIRLINK,2017,395269231
AIRLINK,2018,395269231
AIRLINK,2019,395269231
AIRLINK,2020,395269231
AIRLINK,2021,395269231
AIRLINK,2022,395269231
AIRLINK,2023,395269231
AIRLINK,2024,395269231
AIRLINK,2025,395269231
AIRLINK,2026,395269231
AKBL,2013,1449648969
AKBL,2014,1449648969
AKBL,2015,1449648969
AKBL,2016,1449648969
AKBL,2017,1449648969
AKBL,2018,1449648969
AKBL,2019,1449648969
AKBL,2020,1449648969
AKBL,2021,1449648969
AKBL,2022,1449648969
AKBL,2023,1449267005
AKBL,2024,1448840179
AKBL,2025,1449670629
AKBL,2026,1449299207
AKDHL,2013,2507273
AKDHL,2014,2507273
AKDHL,2015,2507273
AKDHL,2016,2507273
AKDHL,2017,2507273
AKDHL,2018,2507273
AKDHL,2019,2507273
AKDHL,2020,2507273
AKDHL,2021,2507273
AKDHL,2022,2507273
AKDHL,2023,2507273
AKDHL,2024,2510811
AKDHL,2025,2482353
AKDHL,2026,2507273
AKGL,2013,9990850
AKGL,2014,9990850
AKGL,2015,9990850
AKGL,2016,9990850
AKGL,2017,9990850
AKGL,2018,9990850
AKGL,2019,9990850
AKGL,2020,9990850
AKGL,2021,9990850
AKGL,2022,9990850
AKGL,2023,10016923
AKGL,2024,9982784
AKGL,2025,10026316
AKGL,2026,10000000
AKZO,2013,46443250
AKZO,2014,46443250
AKZO,2015,46443250
AKZO,2016,46427342
AKZO,2017,46434846
AKZO,2018,46424341
AKZO,2019,46437648
AKZO,2020,46443250
AKZO,2021,46443250
AKZO,2022,46443250
AKZO,2023,46443250
AKZO,2024,46443250
AKZO,2025,46443250
AKZO,2026,46443250
ALAC,2013,150172014
ALAC,2014,150172014
ALAC,2015,150172014
ALAC,2016,150172014
ALAC,2017,150172014
ALAC,2018,150172014
ALAC,2019,150172014
ALAC,2020,150172014
ALAC,2021,150172014
ALAC,2022,150172014
ALAC,2023,150172014
ALAC,2024,151230000
ALAC,2025,149959524
ALAC,2026,150172014
ALNRS,2013,20473702
ALNRS,2014,20473702
ALNRS,2015,20473702
ALNRS,2016,20473702
ALNRS,2017,20473702
ALNRS,2018,20473702
ALNRS,2019,20473702
ALNRS,2020,20473702
ALNRS,2021,20473702
ALNRS,2022,20473702
ALNRS,2023,20462692
ALNRS,2024,20467360
ALNRS,2025,20466857
ALNRS,2026,20473702
ALTN,2013,363380000
ALTN,2014,363380000
ALTN,2015,363380000
ALTN,2016,363380000
ALTN,2017,363380000
ALTN,2018,363380000
ALTN,2019,363380000
ALTN,2020,363380000
ALTN,2021,363380000
ALTN,2022,363380000
ALTN,2023,363314937
ALTN,2024,363479631
ALTN,2025,363270684
ALTN,2026,363380000
AMBL,2013,545040671
AMBL,2014,545040671
AMBL,2015,545040671
AMBL,2016,545040671
AMBL,2017,545040671
