country,symbol,year,TA,TL,Eq,CA,CL,Sales,COGS,GP,PAT,Cash,Inv,PPE,dividends
IR,آباد,2001,29584,18362,11222,27348,17245,,,8783,8794,49,12225,761,
IR,آباد,2002,48012,30455,17557,46628,30395,,,11008,11353,271,27982,720,
IR,آباد,2003,57000,30972,26028,55623,30919,6864,,5567,5750,158,22391,680,
IR,آباد,2004,82016,28515,53501,79171,25366,,,7045,11040,5813,32578,2193,
IR,آباد,2005,113058,28704,84354,106948,28498,,,13467,14584,496,55779,1015,
IR,آباد,2006,183548,32651,150897,160603,32269,27917,,18136,21083,33228,94160,3739,22500
IR,آباد,2007,225501,55316,170185,209305,53280,,,43844,46488,29866,143968,4531,22500
IR,آباد,2008,273400,67522,205878,206179,67112,,,36258,37560,11843,150925,5263,33000
IR,آباد,2009,275080,92490,182590,222655,92414,,,5252,10699,432,169705,10381,7500
IR,آباد,2010,282455,72113,210342,251381,72113,,,30722,36353,1623,183295,8038,25350
IR,آباد,2011,273838,61981,211857,261024,61981,,,31211,28649,9828,173540,7411,26250
IR,آباد,2012,278921,60903,218018,268865,60903,40489,,28656,32411,15861,184288,6858,27000
IR,آباد,2013,282645,60373,222272,267750,60373,47771,19679,28092,33597,35966,209972,8922,30000
IR,آباد,2014,314710,43918,270792,292630,43918,71332,13926,57406,54936,123,253791,8406,46000
IR,آباد,2015,347757,97144,250613,323000,97144,31904,6721,25183,20584,13145,279657,8040,2400
IR,آباد,2016,352345,66719,285626,336286,66719,4937,990,3947,-1731,279,307031,7348,
IR,آباد,2017,357266,71080,286186,348813,71080,12863,5322,7541,971,296,315686,5745,1200
IR,آباد,2018,352897,67681,285216,314503,67681,14919,3355,11564,1999,414,295722,4681,4800
IR,آباد,2019,342274,124071,218203,256743,124071,21417,4528,16889,-2750,1096,238968,3918,
IR,آباد,2020,450576,125320,325256,298512,125320,155088,13749,141339,121670,3087,275364,11984,12240
IR,آباد,2021,474155,157013,317142,363312,157013,33669,6009,27660,4126,9183,309590,9157,3600
IR,آباد,2022,507530,242682,264848,392646,240193,64679,8692,55987,11291,6600,326395,44637,1200
IR,آباد,2023,12146376,260063,11886313,95270,258003,130983,43772,87211,160,8779,0,315349,
IR,آباد,2024,12150502,257743,11892759,60051,254806,190592,89449,101143,6446,5290,0,320368,
IR,آباد,2025,12218975,310398,11908577,123984,309803,286783,114922,171861,25818,17781,0,325524,
IR,آبادا,2013,8877120,8150904,726216,332997,8150904,508447,321396,187051,185361,74380,160526,8535183,
IR,آبادا,2014,9781424,8318945,1462479,1455087,8318918,2152099,1236264,915835,701851,154982,29127,8316971,
IR,آبادا,2015,8702433,7467696,1234737,364075,7467456,1987244,1026528,960716,832658,9204,54387,8312437,
IR,آبادا,2016,8406358,6997128,1409230,518176,6996797,2339674,1403613,936061,924693,42609,49060,7847151,
IR,آبادا,2017,8165628,6683129,1482499,754056,6682404,1932764,982922,949842,905529,43353,62839,7370690,
IR,آبادا,2018,8990058,7516178,1473880,2175918,7514708,1888940,1025944,862996,806261,27663,132851,6773187,725600
