symbol,year,field,our_normalized,external,ratio,level,source
SHJS,2022,Sales,6615125,6615125.0,1.000,EXACT,dps
BGL,2023,Sales,186006,186006.0,1.000,EXACT,dps
SRVI,2024,Sales,16636187,16636187.0,1.000,EXACT,dps
SRVI,2024,PAT,324411,324421.0,1.000,EXACT,dps
SRVI,2024,TA,22437441,114556952.0,0.196,WARN,sarmaaya
SRVI,2024,TL,13947260,87144760.0,0.160,WARN,sarmaaya
SRVI,2024,Eq,8490181,14764759.0,0.575,loose,sarmaaya
SRVI,2024,CA,6835796,61946327.0,0.110,WARN,sarmaaya
HMM,2020,PAT,28013.895,28014.0,1.000,EXACT,dps
JKSM,2022,PAT,3661520,3661520.0,1.000,EXACT,dps
TELE,2023,Sales,1767860,1767860.0,1.000,EXACT,dps
TELE,2023,PAT,136119,136119.0,1.000,EXACT,dps
KAPCO,2023,Sales,25435312,136599624.0,0.186,MISMATCH,dps
KAPCO,2023,PAT,3958757,3958757.0,1.000,EXACT,dps
HMB,2025,PAT,22584683.0,22584683.0,1.000,EXACT,dps
HMB,2025,TA,1658877631,1691682092.0,0.981,EXACT,sarmaaya
HMB,2025,TL,1531068147,1557508412.0,0.983,EXACT,sarmaaya
HMB,2025,Eq,127809484,128874964.0,0.992,EXACT,sarmaaya
HMB,2025,PAT,22584683.0,22663415.0,0.997,EXACT,sarmaaya
TRIPF,2024,Sales,29413004,29413004.0,1.000,EXACT,dps
TRIPF,2024,PAT,863506.0,863506.0,1.000,EXACT,dps
TRIPF,2024,TA,32263508,32651410.0,0.988,EXACT,sarmaaya
TRIPF,2024,TL,27084951,26891964.0,1.007,EXACT,sarmaaya
TRIPF,2024,Eq,5178557,5178557.0,1.000,EXACT,sarmaaya
TRIPF,2024,CA,12969883,12969883.0,1.000,EXACT,sarmaaya
MACFL,2024,Sales,5619408.233,5619408.0,1.000,EXACT,dps
MACFL,2024,PAT,257720.0,257720.0,1.000,EXACT,dps
MACFL,2024,TA,4805661.301,4913457.0,0.978,EXACT,sarmaaya
MACFL,2024,TL,2568690.03,2676485.0,0.960,EXACT,sarmaaya
MACFL,2024,Eq,2236971.271,2236971.0,1.000,EXACT,sarmaaya
MACFL,2024,CA,2536540.862,2536541.0,1.000,EXACT,sarmaaya
PCAL,2024,Sales,26167037,26167037.0,1.000,EXACT,dps
PCAL,2024,PAT,723651.0,723651.0,1.000,EXACT,dps
PCAL,2024,TA,31670607,31818372.0,0.995,EXACT,sarmaaya
PCAL,2024,TL,21990506,21650229.0,1.016,EXACT,sarmaaya
PCAL,2024,Eq,9680101,9680101.0,1.000,EXACT,sarmaaya
PCAL,2024,CA,14904079,14904079.0,1.000,EXACT,sarmaaya
MEHT,2022,Sales,40969325.542,40969326.0,1.000,EXACT,dps
MEHT,2022,PAT,3178195.303,3178195.0,1.000,EXACT,dps
ELSM,2023,PAT,419735.09,419735.0,1.000,EXACT,dps
HICL,2024,PAT,236852.0,236852.0,1.000,EXACT,dps
SAPT,2023,PAT,3291173.0,3291173.0,1.000,EXACT,dps
FIMM,2025,Sales,1247436.532,1247436.0,1.000,EXACT,dps
EPCL,2025,PAT,610340.0,610340.0,1.000,EXACT,dps
EPCL,2025,CA,344446462.0,55199224.0,6.240,WARN,sarmaaya
EPCL,2025,COGS,-73191386.0,73439406.0,0.997,EXACT,sarmaaya
EPCL,2025,PAT,610340.0,-3898186.0,-0.157,MISMATCH,sarmaaya
CLOV,2023,Sales,59412,59412.0,1.000,EXACT,dps
BWHL,2024,PAT,240665,240665.0,1.000,EXACT,dps
BWHL,2024,TA,2519021,2546406.0,0.989,EXACT,sarmaaya
BWHL,2024,TL,402171,429556.0,0.936,EXACT,sarmaaya
BWHL,2024,Eq,2116850,2116850.0,1.000,EXACT,sarmaaya
BWHL,2024,CA,1599677,1599677.0,1.000,EXACT,sarmaaya
TICL,2022,Sales,19800471.245,19800471.0,1.000,EXACT,dps
TICL,2022,PAT,1781870.927,1781871.0,1.000,EXACT,dps
AKBL,2022,PAT,14061595,14061595.0,1.000,EXACT,dps
KAPCO,2024,PAT,4313618,4313618.0,1.000,EXACT,dps
KAPCO,2024,TA,81551254,81551254.0,1.000,EXACT,sarmaaya
KAPCO,2024,CA,79333890,79333890.0,1.000,EXACT,sarmaaya
FPRM,2024,PAT,28542.477,28542.0,1.000,EXACT,dps
INDU,2025,Sales,215136582,215136582.0,1.000,EXACT,dps
INDU,2025,PAT,23009659,23009659.0,1.000,EXACT,dps
INDU,2025,TA,184774378.0,185882634.0,0.994,EXACT,sarmaaya
INDU,2025,TL,107821740.0,108929996.0,0.990,EXACT,sarmaaya
INDU,2025,CA,161238126.0,161238126.0,1.000,EXACT,sarmaaya
INDU,2025,Sales,215136582,215136582.0,1.000,EXACT,sarmaaya
INDU,2025,COGS,-183941195,185648964.0,0.991,EXACT,sarmaaya
INDU,2025,PAT,23009659,23009659.0,1.000,EXACT,sarmaaya
LOTCHEM,2025,Sales,80906921,80906921.0,1.000,EXACT,dps
LOTCHEM,2025,PAT,1118932,1118932.0,1.000,EXACT,dps
LOTCHEM,2025,TA,47802570,48165448.0,0.992,EXACT,sarmaaya
LOTCHEM,2025,CA,38734120,38734120.0,1.000,EXACT,sarmaaya
LOTCHEM,2025,Sales,80906921,80906921.0,1.000,EXACT,sarmaaya
LOTCHEM,2025,COGS,-77831190,77943653.0,0.999,EXACT,sarmaaya
LOTCHEM,2025,PAT,1118932,1118932.0,1.000,EXACT,sarmaaya
PPVC,2025,Sales,6735.135,6735.0,1.000,EXACT,dps
PPVC,2025,PAT,88714.0,88714.0,1.000,EXACT,dps
ADAMS,2025,Sales,10841042.745,10841043.0,1.000,EXACT,dps
ADAMS,2025,PAT,46133.837,46134.0,1.000,EXACT,dps
ADAMS,2025,TA,8531686.519,8657418.0,0.985,EXACT,sarmaaya
ADAMS,2025,TL,3434169.724,3559757.0,0.965,EXACT,sarmaaya
ADAMS,2025,Eq,5097516.795,5097517.0,1.000,EXACT,sarmaaya
ADAMS,2025,CA,1869816.562,1869817.0,1.000,EXACT,sarmaaya
ADAMS,2025,Sales,10841042.745,10841043.0,1.000,EXACT,sarmaaya
ADAMS,2025,COGS,-10127300.649,10149837.0,0.998,EXACT,sarmaaya
ADAMS,2025,PAT,46133.837,46134.0,1.000,EXACT,sarmaaya
IGIHL,2025,TA,18856461.0,148504704.0,0.127,WARN,sarmaaya
IGIHL,2025,TL,2136187.0,40583581.0,0.053,MISMATCH,sarmaaya
HUBC,2024,TA,157390026.0,452804419.0,0.348,WARN,sarmaaya
HUBC,2024,TL,83577245.0,242831941.0,0.344,WARN,sarmaaya
HUBC,2024,CA,88481020.0,171319381.0,0.516,loose,sarmaaya
SEPL,2023,Sales,5794593,5794593.0,1.000,EXACT,dps
SEPL,2023,PAT,967380,967380.0,1.000,EXACT,dps
NCPL,2024,Sales,15215087,15215087.0,1.000,EXACT,dps
NCPL,2024,PAT,3956563.0,3956563.0,1.000,EXACT,dps
NCPL,2024,TA,31986689,31986689.0,1.000,EXACT,sarmaaya
NCPL,2024,TL,2812320.0,2812320.0,1.000,EXACT,sarmaaya
NCPL,2024,Eq,29174369.0,29174369.0,1.000,EXACT,sarmaaya
NCPL,2024,CA,22866471,22866471.0,1.000,EXACT,sarmaaya
LOTCHEM,2022,Sales,100265555,100265555.0,1.000,EXACT,dps
LOTCHEM,2022,PAT,10118471,10118471.0,1.000,EXACT,dps
EFUL,2024,TA,259439229,259439229.0,1.000,EXACT,sarmaaya
EFUL,2024,TL,250246805,250246805.0,1.000,EXACT,sarmaaya
EFUL,2024,Eq,9192424,9192424.0,1.000,EXACT,sarmaaya
PSEL,2023,Sales,13262037,13262037.0,1.000,EXACT,dps
