year,month,Mkt_RF,SMB,HML,RMW,CMA
2014,10,0.009448,0.030769,-0.103205,0.043905,0.037687
2014,11,0.032241,-0.168690,0.144085,-0.020835,-0.022245
2014,12,0.026916,-0.027897,0.005660,-0.023779,0.063037
2015,1,0.067328,-0.040699,-0.014673,-0.050156,-0.050436
2015,2,-0.028125,-0.067074,0.021951,-0.009257,-0.012000
2015,3,-0.108074,-0.000104,0.012699,0.009182,-0.019228
2015,4,0.079902,-0.001808,-0.015381,0.030725,0.012571
2015,5,-0.012786,0.028952,-0.030549,-0.056439,0.007182
2015,6,0.069463,0.069628,0.081258,-0.115129,0.033631
2015,7,0.022371,0.053011,0.013205,-0.055165,0.007113
2015,8,-0.008066,0.026298,0.032592,0.023465,-0.063935
2015,9,-0.071211,-0.030533,0.012968,0.033582,-0.093824
2015,10,0.052199,-0.046627,-0.032129,-0.023216,-0.014701
2015,11,-0.051884,-0.004751,0.025341,-0.054392,0.035265
2015,12,0.006193,-0.008176,-0.002177,0.076840,-0.010210
2016,1,-0.023371,-0.047529,0.037771,-0.000488,0.011658
2016,2,-0.032747,-0.035078,0.052165,-0.016990,0.028786
2016,3,0.049262,0.010291,-0.031916,0.041354,-0.010657
2016,4,0.033509,0.108931,0.005468,0.006748,0.025043
2016,5,0.040681,0.021191,0.011278,0.003701,-0.030209
2016,6,0.024153,-0.067955,0.047004,0.046956,0.016591
2016,7,0.037281,-0.063161,0.050650,0.037889,0.005683
2016,8,0.018162,0.063389,0.000622,-0.048870,0.008726
2016,9,0.032470,0.067125,0.043867,-0.111332,0.029381
2016,10,-0.021888,-0.051568,0.110271,nan,-0.005117
2016,11,0.100564,0.038227,0.055888,-0.000650,0.014987
2016,12,0.101222,-0.064769,-0.051811,0.043749,0.024430
2017,1,0.028408,0.009624,0.032559,-0.136905,-0.069097
2017,2,-0.015581,-0.023710,0.078883,-0.092412,-0.059329
2017,3,0.001761,0.033455,-0.030251,-0.051241,-0.010736
2017,4,0.031110,-0.012517,0.026355,-0.031717,-0.008272
2017,5,0.025872,0.035907,0.017867,-0.054991,0.018839
2017,6,-0.081121,-0.039831,-0.005575,-0.015582,0.019247
2017,7,0.019516,-0.045715,-0.012266,-0.016756,-0.014158
2017,8,-0.091392,-0.004861,-0.000853,0.068147,-0.044301
2017,9,0.015390,0.012275,-0.050806,0.036260,0.064278
2017,10,-0.074026,0.039978,-0.069964,0.051552,0.034172
2017,11,0.015036,-0.066938,0.045903,-0.039065,0.001719
2017,12,0.027120,-0.089867,0.026499,0.065387,0.024961
2018,1,0.068823,0.004812,0.019085,-0.036140,-0.041168
2018,2,-0.005956,0.012749,-0.004535,0.014710,0.017627
2018,3,0.031410,-0.030883,0.062546,0.016486,0.097342
2018,4,0.012248,0.080188,-0.007741,-0.043271,0.018459
2018,5,-0.044573,-0.037549,0.040480,-0.061134,0.004657
2018,6,-0.025477,-0.033878,0.005144,0.048358,0.010355
2018,7,0.003976,0.068086,-0.035835,0.001766,0.006195
2018,8,-0.004530,0.100512,-0.042746,-0.132174,0.054467
2018,9,-0.057324,-0.007891,0.072670,-0.058643,-0.001497
2018,10,-0.019057,-0.003097,-0.010991,-0.004250,-0.022913
2018,11,-0.043932,0.006512,0.075776,0.083890,0.000552
2018,12,-0.045423,0.019920,-0.025841,0.050982,-0.055321
2019,1,0.043583,-0.092262,0.039385,-0.093055,0.035983
2019,2,-0.046809,-0.033493,0.045608,0.045703,0.007203
2019,3,-0.017502,-0.082335,0.026497,0.002661,0.020961
2019,4,-0.067215,0.046720,0.082665,0.052170,0.011635
2019,5,-0.054574,-0.089960,0.022248,-0.014853,0.015660
2019,6,-0.047229,0.086733,-0.064559,0.129378,-0.009692
2019,7,-0.092230,0.000500,0.059855,0.049279,0.024455
2019,8,-0.051369,0.051360,-0.034190,0.114421,0.008608
2019,9,0.073221,-0.015803,0.050396,-0.003041,0.036641
2019,10,0.023929,0.089957,-0.019907,-0.052603,-0.006405
2019,11,0.130481,0.066199,0.050185,-0.148384,0.071887
2019,12,0.051105,-0.068125,0.021044,0.038525,0.037166
2020,1,-0.009912,0.012659,0.049103,-0.051439,0.016837
2020,2,-0.115273,0.043878,-0.011966,0.067483,-0.023227
2020,3,-0.163799,0.025178,-0.028651,0.058257,0.066419
2020,4,0.163452,0.004105,0.050223,-0.056497,-0.111593
2020,5,0.027506,0.026796,0.059806,-0.098873,-0.005444
2020,6,0.000660,-0.019900,0.015515,-0.022705,-0.024382
2020,7,0.115536,-0.042118,0.084487,-0.037162,0.012601
2020,8,0.086196,-0.119766,0.039029,0.028839,-0.008389
2020,9,-0.001507,0.033275,-0.034516,-0.005128,0.050232
2020,10,-0.043622,0.109760,-0.067291,0.004930,0.001771
2020,11,0.018313,0.035469,-0.012077,-0.035274,0.005004
2020,12,0.069413,0.044507,0.049484,-0.148179,-0.004273
2021,1,0.041361,0.009153,0.062694,-0.012913,-0.029140
2021,2,-0.007527,0.021100,0.016991,-0.004081,0.029553
2021,3,-0.049995,-0.055630,0.040631,-0.029443,-0.022874
2021,4,-0.027314,0.099483,-0.082454,0.010093,-0.022302
2021,5,0.071117,0.049125,0.027892,-0.098210,0.035569
2021,6,0.004567,0.080262,0.018891,-0.008273,0.019659
2021,7,-0.003878,0.025280,-0.048481,0.006922,-0.028016
2021,8,0.000354,-0.007108,0.033103,-0.021491,-0.043459
2021,9,-0.081214,-0.057894,0.052358,0.048219,-0.000225
2021,10,0.004562,-0.004334,0.036066,0.046328,-0.016226
2021,11,-0.037849,-0.012039,0.000528,-0.013207,0.031433
2021,12,-0.011026,-0.008504,0.023667,0.039948,-0.024282
2022,1,0.004914,0.028277,-0.009645,0.041729,0.016893
2022,2,-0.025753,-0.049415,0.070199,-0.024993,0.002147
2022,3,-0.013294,0.019106,-0.031629,-0.010594,0.038948
2022,4,-0.019898,-0.015002,0.044820,0.079809,0.012921
2022,5,-0.055445,0.039489,0.018405,0.020166,0.005754
2022,6,-0.012155,-0.014409,0.019308,-0.014033,0.005601
2022,7,-0.046050,-0.010395,0.048751,-0.010096,-0.013630
2022,8,0.040873,0.002955,-0.039665,-0.034043,-0.027783
2022,9,-0.048692,-0.020396,0.001658,-0.057041,0.013260
2022,10,-0.029539,0.047729,-0.136096,0.026543,-0.048277
2022,11,0.002397,0.048321,-0.022628,0.044524,0.007423
2022,12,-0.045390,-0.051497,0.047477,-0.043062,-0.020090
2023,1,-0.016654,0.067693,-0.032319,0.143717,-0.002052
2023,2,-0.052982,0.085021,-0.028148,0.014003,0.034646
2023,3,-0.028016,0.004658,0.037758,-0.126747,0.066462
2023,4,0.011502,-0.007557,-0.004312,0.020097,-0.020836
2023,5,0.009347,-0.019812,-0.017199,0.108990,-0.099088
2023,6,-0.051605,0.028239,0.059239,-0.089425,0.039756
2023,7,0.112862,-0.137874,0.068576,-0.086361,0.041498
2023,8,-0.085489,0.067463,-0.073446,0.060950,0.018352
2023,9,0.013394,-0.020873,0.047494,-0.048908,0.029575
2023,10,0.084203,-0.094296,0.086221,-0.060796,0.138014
2023,11,0.157916,-0.017294,-0.004796,-0.094964,0.022064
2023,12,0.035784,-0.135570,0.100322,0.035071,0.042516
2024,1,-0.010865,0.041213,-0.052804,0.069525,-0.018457
2024,2,0.001751,-0.033320,-0.004518,-0.027789,0.015628
2024,3,0.011086,0.009456,-0.052287,-0.004511,0.040251
2024,4,0.034108,-0.017923,-0.012936,-0.004959,0.023316
2024,5,0.029705,-0.059877,0.034033,-0.057169,0.041755
2024,6,-0.010245,-0.013747,-0.016346,-0.030393,0.085623
2024,7,-0.027914,0.096290,-0.005384,0.021327,0.034753
2024,8,0.079860,-0.029986,-0.071768,0.014510,0.040360
2024,9,-0.019160,-0.011540,-0.021932,-0.031469,0.048461
2024,10,0.107716,-0.139656,0.022161,-0.052948,-0.078090
2024,11,0.116640,-0.062339,0.058347,0.046759,0.010058
2024,12,0.145343,-0.145728,0.085325,0.107992,-0.023625
2025,1,-0.026513,0.002746,-0.017665,0.023188,-0.026535
2025,2,0.024592,-0.025359,-0.056234,0.076100,-0.012297
2025,3,0.034915,-0.123774,0.074112,-0.046475,-0.020679
2025,4,-0.094578,0.083449,0.020286,-0.051269,-0.008727
2025,5,0.065747,0.137779,-0.027770,-0.079103,0.008046
2025,6,0.029549,0.073049,0.173511,-0.082690,0.033090
2025,7,0.074552,-0.087082,0.041218,0.000032,-0.003654
2025,8,0.049598,-0.003040,0.022712,-0.063630,0.005688
2025,9,0.091894,-0.044735,0.023131,-0.019576,-0.042923
2025,10,-0.051222,0.047269,-0.088849,0.022174,0.041707
2025,11,0.025416,-0.030472,0.017658,-0.012695,0.022374
2025,12,0.039978,-0.030883,0.107077,-0.080998,-0.009038
2026,1,0.049602,-0.061554,0.101045,-0.042837,0.041303
2026,2,-0.105850,-0.016447,-0.016264,-0.003961,-0.009570
2026,3,-0.111844,0.079050,0.033725,-0.024746,-0.008832
2026,4,0.086978,-0.006206,0.110038,-0.130039,0.041919
2026,5,0.067598,-0.067766,0.101832,-0.068074,-0.011111
2026,6,0.037629,0.095142,0.001158,-0.064323,-0.070176
2026,7,-0.044454,0.022421,-0.005603,0.026893,0.048546
2026,8,0.000974,-0.003661,0.008374,-0.005566,0.003214
