year,month,Mkt_RF,ME,IA,ROE
2014,10,0.009448,0.030769,0.037687,0.043905
2014,11,0.032241,-0.168690,-0.022245,-0.020835
2014,12,0.026916,-0.027897,0.063037,-0.023779
2015,1,0.067328,-0.040699,-0.050436,-0.050156
2015,2,-0.028125,-0.067074,-0.012000,-0.009257
2015,3,-0.108074,-0.000104,-0.019228,0.009182
2015,4,0.079902,-0.001808,0.012571,0.030725
2015,5,-0.012786,0.028952,0.007182,-0.056439
2015,6,0.069463,0.069628,0.033631,-0.115129
2015,7,0.022371,0.053011,0.007113,-0.055165
2015,8,-0.008066,0.026298,-0.063935,0.023465
2015,9,-0.071211,-0.030533,-0.093824,0.033582
2015,10,0.052199,-0.046627,-0.014701,-0.023216
2015,11,-0.051884,-0.004751,0.035265,-0.054392
2015,12,0.006193,-0.008176,-0.010210,0.076840
2016,1,-0.023371,-0.047529,0.011658,-0.000488
2016,2,-0.032747,-0.035078,0.028786,-0.016990
2016,3,0.049262,0.010291,-0.010657,0.041354
2016,4,0.033509,0.108931,0.025043,0.006748
2016,5,0.040681,0.021191,-0.030209,0.003701
2016,6,0.024153,-0.067955,0.016591,0.046956
2016,7,0.037281,-0.063161,0.005683,0.037889
2016,8,0.018162,0.063389,0.008726,-0.048870
2016,9,0.032470,0.067125,0.029381,-0.111332
2016,10,-0.021888,-0.051568,-0.005117,nan
2016,11,0.100564,0.038227,0.014987,-0.000650
2016,12,0.101222,-0.064769,0.024430,0.043749
2017,1,0.028408,0.009624,-0.069097,-0.136905
2017,2,-0.015581,-0.023710,-0.059329,-0.092412
2017,3,0.001761,0.033455,-0.010736,-0.051241
2017,4,0.031110,-0.012517,-0.008272,-0.031717
2017,5,0.025872,0.035907,0.018839,-0.054991
2017,6,-0.081121,-0.039831,0.019247,-0.015582
2017,7,0.019516,-0.045715,-0.014158,-0.016756
2017,8,-0.091392,-0.004861,-0.044301,0.068147
2017,9,0.015390,0.012275,0.064278,0.036260
2017,10,-0.074026,0.039978,0.034172,0.051552
2017,11,0.015036,-0.066938,0.001719,-0.039065
2017,12,0.027120,-0.089867,0.024961,0.065387
2018,1,0.068823,0.004812,-0.041168,-0.036140
2018,2,-0.005956,0.012749,0.017627,0.014710
2018,3,0.031410,-0.030883,0.097342,0.016486
2018,4,0.012248,0.080188,0.018459,-0.043271
2018,5,-0.044573,-0.037549,0.004657,-0.061134
2018,6,-0.025477,-0.033878,0.010355,0.048358
2018,7,0.003976,0.068086,0.006195,0.001766
2018,8,-0.004530,0.100512,0.054467,-0.132174
2018,9,-0.057324,-0.007891,-0.001497,-0.058643
2018,10,-0.019057,-0.003097,-0.022913,-0.004250
2018,11,-0.043932,0.006512,0.000552,0.083890
2018,12,-0.045423,0.019920,-0.055321,0.050982
2019,1,0.043583,-0.092262,0.035983,-0.093055
2019,2,-0.046809,-0.033493,0.007203,0.045703
2019,3,-0.017502,-0.082335,0.020961,0.002661
2019,4,-0.067215,0.046720,0.011635,0.052170
2019,5,-0.054574,-0.089960,0.015660,-0.014853
2019,6,-0.047229,0.086733,-0.009692,0.129378
2019,7,-0.092230,0.000500,0.024455,0.049279
2019,8,-0.051369,0.051360,0.008608,0.114421
2019,9,0.073221,-0.015803,0.036641,-0.003041
2019,10,0.023929,0.089957,-0.006405,-0.052603
2019,11,0.130481,0.066199,0.071887,-0.148384
2019,12,0.051105,-0.068125,0.037166,0.038525
2020,1,-0.009912,0.012659,0.016837,-0.051439
2020,2,-0.115273,0.043878,-0.023227,0.067483
2020,3,-0.163799,0.025178,0.066419,0.058257
2020,4,0.163452,0.004105,-0.111593,-0.056497
2020,5,0.027506,0.026796,-0.005444,-0.098873
2020,6,0.000660,-0.019900,-0.024382,-0.022705
2020,7,0.115536,-0.042118,0.012601,-0.037162
2020,8,0.086196,-0.119766,-0.008389,0.028839
2020,9,-0.001507,0.033275,0.050232,-0.005128
2020,10,-0.043622,0.109760,0.001771,0.004930
2020,11,0.018313,0.035469,0.005004,-0.035274
2020,12,0.069413,0.044507,-0.004273,-0.148179
2021,1,0.041361,0.009153,-0.029140,-0.012913
2021,2,-0.007527,0.021100,0.029553,-0.004081
2021,3,-0.049995,-0.055630,-0.022874,-0.029443
2021,4,-0.027314,0.099483,-0.022302,0.010093
2021,5,0.071117,0.049125,0.035569,-0.098210
2021,6,0.004567,0.080262,0.019659,-0.008273
2021,7,-0.003878,0.025280,-0.028016,0.006922
2021,8,0.000354,-0.007108,-0.043459,-0.021491
2021,9,-0.081214,-0.057894,-0.000225,0.048219
2021,10,0.004562,-0.004334,-0.016226,0.046328
2021,11,-0.037849,-0.012039,0.031433,-0.013207
2021,12,-0.011026,-0.008504,-0.024282,0.039948
