category,symbol,year,field,our,external,ratio,note
CONSOLIDATION-DIFF,SRVI,2024,TA,22437441,114556952.0,0.196,
CONSOLIDATION-DIFF,SRVI,2024,TL,13947260,87144760.0,0.160,
CONSOLIDATION-DIFF,SRVI,2024,CA,6835796,61946327.0,0.110,
SALES-JOINT-REVIEW,KAPCO,2023,Sales,25435312,136599624.0,0.186,
CONSOLIDATION-DIFF,EPCL,2025,CA,344446462.0,55199224.0,6.240,
CONSOLIDATION-DIFF,EPCL,2025,PAT,610340.0,-3898186.0,-0.157,
CONSOLIDATION-DIFF,TPL,2024,TA,6671273.685,30278257.0,0.220,
CONSOLIDATION-DIFF,TPL,2024,TL,5866062.097,21724149.0,0.270,
CONSOLIDATION-DIFF,TPL,2024,Eq,805211.588,2361001.0,0.341,
CONSOLIDATION-DIFF,TPL,2024,CA,319512.397,13082617.0,0.024,
CONSOLIDATION-DIFF,HIRAT,2023,Eq,-296156.737,-777657.0,0.381,
CONSOLIDATION-DIFF,PICT,2025,PAT,649096.0,-134023.0,-4.843,
CONSOLIDATION-DIFF,PIBTL,2025,PAT,1764987.0,-257930.0,-6.843,
CONSOLIDATION-DIFF,CHAS,2025,PAT,1699139.0,-3566327.0,-0.476,
CONSOLIDATION-DIFF,TPLP,2025,PAT,4270865.0,-1920742.0,-2.224,
CONSOLIDATION-DIFF,MDTL,2025,PAT,17066.0,-792.0,-21.548,
SALES-JOINT-REVIEW,HTL,2025,Sales,6988836.0,33042903.0,0.212,
CONSOLIDATION-DIFF,SML,2024,CA,1571692,5710015.0,0.275,
CONSOLIDATION-DIFF,ALTN,2025,CA,947894.0,10725400.0,0.088,
CONSOLIDATION-DIFF,ALTN,2025,COGS,-96393,4208627.0,0.023,
CONSOLIDATION-DIFF,ALTN,2025,PAT,5786902,-4557349.0,-1.270,
CONSOLIDATION-DIFF,SCL,2025,PAT,144964.0,-12658.0,-11.452,
CONSOLIDATION-DIFF,CTM,2025,PAT,824377.0,-2234018.0,-0.369,
CONSOLIDATION-DIFF,FEROZ,2025,CA,3486146.183,12898291.0,0.270,
CONSOLIDATION-DIFF,LUCK,2025,TA,266748030,731148576.0,0.365,
CONSOLIDATION-DIFF,LUCK,2025,TL,90837630,340459079.0,0.267,
CONSOLIDATION-DIFF,LUCK,2025,CA,100547359,320554052.0,0.314,
CONSOLIDATION-DIFF,LUCK,2025,Sales,124511744.0,449629947.0,0.277,
CONSOLIDATION-DIFF,LUCK,2025,COGS,-81827060.0,329963662.0,0.248,
CONSOLIDATION-DIFF,BTL,2025,PAT,921041.0,-96882.0,-9.507,
CONSOLIDATION-DIFF,CFL,2025,PAT,375905.0,-775712.0,-0.485,
CONSOLIDATION-DIFF,CEPB,2025,PAT,523893.0,-345422.0,-1.517,
CONSOLIDATION-DIFF,KEL,2021,TA,835677422,200387209.0,4.170,
CONSOLIDATION-DIFF,KEL,2021,TL,611725906,200387209.0,3.053,
CONSOLIDATION-DIFF,CCM,2025,PAT,6489.0,2171.0,2.989,
CONSOLIDATION-DIFF,SPWL,2025,PAT,336104.0,-38448.0,-8.742,
CONSOLIDATION-DIFF,SAIF,2025,PAT,11566.0,-388321.0,-0.030,
CONSOLIDATION-DIFF,PACE,2025,Eq,-1218252,780529.0,-1.561,
CONSOLIDATION-DIFF,PACE,2025,PAT,526690.0,-317773.0,-1.657,
CONSOLIDATION-DIFF,NCPL,2025,PAT,4912312.0,-3375920.0,-1.455,
CONSOLIDATION-DIFF,PMRS,2025,TA,5289618,41850405.0,0.126,
CONSOLIDATION-DIFF,PMRS,2025,TL,4004209,30042505.0,0.133,
CONSOLIDATION-DIFF,PMRS,2025,Eq,1285409,4374835.0,0.294,
CONSOLIDATION-DIFF,PMRS,2025,CA,1718998,14012020.0,0.123,
CONSOLIDATION-DIFF,PMRS,2025,Sales,1981322,29861424.0,0.066,
CONSOLIDATION-DIFF,PMRS,2025,COGS,1977691,28556702.0,0.069,
CONSOLIDATION-DIFF,PMRS,2025,PAT,72984.0,-2292905.0,-0.032,
CONSOLIDATION-DIFF,NETSOL,2024,CA,1828951,12622674.0,0.145,
CONSOLIDATION-DIFF,RUPL,2025,PAT,861092.0,-1526382.0,-0.564,
CONSOLIDATION-DIFF,KTML,2025,TA,54564353,192046552.0,0.284,
CONSOLIDATION-DIFF,KTML,2025,TL,22581981,85399019.0,0.264,
CONSOLIDATION-DIFF,KTML,2025,CA,18978912,90130449.0,0.211,
CONSOLIDATION-DIFF,KTML,2025,PAT,2749816,16478710.0,0.167,
CONSOLIDATION-DIFF,TRIPF,2025,PAT,979118.0,-366734.0,-2.670,
CONSOLIDATION-DIFF,PKGP,2025,COGS,-527701,1345779.0,0.392,
CONSOLIDATION-DIFF,GATI,2025,PAT,205300.0,-2014681.0,-0.102,
CONSOLIDATION-DIFF,ASTL,2025,PAT,1325515.0,-3811359.0,-0.348,
CONSOLIDATION-DIFF,STML,2025,PAT,220152.0,-137194.0,-1.605,
CONSOLIDATION-DIFF,PMRS,2024,TA,4096468,39578394.0,0.104,
CONSOLIDATION-DIFF,PMRS,2024,TL,2228499,24248634.0,0.092,
CONSOLIDATION-DIFF,PMRS,2024,Eq,1867969,7262653.0,0.257,
CONSOLIDATION-DIFF,PMRS,2024,CA,499659,9170200.0,0.054,
CONSOLIDATION-DIFF,SML,2025,Sales,5515540,13997780.0,0.394,
CONSOLIDATION-DIFF,NRL,2025,PAT,9079013.0,-14866922.0,-0.611,
SALES-JOINT-REVIEW,JSML,2025,Sales,2767201.0,10727499.0,0.258,
CONSOLIDATION-DIFF,JSML,2025,CA,38301794.0,3866702.0,9.906,
CONSOLIDATION-DIFF,JSML,2025,Sales,2767201.0,10727499.0,0.258,
CONSOLIDATION-DIFF,JSML,2025,COGS,-2580644.0,9277137.0,0.278,
CONSOLIDATION-DIFF,AVN,2024,TA,10936729,28162524.0,0.388,
CONSOLIDATION-DIFF,AVN,2024,TL,3055355,13500971.0,0.226,
CONSOLIDATION-DIFF,AVN,2024,CA,4609265,20928143.0,0.220,
CONSOLIDATION-DIFF,GGL,2024,TA,3938108.0,21522348.0,0.183,
