ticker,year,month,ret_monthly,n_days,first_close,last_close
786,2018,9,,18,,5.99,783500.0
786,2018,10,1.5642737896494157,23,5.99,15.36,5663000.0
786,2018,11,0.55078125,21,15.36,23.82,23718000.0
786,2018,12,0.03694374475230888,20,23.82,24.7,10092500.0
786,2019,1,0.034817813765182226,23,24.7,25.56,4021000.0
786,2019,2,0.014866979655712154,19,25.56,25.94,3125000.0
786,2019,3,0.003469545104086258,21,25.94,26.03,3035000.0
786,2019,4,0.005378409527468264,22,26.03,26.17,3376500.0
786,2019,5,0.04738249904470759,21,26.17,27.41,2714000.0
786,2019,6,0.02626778547975195,16,27.41,28.13,715500.0
786,2019,7,0.07394241023818005,23,28.13,30.21,1825500.0
786,2019,8,0.06719629261833826,18,30.21,32.24,16541500.0
786,2019,9,-0.06637717121588094,18,32.24,30.1,8355500.0
786,2019,10,-0.14617940199335555,7,30.1,25.7,17000.0
786,2019,11,-0.07782101167315181,5,25.7,23.7,51000.0
786,2019,12,0.07172995780590719,13,23.7,25.4,209000.0
786,2020,1,0.1633858267716537,23,25.4,29.55,2915000.0
786,2020,2,0.01996615905245336,18,29.55,30.14,3758500.0
786,2020,3,0.0384870603848706,8,30.14,31.3,2832000.0
786,2020,4,0.2210862619808307,14,31.3,38.22,9845000.0
786,2020,5,0.016483516483516647,16,38.22,38.85,11425000.0
786,2020,6,-0.11583011583011582,22,38.85,34.35,12821500.0
786,2020,7,-0.2733624454148472,22,34.35,24.96,9657000.0
786,2020,8,-0.20552884615384626,20,24.96,19.83,14135000.0
786,2020,9,-0.4387291981845688,22,19.83,11.13,3675500.0
786,2020,10,0.09613656783468083,21,11.13,12.2,4566000.0
786,2020,11,-0.09180327868852456,21,12.2,11.08,1135500.0
786,2020,12,0.06588447653429608,22,11.08,11.81,2363000.0
786,2021,1,-0.011007620660457351,21,11.81,11.68,1522500.0
786,2021,2,-0.13184931506849307,18,11.68,10.14,722500.0
786,2021,3,-0.1420118343195268,22,10.14,8.7,852500.0
786,2021,4,-0.08620689655172409,22,8.7,7.95,804000.0
786,2021,5,0.20880503144654083,14,7.95,9.61,1044500.0
786,2021,6,0.08428720083246621,22,9.61,10.42,1964000.0
786,2021,7,-0.10268714011516322,19,10.42,9.35,526000.0
786,2021,8,0.04385026737967923,20,9.35,9.76,670000.0
786,2021,9,-0.2008196721311475,21,9.76,7.8,1044000.0
