ticker,year,month,volume_shares
786,2018,9,783500.0
786,2018,10,5663000.0
786,2018,11,23718000.0
786,2018,12,10092500.0
786,2019,1,4021000.0
786,2019,2,3125000.0
786,2019,3,3035000.0
786,2019,4,3376500.0
786,2019,5,2714000.0
786,2019,6,715500.0
786,2019,7,1825500.0
786,2019,8,16541500.0
786,2019,9,8355500.0
786,2019,10,17000.0
786,2019,11,51000.0
786,2019,12,209000.0
786,2020,1,2915000.0
786,2020,2,3758500.0
786,2020,3,2832000.0
786,2020,4,9845000.0
786,2020,5,11425000.0
786,2020,6,12821500.0
786,2020,7,9657000.0
786,2020,8,14135000.0
786,2020,9,3675500.0
786,2020,10,4566000.0
786,2020,11,1135500.0
786,2020,12,2363000.0
786,2021,1,1522500.0
786,2021,2,722500.0
786,2021,3,852500.0
786,2021,4,804000.0
786,2021,5,1044500.0
786,2021,6,1964000.0
786,2021,7,526000.0
786,2021,8,670000.0
786,2021,9,1044000.0
786,2021,10,304000.0
786,2021,11,491500.0
786,2021,12,155500.0
786,2022,1,154500.0
786,2022,2,412500.0
786,2022,3,247000.0
786,2022,4,96500.0
786,2022,5,562000.0
786,2022,6,36000.0
786,2022,7,48500.0
786,2022,8,221000.0
786,2022,9,114500.0
786,2022,10,311000.0
786,2022,11,100000.0
786,2022,12,301500.0
786,2023,1,382500.0
786,2023,2,333000.0
786,2023,3,124000.0
786,2023,4,3000.0
786,2023,5,44000.0
786,2023,6,113500.0
786,2023,7,132500.0
786,2023,8,240000.0
786,2023,9,549500.0
786,2023,10,57500.0
786,2023,11,257000.0
786,2023,12,157000.0
786,2024,1,106500.0
786,2024,2,134000.0
786,2024,3,73000.0
786,2024,4,282500.0
786,2024,5,172100.0
786,2024,6,133119.0
786,2024,7,129101.0
786,2024,8,271838.0
786,2024,9,288913.0
786,2024,10,155192.0
786,2024,11,489273.0
786,2024,12,1256918.0
786,2025,1,943980.0
786,2025,2,166966.0
786,2025,3,39306.0
786,2025,4,135430.0
786,2025,5,92928.0
786,2025,6,875752.0
786,2025,7,2017515.0
786,2025,8,3225535.0
786,2025,9,6150736.0
786,2025,10,1867877.0
786,2025,11,2116830.0
786,2025,12,1758827.0
786,2026,1,668655.0
786,2026,2,11748660.0
786,2026,3,5893670.0
786,2026,4,33958862.0
786,2026,5,3602052.0
786,2026,6,1788589.0
786,2026,7,3251956.0
786,2026,8,154931.0
AABS,2013,12,11400.0
AABS,2014,1,76500.0
AABS,2014,2,134100.0
AABS,2014,3,9400.0
AABS,2014,4,523900.0
AABS,2014,5,48200.0
AABS,2014,6,179900.0
AABS,2014,7,47400.0
AABS,2014,8,19500.0
AABS,2014,9,23800.0
AABS,2014,10,1600.0
AABS,2014,11,245400.0
AABS,2014,12,2700.0
AABS,2015,1,94800.0
AABS,2015,2,1585300.0
AABS,2015,3,722000.0
AABS,2015,4,3300.0
AABS,2015,5,340800.0
AABS,2015,6,900.0
AABS,2015,7,11200.0
AABS,2015,8,31200.0
AABS,2015,9,7800.0
AABS,2015,10,102200.0
AABS,2015,11,10700.0
AABS,2015,12,23700.0
AABS,2016,1,20100.0
AABS,2016,2,6400.0
AABS,2016,3,8500.0
AABS,2016,4,1300.0
AABS,2016,5,5500.0
AABS,2016,6,14300.0
AABS,2016,7,2100.0
AABS,2016,8,2800.0
AABS,2016,9,100.0
AABS,2016,10,7400.0
AABS,2016,11,7700.0
AABS,2016,12,6100.0
AABS,2017,1,10600.0
AABS,2017,2,2300.0
AABS,2017,3,7900.0
AABS,2017,4,2200.0
AABS,2017,5,27600.0
AABS,2017,6,2800.0
AABS,2017,7,256900.0
AABS,2017,8,700.0
AABS,2017,9,15900.0
AABS,2017,10,4800.0
AABS,2017,11,17000.0
AABS,2017,12,6500.0
AABS,2018,1,97600.0
AABS,2018,2,80800.0
AABS,2018,3,44700.0
AABS,2018,4,64900.0
AABS,2018,5,41700.0
AABS,2018,6,16600.0
AABS,2018,7,88800.0
AABS,2018,8,16300.0
AABS,2018,9,4300.0
AABS,2018,10,15300.0
AABS,2018,11,4900.0
AABS,2018,12,118200.0
AABS,2019,1,164000.0
AABS,2019,2,34500.0
AABS,2019,3,20500.0
AABS,2019,4,21200.0
AABS,2019,5,1424500.0
AABS,2019,6,308300.0
AABS,2019,7,82700.0
AABS,2019,8,50100.0
AABS,2019,9,18300.0
AABS,2019,10,22900.0
AABS,2019,11,46800.0
AABS,2019,12,117900.0
AABS,2020,1,164600.0
AABS,2020,2,25400.0
AABS,2020,3,21000.0
AABS,2020,4,26800.0
AABS,2020,5,9300.0
AABS,2020,6,29200.0
AABS,2020,7,165300.0
AABS,2020,8,132400.0
AABS,2020,9,184300.0
AABS,2020,10,40800.0
AABS,2020,11,15600.0
AABS,2020,12,230800.0
AABS,2021,1,57400.0
AABS,2021,2,9300.0
AABS,2021,3,15400.0
AABS,2021,4,5100.0
AABS,2021,5,34200.0
AABS,2021,6,1376400.0
AABS,2021,7,147400.0
AABS,2021,8,19100.0
AABS,2021,9,36300.0
AABS,2021,10,108400.0
