ticker,year,shares
AABS,2013,17362
AABS,2014,17362
AABS,2015,17362
AABS,2016,17362
AABS,2017,17362
AABS,2018,17362
AABS,2019,17362
AABS,2020,17362
AABS,2021,17362
AABS,2022,17362
AABS,2023,17362
AABS,2024,17362
AABS,2025,17362
AABS,2026,17362
ABOT,2013,97001300
ABOT,2014,97900300
ABOT,2015,97900300
ABOT,2016,97900300
ABOT,2017,97900300
ABOT,2018,97900300
ABOT,2019,97900300
ABOT,2020,97900300
ABOT,2021,97900300
ABOT,2022,97900300
ABOT,2023,97900300
ABOT,2024,97900300
ABOT,2025,97900300
ABOT,2026,97900302
ACPL,2013,137449877
ACPL,2014,137449877
ACPL,2015,137449877
ACPL,2016,137449877
ACPL,2017,137449877
ACPL,2018,137449877
ACPL,2019,137449877
ACPL,2020,137449877
ACPL,2021,137449877
ACPL,2022,137449877
ACPL,2023,137448957
ACPL,2024,137438227
ACPL,2025,137388175
ACPL,2026,137426961
ADAMS,2013,5763654
ADAMS,2014,17290962
ADAMS,2015,17290962
ADAMS,2016,17290962
ADAMS,2017,17290962
ADAMS,2018,17290962
ADAMS,2019,17290962
ADAMS,2020,17290962
ADAMS,2021,17290962
ADAMS,2022,17290962
ADAMS,2023,17290962
ADAMS,2024,17290962
ADAMS,2025,17290962
ADAMS,2026,17291008
ADMM,2013,84000000
ADMM,2014,84000000
ADMM,2015,84000000
ADMM,2016,84000000
ADMM,2017,84000000
ADMM,2018,84000000
ADMM,2019,84000000
ADMM,2020,84000000
ADMM,2021,84000000
ADMM,2022,84000000
ADMM,2023,83986136
ADMM,2024,83977039
ADMM,2025,83979494
ADMM,2026,84000000
AEL,2013,8126667
AEL,2014,8126667
AEL,2015,8126667
AEL,2016,8126667
AEL,2017,8126667
AEL,2018,8126667
AEL,2019,8126667
AEL,2020,8126667
AEL,2021,8126667
AEL,2022,8126667
AEL,2023,8126667
AEL,2024,8126667
AEL,2025,8126667
AEL,2026,8126667
AGHA,2013,721381051
AGHA,2014,721381051
AGHA,2015,721381051
AGHA,2016,721381051
AGHA,2017,721381051
AGHA,2018,721381051
AGHA,2019,721381051
AGHA,2020,721381051
AGHA,2021,721381051
AGHA,2022,721381051
AGHA,2023,721381051
AGHA,2024,604159609
AGHA,2025,603264000
AGHA,2026,721381051
AGIL,2013,36000000
AGIL,2014,36000000
AGIL,2015,36000000
AGIL,2016,36000000
AGIL,2017,36000000
AGIL,2018,36000000
AGIL,2019,36000000
AGIL,2020,36000000
AGIL,2021,36000000
AGIL,2022,36000000
AGIL,2023,36000000
AGIL,2024,36020024
AGIL,2025,35990909
AGIL,2026,36000000
AGL,2013,599084224
AGL,2014,599084224
AGL,2015,599084224
AGL,2016,599084224
AGL,2017,599084224
AGL,2018,599084224
AGL,2019,599084224
AGL,2020,599084224
AGL,2021,599084224
AGL,2022,599084224
AGL,2023,599084224
AGL,2024,391982671
AGL,2025,540081157
AGL,2026,599084224
AGP,2013,280006667
AGP,2014,280006667
AGP,2015,280006667
AGP,2016,280006667
AGP,2017,280006667
AGP,2018,280006667
AGP,2019,280006667
AGP,2020,280006667
AGP,2021,280006667
AGP,2022,280006667
AGP,2023,280043765
AGP,2024,280051210
AGP,2025,279989798
AGP,2026,280000000
AGSML,2013,79261700
AGSML,2014,79261666
AGSML,2015,79261666
AGSML,2016,79261666
AGSML,2017,79261666
AGSML,2018,79261666
AGSML,2019,79261666
AGSML,2020,79261666
AGSML,2021,79261666
AGSML,2022,79281668
AGSML,2023,79261700
AGSML,2024,79261666
AGSML,2025,79261666
AGSML,2026,79261700
AGTL,2013,42936400
AGTL,2014,57964200
AGTL,2015,57964200
AGTL,2016,57964200
AGTL,2017,57964200
AGTL,2018,57964200
AGTL,2019,57964200
AGTL,2020,57964200
AGTL,2021,57964200
AGTL,2022,57964200
AGTL,2023,57964200
AGTL,2024,57964200
AGTL,2025,57964200
AGTL,2026,57964201
AHCL,2013,4216967470
AHCL,2014,4216967470
AHCL,2015,4216967470
AHCL,2016,4216967470
AHCL,2017,4216967470
AHCL,2018,4216967470
AHCL,2019,4216967470
AHCL,2020,4216967470
AHCL,2021,4216967470
AHCL,2022,4216967470
AHCL,2023,408447717
AHCL,2024,4210088393
AHCL,2025,4215486525
AHCL,2026,4216967470
AHTM,2013,14408249
AHTM,2014,14408249
AHTM,2015,8473148
AHTM,2016,14408249
AHTM,2017,14408249
AHTM,2018,14408249
AHTM,2019,8471536
AHTM,2020,8471536
AHTM,2021,8471535
AHTM,2022,8471535
AHTM,2023,8471535
AHTM,2024,8471535
AHTM,2025,8471535
AHTM,2026,8471535
AIRLINK,2013,395269231
AIRLINK,2014,395269231
AIRLINK,2015,395269231
AIRLINK,2016,395269231
AIRLINK,2017,395269231
AIRLINK,2018,395269231
AIRLINK,2019,395269231
AIRLINK,2020,300000000
AIRLINK,2021,300000000
AIRLINK,2022,395269231
AIRLINK,2023,359502213
AIRLINK,2024,395269231
AIRLINK,2025,395269231
AIRLINK,2026,395269231
AKDHL,2013,2507273
AKDHL,2014,2507273
AKDHL,2015,2507273
AKDHL,2016,2507273
AKDHL,2017,2507273
AKDHL,2018,2507273
AKDHL,2019,2507273
AKDHL,2020,2507273
AKDHL,2021,2507273
AKDHL,2022,2507273
AKDHL,2023,2507273
AKDHL,2024,2507373
AKDHL,2025,2507373
AKDHL,2026,2507273
AKGL,2013,10000000
AKGL,2014,10000000
AKGL,2015,10000000
AKGL,2016,10000000
AKGL,2017,10000000
