symbol,year,field,our_normalized,external,ratio,source
JSML,2024,PAT,1880000000,1880.0,1000000.000,dps
DLL,2025,Sales,2742145,63.0,43526.111,dps
PRL,2025,COGS,-82043141000.0,306857874.0,-267.365,sarmaaya
GGL,2025,Sales,10336896,95652.0,108.068,dps
STPL,2025,PAT,-255116.46,3083.0,-82.749,dps
SANSM,2023,PAT,104883,1609.0,65.185,dps
CHAS,2024,PAT,-2637248,43548.0,-60.560,dps
KSTM,2025,PAT,-19322.738,329.0,-58.732,dps
GFIL,2025,PAT,-376844.562,7624.0,-49.429,dps
QUET,2025,PAT,-1636746.716,33443.0,-48.941,dps
HSPI,2022,PAT,-107678,2205.0,-48.834,dps
JLICL,2024,PAT,100842716,2573880.0,39.179,dps
ILTM,2018,PAT,460073.431,12517.0,36.756,dps
SAIF,2025,PAT,-388321,11566.0,-33.574,dps
ELCM,2024,PAT,-25739.721,820.0,-31.390,dps
CCM,2025,PAT,60710,2171.0,27.964,sarmaaya
SHEL,2022,Sales,10156972000.0,412699059.0,24.611,dps
HIRAT,2021,TA,3973223.352,180049.0,22.067,sarmaaya
HIRAT,2021,TL,3345388.827,180049.0,18.580,sarmaaya
CLVL,2024,TL,14262237.0,772563.0,18.461,sarmaaya
PAKRI,2025,TA,1208555052.0,66193946.0,18.258,sarmaaya
WAVES,2024,PAT,1085676,61831.0,17.559,dps
FRCL,2023,Sales,58055000.0,4115403.0,14.107,dps
LEUL,2025,PAT,-4508.641,322.0,-14.002,dps
YOUW,2025,PAT,-306713.531,22379.0,-13.705,dps
WAVES,2024,Sales,3944757,331198.0,11.911,dps
PAKRI,2022,PAT,30370650.0,2624829.0,11.571,dps
SEARL,2024,PAT,-3330859,302137.0,-11.024,dps
MIRKS,2024,PAT,-2221448,203626.0,-10.909,dps
DSML,2022,PAT,228960.169,21112.0,10.845,dps
JSML,2025,CA,38301794.0,3866702.0,9.906,sarmaaya
SHCM,2024,PAT,-108697.939,11075.0,-9.815,dps
PAKRI,2025,PAT,30402164.0,3129096.0,9.716,dps
GATI,2025,PAT,-1971123,205300.0,-9.601,dps
CCM,2025,PAT,60710,6489.0,9.356,dps
CLVL,2024,TA,13337756.0,1428834.0,9.335,sarmaaya
STCL,2024,PAT,320165,37613.0,8.512,dps
HSM,2019,PAT,293542.629,35169.0,8.347,dps
HINO,2024,PAT,-131098,16033.0,-8.177,dps
PMRS,2025,PAT,-589935,72984.0,-8.083,dps
SIEM,2025,PAT,829413,105326.0,7.875,sarmaaya
DNCC,2025,PAT,-153137.38,20426.0,-7.497,dps
PAKRI,2025,TL,288840235.0,40331929.0,7.162,sarmaaya
EPCL,2025,PAT,-3898186.0,610340.0,-6.387,dps
KHTC,2023,PAT,1998400.857,315449.0,6.335,dps
MACFL,2025,PAT,536514.973,85284.0,6.291,dps
MACFL,2025,PAT,536514.973,85284.0,6.291,sarmaaya
BAFS,2024,Eq,2589480.264,-413220.0,-6.267,sarmaaya
EPCL,2025,CA,344446462.0,55199224.0,6.240,sarmaaya
BIPL,2025,PAT,35683981,6002782.0,5.945,dps
BIPL,2025,PAT,35683981,6004675.0,5.943,sarmaaya
WYETH,2020,PAT,-131189,23176.0,-5.661,dps
GAMON,2024,PAT,42633.22,7547.0,5.649,dps
SJTM,2018,Sales,4463740.0,793087.0,5.628,dps
KEL,2022,TA,1060128079,200387209.0,5.290,sarmaaya
SGPL,2025,PAT,-8404.648,1668.0,-5.039,dps
FTSM,2024,PAT,1661753.0,354169.0,4.692,dps
UNITY,2024,PAT,-2532649,567458.0,-4.463,dps
ITTEFAQ,2025,PAT,-657979.649,147722.0,-4.454,dps
JDMT,2025,PAT,-754804,169836.0,-4.444,dps
LUCK,2025,Sales,530477744,124511744.0,4.260,dps
KEL,2021,TA,835677422,200387209.0,4.170,sarmaaya
KEL,2022,TL,809956361,200387209.0,4.042,sarmaaya
CENI,2025,PAT,2193850.0,549565.0,3.992,dps
HIRAT,2021,CA,702507.704,180049.0,3.902,sarmaaya
WTL,2024,CA,11787587.0,3101144.0,3.801,sarmaaya
SIEM,2024,Sales,35166298,9697992.0,3.626,dps
HIRAT,2021,Eq,627839.525,180049.0,3.487,sarmaaya
TPLI,2024,PAT,71627.782,21310.0,3.361,dps
FPJM,2025,Eq,1535396.586,-464603.0,-3.305,sarmaaya
CLVL,2025,PAT,-62958.57,19105.0,-3.295,dps
SAPT,2023,PAT,10723157.462,3291173.0,3.258,dps
UBDL,2025,PAT,-70447,21756.0,-3.238,dps
MQTM,2025,PAT,-827613.054,268512.0,-3.082,dps
KEL,2021,TL,611725906,200387209.0,3.053,sarmaaya
ASHT,2024,PAT,-57851.434,19042.0,-3.038,dps
TPL,2025,TA,8297223.517,27714825.0,0.299,sarmaaya
KTML,2024,CA,17882569,60336524.0,0.296,sarmaaya
MUBT,2024,PAT,-1959.093,6621.0,-0.296,dps
BAFS,2025,TL,1251431.153,4254131.0,0.294,sarmaaya
PMRS,2025,Eq,1285409,4374835.0,0.294,sarmaaya
PKGS,2025,TA,80128251,273854414.0,0.293,sarmaaya
INIL,2025,TL,10260000,35071953.0,0.293,sarmaaya
INIL,2025,Sales,25096000,85899663.0,0.292,sarmaaya
PCAL,2024,PAT,208858,723651.0,0.289,dps
WAVES,2025,PAT,125828,436596.0,0.288,sarmaaya
KTML,2025,TA,54564353,192046552.0,0.284,sarmaaya
JSML,2025,COGS,-2580644.0,9277137.0,-0.278,sarmaaya
SML,2024,CA,1571692,5710015.0,0.275,sarmaaya
PACE,2025,PAT,-87324,-317773.0,0.275,sarmaaya
INIL,2025,COGS,-21949000,79886886.0,-0.275,sarmaaya
FEROZ,2025,CA,3486146.183,12898291.0,0.270,sarmaaya
TPL,2024,TL,5866062.097,21724149.0,0.270,sarmaaya
LUCK,2025,TL,90837630,340459079.0,0.267,sarmaaya
KTML,2025,TL,22581981,85399019.0,0.264,sarmaaya
AHCL,2025,CA,4861811.1,18397842.0,0.264,sarmaaya
JSML,2025,Sales,2767201.0,10727499.0,0.258,dps
JSML,2025,Sales,2767201.0,10727499.0,0.258,sarmaaya
PMRS,2025,PAT,-589935,-2292905.0,0.257,sarmaaya
PMRS,2024,Eq,1867969,7262653.0,0.257,sarmaaya
GLPL,2025,PAT,-25950,101203.0,-0.256,dps
LUCK,2024,CA,68452084,275132977.0,0.249,sarmaaya
LUCK,2024,TL,86256813,346997774.0,0.249,sarmaaya
IGIHL,2024,Eq,15811653,63724910.0,0.248,sarmaaya
LUCK,2025,COGS,-81827060.0,329963662.0,-0.248,sarmaaya
PRET,2023,PAT,1042643.34,4310377.0,0.242,dps
UNITY,2023,PAT,567458,2436418.0,0.233,dps
EFUG,2025,TA,85626258,375265931.0,0.228,sarmaaya
AVN,2024,TL,3055355,13500971.0,0.226,sarmaaya
ALTN,2024,Eq,3749288.0,16594307.0,0.226,sarmaaya
EFUG,2024,TA,72398872,323898937.0,0.224,sarmaaya
HUBC,2025,TA,91533187,414722187.0,0.221,sarmaaya
TPL,2024,TA,6671273.685,30278257.0,0.220,sarmaaya
AVN,2024,CA,4609265,20928143.0,0.220,sarmaaya
AHCL,2024,TL,4234592.812,19905346.0,0.213,sarmaaya
DLL,2024,TA,7849129,36952908.0,0.212,sarmaaya
HTL,2025,Sales,6988836.0,33042903.0,0.212,dps
KTML,2025,CA,18978912,90130449.0,0.211,sarmaaya
PICT,2025,PAT,-134023,649096.0,-0.206,dps
SMTM,2021,PAT,-18694.761,91152.0,-0.205,dps
ABL,2024,PAT,8787405,43115904.0,0.204,dps
