year,month,Mkt_RF,SMB,HML,RMW,CMA
2015,7,-0.020319,0.017880,0.014171,-0.013393,0.015045
2015,8,-0.054775,0.020615,-0.041554,0.003575,-0.028207
2015,9,-0.004983,0.001031,0.014364,0.016860,0.011612
2015,10,0.052601,-0.054459,-0.008451,0.008006,-0.024847
2015,11,-0.038396,0.041888,0.007218,-0.012743,-0.031598
2015,12,-0.049134,-0.021892,0.050247,0.009232,0.006012
2016,1,0.012254,-0.041693,0.038322,0.044896,0.008719
2016,2,0.039271,-0.040172,-0.006434,0.017274,-0.018265
2016,3,0.091130,0.008364,-0.010975,-0.010490,0.026564
2016,4,0.005838,-0.044953,0.059589,-0.050669,0.040131
2016,5,-0.096110,0.007088,0.057475,-0.005630,-0.047951
2016,6,-0.032634,-0.024478,0.042557,-0.025699,-0.003321
2016,7,-0.007432,-0.005788,-0.028395,0.003694,-0.015810
2016,8,-0.006178,-0.026504,0.065888,-0.049308,0.036155
2016,9,-0.005648,0.022564,0.008466,-0.008944,0.012862
2016,10,0.017435,-0.019863,0.054439,-0.053358,0.060537
2016,11,-0.040467,0.044295,-0.038346,0.026875,-0.036426
2016,12,0.066748,0.035986,-0.021075,-0.012833,0.000246
2017,1,0.103046,0.006825,0.023072,-0.012629,0.053995
2017,2,0.000111,0.040827,-0.011756,0.019521,-0.010386
2017,3,0.028947,-0.001022,0.003766,-0.003091,0.021965
2017,4,0.039341,-0.013080,-0.000402,0.003843,0.000935
2017,5,0.030593,-0.025667,0.050749,-0.044577,-0.019823
2017,6,0.025035,-0.020761,0.017253,-0.015172,0.016454
2017,7,0.063662,0.009197,0.063636,-0.064723,0.013291
2017,8,0.029204,-0.030639,0.012894,-0.022921,0.024815
2017,9,-0.050500,0.014786,-0.021967,-0.012730,0.025212
2017,10,0.082143,-0.012658,0.027671,0.097724,-0.030989
2017,11,-0.036894,-0.048829,0.002513,0.076712,-0.057107
2017,12,0.103021,-0.029324,0.049836,-0.032583,0.003376
2018,1,0.025528,0.102316,0.024920,0.009242,-0.029667
2018,2,0.003411,-0.014250,-0.012980,-0.015060,0.019374
2018,3,-0.004504,0.008602,0.009850,-0.060626,0.032443
2018,4,-0.080606,0.019357,-0.015268,0.004588,-0.034801
2018,5,-0.044082,-0.118344,-0.005348,0.018467,-0.030047
2018,6,-0.038443,0.104138,-0.036434,-0.020037,0.085460
2018,7,0.019129,-0.029019,0.040019,0.070785,0.003814
2018,8,-0.015723,-0.047453,-0.025970,0.045784,-0.056782
2018,9,0.039262,-0.028508,-0.038982,0.038117,0.002536
2018,10,-0.111700,0.007181,0.014938,0.001180,-0.007409
2018,11,0.022938,-0.050975,0.098567,-0.122257,0.093782
2018,12,-0.058514,0.032017,-0.006009,0.029843,-0.004428
2019,1,0.120878,-0.029458,-0.070169,0.053752,-0.028077
2019,2,0.005158,0.033413,-0.003174,0.026758,0.006576
2019,3,-0.119916,0.067967,0.014298,-0.071970,-0.000684
2019,4,0.015352,-0.003067,0.058362,-0.020006,0.003064
2019,5,-0.054409,-0.001662,-0.039314,-0.004327,0.011708
2019,6,0.040256,0.003564,0.048609,0.010611,-0.004132
2019,7,0.009630,0.007621,0.066150,-0.066696,0.028326
2019,8,-0.032948,0.053845,0.014309,-0.076743,0.024111
2019,9,0.056048,0.028981,0.035970,-0.043755,0.027852
2019,10,-0.024579,0.057470,0.034574,0.005894,0.007260
2019,11,0.093090,0.074507,0.042045,-0.008476,-0.033023
2019,12,0.097819,0.077823,-0.001746,-0.027023,0.021392
2020,1,0.059761,0.123575,-0.006630,-0.027902,0.007150
2020,2,-0.072610,0.009261,-0.056210,0.025189,0.021522
2020,3,-0.145570,-0.015959,-0.033838,0.001085,-0.031144
2020,4,0.190880,0.134803,0.040479,-0.064077,0.025044
2020,5,0.074996,0.055964,-0.032633,-0.031808,-0.001238
2020,6,0.108686,0.027797,0.043768,-0.077491,0.053064
2020,7,0.262572,-0.205901,-0.445033,-0.100204,0.036640
2020,8,-0.111926,0.089324,0.084408,-0.103178,0.042815
2020,9,0.186409,0.198557,-0.164189,-0.078299,0.005807
2020,10,-0.014214,0.040647,0.024082,-0.096541,0.072164
2020,11,0.196959,-0.158865,-0.082881,-0.016904,0.024268
2020,12,0.137644,0.040461,0.053396,-0.092841,0.112898
2021,1,0.059489,0.065409,0.023724,0.051395,0.005129
2021,2,0.016685,-0.000513,0.041031,0.089966,-0.037676
2021,3,0.001761,-0.040667,-0.001505,0.016561,0.011977
2021,4,-0.040488,-0.104658,0.046158,0.043097,-0.026318
2021,5,-0.028855,-0.043499,0.019511,-0.015831,0.027222
2021,6,-0.067401,-0.043634,-0.014524,0.033050,-0.020974
2021,7,0.016280,-0.017820,0.031631,0.029001,0.011842
2021,8,0.043934,-0.013985,0.002540,0.037643,-0.014431
2021,9,-0.033580,-0.006316,-0.009211,-0.026222,0.019653
2021,10,0.065049,-0.064192,0.007499,-0.036089,0.062461
2021,11,0.204924,-0.193884,-0.019188,0.066539,-0.012593
2021,12,0.032043,-0.037963,-0.026861,-0.072454,0.050202
2022,1,0.049229,-0.002347,0.013276,-0.018326,-0.016257
2022,2,-0.034614,-0.071568,0.018783,-0.006400,0.002546
2022,3,0.154572,-0.110147,0.000483,-0.026050,0.000431
2022,4,0.054013,-0.005494,0.029552,-0.024034,-0.019393
2022,5,0.026944,-0.001004,0.036382,-0.021668,-0.032943
2022,6,-0.022000,0.015145,-0.029223,-0.049052,0.011205
2022,7,0.078607,-0.000245,-0.011986,0.007988,0.009573
2022,8,0.158081,-0.053826,0.059473,-0.029839,0.029395
2022,9,0.049891,-0.019730,-0.026369,-0.019847,-0.031509
2022,10,0.255681,0.010960,-0.041125,0.009100,-0.088577
2022,11,0.285390,-0.043725,0.087040,0.019596,0.013354
2022,12,0.105317,-0.034814,0.043170,-0.009408,0.049443
2023,1,-0.103542,-0.078068,-0.037210,-0.038697,0.021687
2023,2,0.071286,-0.095045,0.013864,-0.028005,-0.037454
2023,3,-0.059609,0.046215,-0.011396,0.041591,0.036749
2023,4,-0.055721,-0.013422,-0.018626,-0.026974,0.011014
2023,5,0.019504,0.017119,0.084990,-0.043854,0.029927
2023,6,0.162091,-0.037885,0.013390,-0.019392,0.017810
2023,7,0.266498,-0.022572,0.016557,0.027040,-0.027519
2023,8,0.121970,-0.014233,0.009614,-0.127876,-0.013350
2023,9,0.063693,0.076976,0.012159,-0.000474,-0.071785
2023,10,-0.037373,-0.005760,-0.081565,-0.044391,-0.104119
2023,11,0.055561,0.002061,0.047821,-0.030656,0.028099
2023,12,-0.081293,-0.032372,0.045764,0.058345,0.038834
2024,1,0.130813,0.050027,0.006945,-0.032177,0.025148
2024,2,0.102919,0.000294,-0.013983,-0.056729,0.040915
2024,3,-0.039762,-0.109784,-0.017305,-0.064912,-0.011162
2024,4,0.038141,0.022064,0.056957,-0.009730,0.005720
2024,5,-0.046610,0.002018,0.080484,0.038662,0.002514
2024,6,-0.017353,-0.024829,0.010781,0.019056,0.004728
2024,7,-0.030307,0.028090,-0.004739,-0.029167,0.019047
2024,8,-0.137584,0.001701,0.023516,-0.086370,0.021791
2024,9,-0.069663,0.018849,0.056671,-0.021710,-0.029874
2024,10,-0.082308,0.014329,-0.030543,-0.010944,-0.008819
2024,11,0.019993,-0.027381,0.078296,0.027220,0.018159
2024,12,-0.028106,-0.006053,-0.032971,-0.001032,0.002136
2025,1,-0.038944,-0.034576,0.000438,0.026732,-0.024745
2025,2,-0.065683,-0.013403,0.003400,-0.057679,0.011394
2025,3,0.038167,-0.087888,-0.009751,-0.036364,-0.015841
2025,4,-0.053036,0.051436,-0.022135,-0.062201,0.032838
2025,5,-0.060862,0.072677,0.063255,-0.011357,0.021642
2025,6,0.026024,-0.008861,0.031595,-0.042228,-0.010442
2025,7,0.079183,0.051934,-0.004324,-0.010608,0.003722
2025,8,0.039229,-0.000529,0.023316,-0.053048,0.015926
2025,9,-0.030464,-0.066611,-0.025539,-0.011461,0.003487
2025,10,0.007339,0.021661,-0.089452,-0.036780,0.079163
2025,11,-0.076367,-0.051390,0.026643,0.009841,0.028777
2025,12,0.059483,-0.113769,-0.071968,0.065563,-0.064926
2026,1,0.173720,-0.182809,0.003203,0.035469,0.004483
2026,2,-0.034317,-0.007348,0.001271,-0.034076,0.003562
2026,3,-0.030782,-0.015647,-0.014555,-0.019186,0.015235
2026,4,0.104834,-0.041581,-0.031016,0.018732,-0.063998
2026,5,-0.046925,0.018457,-0.020355,-0.000716,-0.004510
2026,6,0.010342,-0.040474,0.005330,-0.010904,-0.004219
2026,7,0.043501,-0.114233,-0.073989,0.040805,-0.031692
2026,8,0.003146,-0.012721,-0.011835,0.004109,0.000510
