year,month,Mkt_RF,ME,IA,ROE
2015,7,-0.020319,0.017880,0.015045,-0.013393
2015,8,-0.054775,0.020615,-0.028207,0.003575
2015,9,-0.004983,0.001031,0.011612,0.016860
2015,10,0.052601,-0.054459,-0.024847,0.008006
2015,11,-0.038396,0.041888,-0.031598,-0.012743
2015,12,-0.049134,-0.021892,0.006012,0.009232
2016,1,0.012254,-0.041693,0.008719,0.044896
2016,2,0.039271,-0.040172,-0.018265,0.017274
2016,3,0.091130,0.008364,0.026564,-0.010490
2016,4,0.005838,-0.044953,0.040131,-0.050669
2016,5,-0.096110,0.007088,-0.047951,-0.005630
2016,6,-0.032634,-0.024478,-0.003321,-0.025699
2016,7,-0.007432,-0.005788,-0.015810,0.003694
2016,8,-0.006178,-0.026504,0.036155,-0.049308
2016,9,-0.005648,0.022564,0.012862,-0.008944
2016,10,0.017435,-0.019863,0.060537,-0.053358
2016,11,-0.040467,0.044295,-0.036426,0.026875
2016,12,0.066748,0.035986,0.000246,-0.012833
2017,1,0.103046,0.006825,0.053995,-0.012629
2017,2,0.000111,0.040827,-0.010386,0.019521
2017,3,0.028947,-0.001022,0.021965,-0.003091
2017,4,0.039341,-0.013080,0.000935,0.003843
2017,5,0.030593,-0.025667,-0.019823,-0.044577
2017,6,0.025035,-0.020761,0.016454,-0.015172
2017,7,0.063662,0.009197,0.013291,-0.064723
2017,8,0.029204,-0.030639,0.024815,-0.022921
2017,9,-0.050500,0.014786,0.025212,-0.012730
2017,10,0.082143,-0.012658,-0.030989,0.097724
2017,11,-0.036894,-0.048829,-0.057107,0.076712
2017,12,0.103021,-0.029324,0.003376,-0.032583
2018,1,0.025528,0.102316,-0.029667,0.009242
2018,2,0.003411,-0.014250,0.019374,-0.015060
2018,3,-0.004504,0.008602,0.032443,-0.060626
2018,4,-0.080606,0.019357,-0.034801,0.004588
2018,5,-0.044082,-0.118344,-0.030047,0.018467
2018,6,-0.038443,0.104138,0.085460,-0.020037
2018,7,0.019129,-0.029019,0.003814,0.070785
2018,8,-0.015723,-0.047453,-0.056782,0.045784
2018,9,0.039262,-0.028508,0.002536,0.038117
2018,10,-0.111700,0.007181,-0.007409,0.001180
2018,11,0.022938,-0.050975,0.093782,-0.122257
2018,12,-0.058514,0.032017,-0.004428,0.029843
2019,1,0.120878,-0.029458,-0.028077,0.053752
2019,2,0.005158,0.033413,0.006576,0.026758
2019,3,-0.119916,0.067967,-0.000684,-0.071970
2019,4,0.015352,-0.003067,0.003064,-0.020006
2019,5,-0.054409,-0.001662,0.011708,-0.004327
2019,6,0.040256,0.003564,-0.004132,0.010611
2019,7,0.009630,0.007621,0.028326,-0.066696
2019,8,-0.032948,0.053845,0.024111,-0.076743
2019,9,0.056048,0.028981,0.027852,-0.043755
2019,10,-0.024579,0.057470,0.007260,0.005894
2019,11,0.093090,0.074507,-0.033023,-0.008476
2019,12,0.097819,0.077823,0.021392,-0.027023
2020,1,0.059761,0.123575,0.007150,-0.027902
2020,2,-0.072610,0.009261,0.021522,0.025189
2020,3,-0.145570,-0.015959,-0.031144,0.001085
2020,4,0.190880,0.134803,0.025044,-0.064077
2020,5,0.074996,0.055964,-0.001238,-0.031808
2020,6,0.108686,0.027797,0.053064,-0.077491
2020,7,0.262572,-0.205901,0.036640,-0.100204
2020,8,-0.111926,0.089324,0.042815,-0.103178
2020,9,0.186409,0.198557,0.005807,-0.078299
2020,10,-0.014214,0.040647,0.072164,-0.096541
2020,11,0.196959,-0.158865,0.024268,-0.016904
2020,12,0.137644,0.040461,0.112898,-0.092841
2021,1,0.059489,0.065409,0.005129,0.051395
2021,2,0.016685,-0.000513,-0.037676,0.089966
2021,3,0.001761,-0.040667,0.011977,0.016561
2021,4,-0.040488,-0.104658,-0.026318,0.043097
2021,5,-0.028855,-0.043499,0.027222,-0.015831
2021,6,-0.067401,-0.043634,-0.020974,0.033050
2021,7,0.016280,-0.017820,0.011842,0.029001
2021,8,0.043934,-0.013985,-0.014431,0.037643
2021,9,-0.033580,-0.006316,0.019653,-0.026222
2021,10,0.065049,-0.064192,0.062461,-0.036089
2021,11,0.204924,-0.193884,-0.012593,0.066539
2021,12,0.032043,-0.037963,0.050202,-0.072454
2022,1,0.049229,-0.002347,-0.016257,-0.018326
2022,2,-0.034614,-0.071568,0.002546,-0.006400
2022,3,0.154572,-0.110147,0.000431,-0.026050
2022,4,0.054013,-0.005494,-0.019393,-0.024034
