country,symbol,year,TA,TL,Eq,CA,CL,Sales,COGS,GP,PAT,Cash,Inv,PPE,dividends
TR,A1YEN,2018,225007593,176107383.0,48900210,3752330,16426003,18311677,5234796.0,13076882,29205062,357252,0,209325091,0.0
TR,A1YEN,2019,568473886,358377421.0,210096465,12815563,25372918,39205379,18437982.0,20767398,38361486,24708,0,530234553,0.0
TR,A1YEN,2020,652993901,301874844.0,351119057,9039390,22103023,65144130,13329390.0,51814740,29673453,443286,0,643864083,0.0
TR,A1YEN,2021,1400717104,556780324.0,843936780,38555951,85770437,89020796,57924088.0,31096708,68285171,21823513,0,1344576918,0.0
TR,A1YEN,2022,2084501255,711956830.0,1372544425,108241565,136075039,179002231,81663562.0,97338669,116169473,79133154,0,1918666682,0.0
TR,A1YEN,2023,3137980068,970948520.0,2167031548,73066010,185485721,261478496,202307938.0,59170558,4633837,25868522,0,3064663636,0.0
TR,A1YEN,2024,4450585795,1126673255.0,3323912540,144907164,229321783,507292062,289741152.0,217550911,309702410,11332518,21130220,4304285358,0.0
TR,A1YEN,2025,4664981336,1081741918.0,3583239418,260954187,250621441,525221546,316325337.0,208896208,84362830,54611851,5994939,4401839869,0.0
TR,AAGYO,2023,13947846543,2609086318.0,11338760225,1046210208,217082716,73179612,0.0,73179612,-298094124,244498,1039371982,71926290,0.0
TR,AAGYO,2024,15302670645,3125197652.0,12177472993,1344529811,818555572,686466938,243396552.0,443070386,465499486,19300124,1283453105,83838223,0.0
TR,AAGYO,2025,17164762377,3611552767.0,13553209610,1603727681,519479580,1432467659,517868151.0,914599508,138233808,88058703,1318794029,109852979,0.0
TR,ACSEL,2013,10281909,5988032.0,4293877,4664009,5367388,9465677,7604264.0,1861413,574069,242479,2339067,5576075,
TR,ACSEL,2014,13318664,7882833.0,5435831,6932454,7110709,11339466,8843160.0,2496306,45416,51396,4169531,6338279,
TR,ACSEL,2015,16756513,1747707.0,15008806,10192833,875141,12507462,10283794.0,2223668,355697,1765063,5978650,6502157,
TR,ACSEL,2016,24132709,2106377.0,22026332,10953846,1011089,14445519,12135848.0,2309671,688231,1025911,5978597,5796913,0.0
TR,ACSEL,2017,28317742,5131692.0,23186050,13304099,2905410,21164595,17530256.0,3634339,1839175,2162429,4434936,6912335,529992.0
TR,ACSEL,2018,38171678,6457419.0,31714259,15418210,4142944,31972324,25839492.0,6132832,8216511,2444241,6934224,9550590,636002.0
TR,ACSEL,2019,49448081,7566326.0,41881755,18628141,4326296,42939006,34800370.0,8138636,9305763,2233195,7054354,11877063,750519.0
TR,ACSEL,2020,61359763,9383072.0,51976691,26579131,5472428,47660506,34994422.0,12666084,10451022,5701063,10445915,12611677,857736.0
TR,ACSEL,2021,128645519,39088087.0,89557432,76378100,32815289,111028520,86856445.0,24172075,35058646,9478887,31871612,16622872,964953.0
TR,ACSEL,2022,468763829,141741125.0,327022704,193764640,80874767,644000394,564340407.0,79659987,65050253,4177820,132603325,79389094,2389824.0
TR,ACSEL,2023,812667400,293017168.0,519650232,277157268,257935294,644837341,578476607.0,66360734,51666541,395909,133381746,367566233,2625758.0
TR,ACSEL,2024,1060829870,429102229.0,631727641,386502230,263640271,890026298,831415833.0,58610466,-47323751,7827537,93776415,476729989,2912915.0
TR,ACSEL,2025,1035814286,403070023.0,632744263,311629303,262657747,754628849,717683010.0,36945839,-73917950,28328908,65840176,506956681,0.0
TR,ADEL,2013,207069865,64275063.0,142794802,162536159,40402979,186099908,96103392.0,89996516,49662101,38699751,76190352,30524973,
TR,ADEL,2014,282060860,133740566.0,148320294,192474779,108047468,221347791,111360312.0,109987479,28089319,15858762,107868824,80851578,
TR,ADEL,2015,379756095,174009478.0,205746617,263405572,168014498,251614689,134540648.0,117074041,71501290,63113002,120244108,110536560,
TR,ADEL,2016,311431000,115940000.0,195491000,196786000,85549000,272288000,142851000.0,129437000,18857000,11046000,107830000,107899000,30004000.0
TR,ADEL,2017,356244000,150845000.0,205399000,241316000,129331000,322397000,176818000.0,145579000,26870000,20327000,113113000,109575000,17010000.0
TR,ADEL,2018,466032000,277251000.0,188781000,341287000,266216000,385115000,210841000.0,174274000,13830000,59155000,158379000,111082000,22000000.0
TR,ADEL,2019,389521000,226302000.0,163219000,261640000,166702000,347114000,195290000.0,151824000,-14673000,13421000,137387000,105340000,20010000.0
TR,ADEL,2020,634419000,489030000.0,145389000,513831000,409440000,391147000,242358000.0,148789000,1915000,279347000,139751000,100774000,0.0
TR,ADEL,2021,708257000,576992000.0,131265000,592411000,548312000,486155000,332290000.0,153865000,-12698000,342560000,113968000,99115000,30004000.0
TR,ADEL,2022,1906116000,1213432000.0,692684000,1156436000,1001884000,1675122000,1253242000.0,421880000,-19427000,481745000,493060000,625391000,26645000.0
TR,ADEL,2023,3798883000,2195076000.0,1603807000,2639716000,2036566000,3265499000,1740926000.0,1524573000,629443000,1146378000,888797000,804473000,28589000.0
TR,ADEL,2024,3719872286,1823129875.0,1896742411,2346032948,1082200758,3549772469,1733103440.0,1816669029,24403566,863018936,1033308547,1033908034,238772477.0
TR,ADEL,2025,3495239982,2157528972.0,1337711010,1990042333,2069318572,2310417681,1394022966.0,916394715,-552804392,435427846,1246670377,1059893697,172278888.0
TR,ADESE,2013,661406513,291713542.0,369692971,226317354,204313566,588506134,463201530.0,125304604,17357799,15780050,113410309,179952430,
TR,ADESE,2014,774074750,374336951.0,399737799,286090897,278268194,609265238,480244839.0,129020399,18476378,15327997,122771881,207633085,
