ticker,status,n_days,first_date,last_date,n_months
A1YEN,OK,1260,"(2021, 7, 16)","(2026, 8, 3)",62
AAGYO,OK,76,"(2026, 4, 9)","(2026, 8, 3)",5
ACSEL,OK,3525,"(2012, 7, 6)","(2026, 8, 3)",170
ADEL,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
ADESE,OK,3696,"(2011, 11, 3)","(2026, 8, 3)",178
ADGYO,OK,718,"(2023, 9, 20)","(2026, 8, 3)",36
ADLVY,EMPTY,0,0,0,0
AEFES,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
AFYON,OK,4660,"(2008, 1, 2)","(2026, 8, 3)",224
AGESA,OK,2938,"(2014, 11, 13)","(2026, 8, 3)",142
AGHOL,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
AGROT,OK,672,"(2023, 11, 23)","(2026, 8, 3)",34
AGYO,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
AHGAZ,OK,900,"(2022, 12, 22)","(2026, 8, 3)",45
AHSGY,OK,482,"(2024, 8, 29)","(2026, 8, 3)",25
AKBNK,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
AKCNS,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
AKCVR,EMPTY,0,0,0,0
AKDFA,EMPTY,0,0,0,0
AKENR,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
AKFGY,OK,3818,"(2011, 5, 11)","(2026, 8, 3)",184
AKFIS,OK,380,"(2025, 1, 23)","(2026, 8, 3)",20
AKFK,EMPTY,0,0,0,0
AKFYE,OK,845,"(2023, 3, 16)","(2026, 8, 3)",42
AKGRT,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
AKHAN,OK,119,"(2026, 2, 6)","(2026, 8, 3)",7
AKMGY,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
AKSA,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
AKSEN,OK,4063,"(2010, 5, 21)","(2026, 8, 3)",196
AKSFA,EMPTY,0,0,0,0
AKSGY,OK,3393,"(2013, 1, 17)","(2026, 8, 3)",164
AKSUE,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
AKTVK,EMPTY,0,0,0,0
AKYHO,OK,3526,"(2012, 7, 5)","(2026, 8, 3)",170
ALARK,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
ALBTN,OK,4,"(2026, 7, 29)","(2026, 8, 3)",2
ALCAR,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
ALCTL,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
ALFAS,OK,926,"(2022, 11, 16)","(2026, 8, 3)",46
ALGYO,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
ALJF,EMPTY,0,0,0,0
ALKA,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
ALKIM,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
ALKLC,OK,540,"(2024, 6, 4)","(2026, 8, 3)",27
ALTNY,OK,553,"(2024, 5, 16)","(2026, 8, 3)",28
ALVES,OK,603,"(2024, 2, 29)","(2026, 8, 3)",31
ANELE,OK,4045,"(2010, 6, 16)","(2026, 8, 3)",195
ANGEN,OK,1196,"(2021, 10, 21)","(2026, 8, 3)",59
ANHYT,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
ANSGR,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
ARASE,OK,1182,"(2021, 11, 11)","(2026, 8, 3)",58
ARCLK,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
ARDYZ,OK,1621,"(2020, 2, 6)","(2026, 8, 3)",79
ARENA,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
ARFYE,OK,143,"(2026, 1, 5)","(2026, 8, 3)",8
ARMGD,OK,394,"(2025, 1, 3)","(2026, 8, 3)",20
ARSAN,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
ARSVY,EMPTY,0,0,0,0
ARTMS,OK,601,"(2024, 3, 4)","(2026, 8, 3)",30
ARZUM,OK,1400,"(2020, 12, 24)","(2026, 8, 3)",69
ASELS,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
ASGYO,OK,751,"(2023, 8, 3)","(2026, 8, 3)",37
ASTOR,OK,881,"(2023, 1, 18)","(2026, 8, 3)",44
ASUZU,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
ATAGY,OK,4659,"(2008, 1, 2)","(2026, 8, 3)",224
ATAKP,OK,756,"(2023, 7, 27)","(2026, 8, 3)",38
ATATP,OK,1289,"(2021, 6, 4)","(2026, 8, 3)",63
ATATR,OK,110,"(2026, 2, 19)","(2026, 8, 3)",7
ATAVK,EMPTY,0,0,0,0
ATEKS,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
ATLAS,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
ATLFA,EMPTY,0,0,0,0
ATSYH,OK,4657,"(2008, 1, 2)","(2026, 8, 3)",224
AVGYO,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
AVHOL,OK,3382,"(2013, 2, 1)","(2026, 8, 3)",163
AVOD,OK,3676,"(2011, 12, 6)","(2026, 8, 3)",177
AVPGY,OK,652,"(2023, 12, 21)","(2026, 8, 3)",33
AVTUR,OK,4660,"(2008, 1, 2)","(2026, 8, 3)",224
AYCES,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
AYDEM,OK,1312,"(2021, 4, 29)","(2026, 8, 3)",65
AYEN,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
AYES,OK,3509,"(2012, 7, 30)","(2026, 8, 3)",170
AYGAZ,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
AZTEK,OK,990,"(2022, 8, 17)","(2026, 8, 3)",49
BAGFS,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
BAHKM,OK,494,"(2024, 8, 13)","(2026, 8, 3)",25
BAKAB,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
BALAT,OK,3490,"(2012, 8, 24)","(2026, 8, 3)",169
BALSU,OK,360,"(2025, 2, 20)","(2026, 8, 3)",19
BANVT,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
BARMA,OK,995,"(2022, 8, 10)","(2026, 8, 3)",49
BASCM,OK,3503,"(2012, 8, 7)","(2026, 8, 3)",169
BASGZ,OK,1284,"(2021, 6, 11)","(2026, 8, 3)",63
BAYRK,OK,1541,"(2020, 6, 4)","(2026, 8, 3)",75
BEGYO,OK,661,"(2023, 12, 8)","(2026, 8, 3)",33
BERA,OK,3430,"(2012, 11, 26)","(2026, 8, 3)",166
BESLR,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
BESTE,OK,116,"(2026, 2, 11)","(2026, 8, 3)",7
BETAE,OK,23,"(2026, 7, 1)","(2026, 8, 3)",2
BEYAZ,OK,3587,"(2012, 4, 2)","(2026, 8, 3)",173
BFREN,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
BIENY,OK,802,"(2023, 5, 18)","(2026, 8, 3)",40
BIGCH,OK,808,"(2023, 5, 10)","(2026, 8, 3)",40
BIGEN,OK,371,"(2025, 2, 5)","(2026, 8, 3)",19
BIGTK,OK,4660,"(2008, 1, 2)","(2026, 8, 3)",224
BIMAS,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
BINBN,OK,454,"(2024, 10, 9)","(2026, 8, 3)",23
BINHO,OK,675,"(2023, 11, 20)","(2026, 8, 3)",34
BIOEN,OK,1313,"(2021, 4, 28)","(2026, 8, 3)",65
BIZIM,OK,3887,"(2011, 2, 3)","(2026, 8, 3)",187
BJKAS,OK,4660,"(2008, 1, 2)","(2026, 8, 3)",224
BLCYT,OK,3813,"(2011, 5, 18)","(2026, 8, 3)",184
BLKOM,EMPTY,0,0,0,0
BLUME,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
BMSCH,OK,1287,"(2021, 6, 8)","(2026, 8, 3)",63
BMSTL,OK,1063,"(2022, 4, 27)","(2026, 8, 3)",53
BNPPI,EMPTY,0,0,0,0
BNTAS,OK,2809,"(2015, 5, 18)","(2026, 8, 3)",136
BOBET,OK,1290,"(2021, 6, 3)","(2026, 8, 3)",63
BORLS,OK,697,"(2023, 10, 19)","(2026, 8, 3)",35
BORSK,OK,613,"(2024, 2, 15)","(2026, 8, 3)",31
BOSSA,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
BRGFK,EMPTY,0,0,0,0
BRISA,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
BRKO,OK,4326,"(2009, 4, 30)","(2026, 8, 3)",209
BRKSN,OK,3886,"(2011, 2, 4)","(2026, 8, 3)",187
BRKT,EMPTY,0,0,0,0
BRKVY,OK,905,"(2022, 12, 15)","(2026, 8, 3)",45
BRLSM,OK,1239,"(2021, 8, 20)","(2026, 8, 3)",61
BRMEN,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
BRSAN,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
BRYAT,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
BSOKE,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
BTCIM,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
BUCIM,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
BULGS,OK,359,"(2025, 2, 21)","(2026, 8, 3)",19
BURCE,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
BURVA,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
BVSAN,OK,868,"(2023, 2, 6)","(2026, 8, 3)",43
BYDNR,OK,740,"(2023, 8, 21)","(2026, 8, 3)",37
CAGFA,EMPTY,0,0,0,0
CANTE,OK,1311,"(2021, 4, 30)","(2026, 8, 3)",65
CASA,OK,3513,"(2012, 7, 24)","(2026, 8, 3)",170
CATES,OK,662,"(2023, 12, 7)","(2026, 8, 3)",33
CCOLA,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
CELHA,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
CEMAS,OK,4033,"(2010, 7, 2)","(2026, 8, 3)",194
CEMTS,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
CEMZY,OK,476,"(2024, 9, 9)","(2026, 8, 3)",24
CEOEM,OK,1790,"(2019, 5, 31)","(2026, 8, 3)",88
CGCAM,OK,406,"(2024, 12, 17)","(2026, 8, 3)",21
CIMSA,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
CLEBI,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
CLKMT,EMPTY,0,0,0,0
CMBTN,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
CMENT,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
CMSAN,EMPTY,0,0,0,0
CONSE,OK,1068,"(2022, 4, 20)","(2026, 8, 3)",53
COSMO,OK,4607,"(2008, 1, 2)","(2026, 8, 3)",224
CRDFA,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
CRFSA,OK,2752,"(2015, 8, 7)","(2026, 8, 3)",133
CUSAN,OK,2616,"(2016, 2, 19)","(2026, 8, 3)",127
CVKMD,OK,825,"(2023, 4, 13)","(2026, 8, 3)",41
CWENE,OK,811,"(2023, 5, 5)","(2026, 8, 3)",40
DAGI,OK,3804,"(2011, 6, 1)","(2026, 8, 3)",183
DAPGM,OK,1107,"(2022, 2, 24)","(2026, 8, 3)",55
DARDL,OK,4654,"(2008, 1, 2)","(2026, 8, 3)",224
DCTTR,OK,503,"(2024, 7, 31)","(2026, 8, 3)",26
DENFA,EMPTY,0,0,0,0
DENGE,OK,3506,"(2012, 8, 2)","(2026, 8, 3)",169
DENVA,EMPTY,0,0,0,0
DERHL,OK,1769,"(2019, 7, 4)","(2026, 8, 3)",86
DERIM,OK,4660,"(2008, 1, 2)","(2026, 8, 3)",224
DESA,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
DESPC,OK,3928,"(2010, 12, 8)","(2026, 8, 3)",189
DEVA,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
DFKTR,EMPTY,0,0,0,0
DGATE,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
DGGYO,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
DGNMO,OK,4660,"(2008, 1, 2)","(2026, 8, 3)",224
DGRVK,EMPTY,0,0,0,0
DIMES,EMPTY,0,0,0,0
DIRIT,OK,3487,"(2012, 9, 3)","(2026, 8, 3)",168
DITAS,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
DKVRL,EMPTY,0,0,0,0
DMLKT,EMPTY,0,0,0,0
DMRGD,OK,711,"(2023, 9, 29)","(2026, 8, 3)",36
DMSAS,OK,4661,"(2008, 1, 2)","(2026, 8, 3)",224
DNFIN,EMPTY,0,0,0,0
