ticker,year,month,market_cap
A1YEN,2021,7,599499979.01917
A1YEN,2021,8,838750000.0
A1YEN,2021,9,875049991.60767
A1YEN,2021,10,1215500020.98083
A1YEN,2021,11,785949997.90192
A1YEN,2021,12,830500020.98083
A1YEN,2022,1,1092300033.56934
A1YEN,2022,2,1055450029.37317
A1YEN,2022,3,934449987.4115
A1YEN,2022,4,778249979.01917
A1YEN,2022,5,722150006.29425
A1YEN,2022,6,699600014.68658
A1YEN,2022,7,758449997.90192
A1YEN,2022,8,908050012.5885
A1YEN,2022,9,1032350025.177
A1YEN,2022,10,1408000020.98083
A1YEN,2022,11,2006399974.823
A1YEN,2022,12,1752300033.56934
A1YEN,2023,1,1279300012.5885
A1YEN,2023,2,1277099962.2345
A1YEN,2023,3,1158299970.62683
A1YEN,2023,4,978999958.03833
A1YEN,2023,5,1045550012.5885
A1YEN,2023,6,1133000020.98083
A1YEN,2023,7,1757799949.646
A1YEN,2023,8,1487200050.354
A1YEN,2023,9,1610400037.7655
A1YEN,2023,10,1304599962.2345
A1YEN,2023,11,1415699987.4115
A1YEN,2023,12,1237500000.0
A1YEN,2024,1,2107599983.21533
A1YEN,2024,2,2956250000.0
A1YEN,2024,3,2167000083.92334
A1YEN,2024,4,2119700050.354
A1YEN,2024,5,2044900016.78467
A1YEN,2024,6,1689599962.2345
A1YEN,2024,7,1583999958.03833
A1YEN,2024,8,1671999979.01917
A1YEN,2024,9,1505899953.84216
A1YEN,2024,10,1439900016.78467
A1YEN,2024,11,1483899974.823
A1YEN,2024,12,1535600004.19617
A1YEN,2025,1,1508100004.19617
A1YEN,2025,2,1369499979.01917
A1YEN,2025,3,1434399995.80383
A1YEN,2025,4,1785299949.646
A1YEN,2025,5,1436600046.15784
A1YEN,2025,6,1473999958.03833
A1YEN,2025,7,1733600025.177
A1YEN,2025,8,1769900016.78467
A1YEN,2025,9,1678600025.177
A1YEN,2025,10,1692900037.7655
A1YEN,2025,11,1591700029.37317
A1YEN,2025,12,1589499979.01917
A1YEN,2026,1,1696200008.39233
A1YEN,2026,2,1606000041.96167
A1YEN,2026,3,1837000083.92334
A1YEN,2026,4,2087799949.646
A1YEN,2026,5,2052000045.77637
A1YEN,2026,6,1776000022.88818
A1YEN,2026,7,1584000062.9425
A1YEN,2026,8,1590000057.22046
AAGYO,2026,4,13326010160.44617
AAGYO,2026,5,12386670053.48206
AAGYO,2026,6,11089819786.07178
AAGYO,2026,7,9070939705.84869
AAGYO,2026,8,8902699866.29486
