ticker,year,month,ret_monthly,n_days,first_close,last_close
A1YEN,2021,7,,7,0.8067,0.9992
A1YEN,2021,8,0.399083,21,0.8993,1.3979
A1YEN,2021,9,0.043279,22,1.2668,1.4584
A1YEN,2021,10,0.389063,20,1.6042,2.0258
A1YEN,2021,11,-0.353394,22,2.2275,1.3099
A1YEN,2021,12,0.056683,23,1.3466,1.3842
A1YEN,2022,1,0.315232,21,1.3897,1.8205
A1YEN,2022,2,-0.033736,20,1.7829,1.7591
A1YEN,2022,3,-0.114643,23,1.5840,1.5574
A1YEN,2022,4,-0.167157,21,1.5583,1.2971
A1YEN,2022,5,-0.072085,18,1.3338,1.2036
A1YEN,2022,6,-0.031226,22,1.2155,1.1660
A1YEN,2022,7,0.084119,18,1.1678,1.2641
A1YEN,2022,8,0.197244,22,1.2678,1.5134
A1YEN,2022,9,0.136887,22,1.5363,1.7206
A1YEN,2022,10,0.363879,21,1.7380,2.3467
A1YEN,2022,11,0.425000,22,2.4383,3.3440
A1YEN,2022,12,-0.126645,22,3.3367,2.9205
A1YEN,2023,1,-0.269931,22,2.9480,2.1322
A1YEN,2023,2,-0.001720,15,1.9837,2.1285
A1YEN,2023,3,-0.093023,23,2.2183,1.9305
A1YEN,2023,4,-0.154796,19,1.8883,1.6317
A1YEN,2023,5,0.067978,21,1.5675,1.7426
A1YEN,2023,6,0.083640,19,1.7426,1.8883
A1YEN,2023,7,0.551456,21,1.9397,2.9297
A1YEN,2023,8,-0.153942,22,2.7958,2.4787
A1YEN,2023,9,0.082840,21,2.5080,2.6840
A1YEN,2023,10,-0.189891,22,2.7683,2.1743
A1YEN,2023,11,0.085160,22,2.1853,2.3595
A1YEN,2023,12,-0.125874,21,2.3283,2.0625
A1YEN,2024,1,0.703111,22,2.1377,3.5127
A1YEN,2024,2,0.402662,21,3.5842,4.9271
A1YEN,2024,3,-0.266977,21,4.7438,3.6117
A1YEN,2024,4,-0.021827,18,3.4962,3.5328
A1YEN,2024,5,-0.035288,22,3.6300,3.4082
A1YEN,2024,6,-0.173749,17,3.2450,2.8160
A1YEN,2024,7,-0.062500,22,2.7023,2.6400
A1YEN,2024,8,0.055556,21,2.7262,2.7867
A1YEN,2024,9,-0.099342,21,2.7738,2.5098
A1YEN,2024,10,-0.043828,22,2.3888,2.3998
A1YEN,2024,11,0.030558,21,2.4310,2.4732
A1YEN,2024,12,0.034841,22,2.5062,2.5593
A1YEN,2025,1,-0.017908,22,2.5538,2.5135
A1YEN,2025,2,-0.091904,20,2.4438,2.2825
A1YEN,2025,3,0.047390,20,2.2843,2.3907
A1YEN,2025,4,0.244632,20,2.4255,2.9755
A1YEN,2025,5,-0.195317,20,2.9755,2.3943
A1YEN,2025,6,0.026034,19,2.3063,2.4567
A1YEN,2025,7,0.176119,22,2.4860,2.8893
A1YEN,2025,8,0.020939,21,2.8233,2.9498
A1YEN,2025,9,-0.051585,22,2.9718,2.7977
A1YEN,2025,10,0.008519,22,2.8197,2.8215
A1YEN,2025,11,-0.059779,20,2.9938,2.6528
A1YEN,2025,12,-0.001382,23,2.6785,2.6492
A1YEN,2026,1,0.067128,21,2.7152,2.8270
A1YEN,2026,2,-0.053178,20,2.8417,2.6767
A1YEN,2026,3,0.143836,21,2.5758,3.0617
A1YEN,2026,4,0.136527,21,3.1405,3.4797
A1YEN,2026,5,-0.909905,16,3.8262,3.4200
A1YEN,2026,6,-0.134503,22,3.5300,2.9600
A1YEN,2026,7,-0.108108,22,2.9800,2.6400
A1YEN,2026,8,0.003788,1,2.6500,2.6500
AAGYO,2026,4,,15,22.6359,18.5478
AAGYO,2026,5,-0.070489,16,18.1282,17.2403
AAGYO,2026,6,-0.104697,22,17.4062,15.8200
AAGYO,2026,7,-0.182048,22,16.0600,12.9400
AAGYO,2026,8,-0.018547,1,12.7000,12.7000
ACSEL,2012,7,,18,3.7678,6.5309
ACSEL,2012,8,0.492308,20,6.3801,9.7461
ACSEL,2012,9,-0.352234,20,9.5116,6.3132
ACSEL,2012,10,-0.594695,20,5.5094,2.5588
ACSEL,2012,11,-0.130890,22,2.5119,2.2238
ACSEL,2012,12,-0.012048,21,2.2171,2.1970
ACSEL,2013,1,-0.067073,22,2.2171,2.0497
ACSEL,2013,2,0.039216,20,2.0564,2.1301
ACSEL,2013,3,-0.009434,21,2.1033,2.1100
ACSEL,2013,4,0.022222,21,2.1100,2.1569
ACSEL,2013,5,-0.034161,22,2.1569,2.0832
ACSEL,2013,6,0.016077,20,1.9827,2.1167
ACSEL,2013,7,-0.028481,23,2.0832,2.0564
ACSEL,2013,8,-0.052117,19,2.0698,1.9492
ACSEL,2013,9,-0.006873,21,1.9626,1.9358
ACSEL,2013,10,0.051903,18,1.9559,2.0363
ACSEL,2013,11,-0.049342,21,2.0162,1.9358
ACSEL,2013,12,0.010381,22,1.9224,1.9559
ACSEL,2014,1,0.023973,22,2.0363,2.0028
ACSEL,2014,2,-0.023411,20,2.0028,1.9559
ACSEL,2014,3,0.102740,21,1.9425,2.1569
ACSEL,2014,4,-0.088509,21,2.0296,1.9660
ACSEL,2014,5,-0.001704,20,1.9727,1.9626
ACSEL,2014,6,0.255973,21,1.9660,2.4650
ACSEL,2014,7,-0.201087,20,2.3712,1.9693
ACSEL,2014,8,-0.018707,21,1.9492,1.9325
ACSEL,2014,9,0.077990,22,1.9660,2.0832
ACSEL,2014,10,0.257235,20,2.1200,2.6190
ACSEL,2014,11,0.157289,20,2.5856,3.0310
ACSEL,2014,12,0.155801,23,3.1047,3.5032
ACSEL,2015,1,0.046845,21,3.5200,3.6673
ACSEL,2015,2,-0.013699,20,3.7846,3.6171
ACSEL,2015,3,0.087037,22,3.5903,3.9319
ACSEL,2015,4,-0.234242,21,3.8180,4.2005
ACSEL,2015,5,0.167964,19,4.0230,4.9061
ACSEL,2015,6,0.152381,22,4.9061,5.6537
ACSEL,2015,7,-0.051240,22,5.6069,5.3640
ACSEL,2015,8,0.048780,21,5.5882,5.6256
ACSEL,2015,9,-0.003322,20,5.6537,5.6069
ACSEL,2015,10,-0.093333,21,5.6069,5.0836
ACSEL,2015,11,-0.027574,21,5.0930,4.9434
ACSEL,2015,12,-0.906994,23,4.6694,4.5492
ACSEL,2016,1,-0.160569,20,4.4382,3.8187
ACSEL,2016,2,-0.128329,21,3.7817,3.3287
ACSEL,2016,3,0.366667,23,3.3102,4.5492
