ticker,year,month,capital
A1YEN,2021,7,55000000.0
A1YEN,2021,8,55000000.0
A1YEN,2021,9,55000000.0
A1YEN,2021,10,55000000.0
A1YEN,2021,11,55000000.0
A1YEN,2021,12,55000000.0
A1YEN,2022,1,55000000.0
A1YEN,2022,2,55000000.0
A1YEN,2022,3,55000000.0
A1YEN,2022,4,55000000.0
A1YEN,2022,5,55000000.0
A1YEN,2022,6,55000000.0
A1YEN,2022,7,55000000.0
A1YEN,2022,8,55000000.0
A1YEN,2022,9,55000000.0
A1YEN,2022,10,55000000.0
A1YEN,2022,11,55000000.0
A1YEN,2022,12,55000000.0
A1YEN,2023,1,55000000.0
A1YEN,2023,2,55000000.0
A1YEN,2023,3,55000000.0
A1YEN,2023,4,55000000.0
A1YEN,2023,5,55000000.0
A1YEN,2023,6,55000000.0
A1YEN,2023,7,55000000.0
A1YEN,2023,8,55000000.0
A1YEN,2023,9,55000000.0
A1YEN,2023,10,55000000.0
A1YEN,2023,11,55000000.0
A1YEN,2023,12,55000000.0
A1YEN,2024,1,55000000.0
A1YEN,2024,2,55000000.0
A1YEN,2024,3,55000000.0
A1YEN,2024,4,55000000.0
A1YEN,2024,5,55000000.0
A1YEN,2024,6,55000000.0
A1YEN,2024,7,55000000.0
A1YEN,2024,8,55000000.0
A1YEN,2024,9,55000000.0
A1YEN,2024,10,55000000.0
A1YEN,2024,11,55000000.0
A1YEN,2024,12,55000000.0
A1YEN,2025,1,55000000.0
A1YEN,2025,2,55000000.0
A1YEN,2025,3,55000000.0
A1YEN,2025,4,55000000.0
A1YEN,2025,5,55000000.0
A1YEN,2025,6,55000000.0
A1YEN,2025,7,55000000.0
A1YEN,2025,8,55000000.0
A1YEN,2025,9,55000000.0
A1YEN,2025,10,55000000.0
A1YEN,2025,11,55000000.0
A1YEN,2025,12,55000000.0
A1YEN,2026,1,55000000.0
A1YEN,2026,2,55000000.0
A1YEN,2026,3,55000000.0
A1YEN,2026,4,55000000.0
A1YEN,2026,5,600000000.0
A1YEN,2026,6,600000000.0
A1YEN,2026,7,600000000.0
A1YEN,2026,8,600000000.0
AAGYO,2026,4,701000000.0
AAGYO,2026,5,701000000.0
AAGYO,2026,6,701000000.0
AAGYO,2026,7,701000000.0
AAGYO,2026,8,701000000.0
ACSEL,2012,7,602000.0
ACSEL,2012,8,602000.0
ACSEL,2012,9,602000.0
ACSEL,2012,10,602000.0
ACSEL,2012,11,602000.0
ACSEL,2012,12,602000.0
ACSEL,2013,1,602000.0
ACSEL,2013,2,602000.0
ACSEL,2013,3,602000.0
ACSEL,2013,4,602000.0
ACSEL,2013,5,602000.0
ACSEL,2013,6,602000.0
ACSEL,2013,7,602000.0
ACSEL,2013,8,602000.0
ACSEL,2013,9,602000.0
ACSEL,2013,10,602000.0
ACSEL,2013,11,602000.0
