ticker,year,month,volume_tl
A1YEN,2021,7,791944099.0
A1YEN,2021,8,1359811601.0
A1YEN,2021,9,768574388.0
A1YEN,2021,10,1186718648.0
A1YEN,2021,11,1218077983.0
A1YEN,2021,12,897644679.0
A1YEN,2022,1,1124497831.0
A1YEN,2022,2,645275848.0
A1YEN,2022,3,650353597.0
A1YEN,2022,4,853356940.0
A1YEN,2022,5,307413405.0
A1YEN,2022,6,374285607.0
A1YEN,2022,7,379428019.0
A1YEN,2022,8,857851137.0
A1YEN,2022,9,1093025715.0
A1YEN,2022,10,1577060759.0
A1YEN,2022,11,2396630765.0
A1YEN,2022,12,1347213590.0
A1YEN,2023,1,494117863.0
A1YEN,2023,2,350843306.0
A1YEN,2023,3,496393004.0
A1YEN,2023,4,294554694.0
A1YEN,2023,5,212894547.0
A1YEN,2023,6,351481951.0
A1YEN,2023,7,1185043438.0
A1YEN,2023,8,1060365698.0
A1YEN,2023,9,1186968171.0
A1YEN,2023,10,1518942475.0
A1YEN,2023,11,471727110.0
A1YEN,2023,12,382757179.0
A1YEN,2024,1,3072216282.0
A1YEN,2024,2,4193977586.0
A1YEN,2024,3,2337115569.0
A1YEN,2024,4,1851337071.0
A1YEN,2024,5,1804605151.0
A1YEN,2024,6,985067056.0
A1YEN,2024,7,1596051760.0
A1YEN,2024,8,4190085375.0
A1YEN,2024,9,1301818439.0
A1YEN,2024,10,1043690527.0
A1YEN,2024,11,1674491869.0
A1YEN,2024,12,1489271318.0
A1YEN,2025,1,1116481977.0
A1YEN,2025,2,455215783.0
A1YEN,2025,3,845231882.0
A1YEN,2025,4,1792690110.0
A1YEN,2025,5,1849253762.0
A1YEN,2025,6,1092804537.0
A1YEN,2025,7,1441063970.0
A1YEN,2025,8,2074211068.0
A1YEN,2025,9,1387392899.0
A1YEN,2025,10,1057357562.0
A1YEN,2025,11,1262988015.0
A1YEN,2025,12,1037566010.0
A1YEN,2026,1,2358531472.0
A1YEN,2026,2,1585215353.0
A1YEN,2026,3,2011833440.46
A1YEN,2026,4,2334089578.4
A1YEN,2026,5,5656866197.0
A1YEN,2026,6,2610968733.0
A1YEN,2026,7,996301619.0
A1YEN,2026,8,26690839.0
AAGYO,2026,4,28652648843.2
AAGYO,2026,5,13108607002.0
AAGYO,2026,6,5763680578.0
AAGYO,2026,7,3149444034.0
AAGYO,2026,8,73465728.0
ACSEL,2012,7,213446743.5
ACSEL,2012,8,149897859.5
ACSEL,2012,9,203763791.75
ACSEL,2012,10,245035689.75
ACSEL,2012,11,67518172.4
ACSEL,2012,12,99911185.7
ACSEL,2013,1,35439273.1
ACSEL,2013,2,84862662.9
ACSEL,2013,3,37869230.7
ACSEL,2013,4,48274613.3
ACSEL,2013,5,29389321.3
ACSEL,2013,6,25251045.8
ACSEL,2013,7,10597033.8
ACSEL,2013,8,15550074.4
ACSEL,2013,9,18091413.9
ACSEL,2013,10,16409095.5
ACSEL,2013,11,27862008.900000002
ACSEL,2013,12,39027896.2
