window,alpha
0,0.13627662
0,0.06221198
0,0.17790706
0,0.03925448
0,0.19801380
0,0.20660208
0,0.05706352
0,0.15061064
0,0.15856153
0,0.19759130
0,0.18114038
0,0.09047929
0,0.14076428
0,0.11844511
0,0.08262232
0,0.18069363
0,0.08627415
0,0.09953188
0,0.09050562
0,0.15083890
0,0.01532742
0,0.12881975
0,0.23357649
0,0.07355311
0,0.06714446
0,0.21887876
0,0.04388605
0,0.07374484
0,0.16245580
0,0.20611298
0,0.11159083
0,0.10112952
0,0.05538149
0,0.17660366
0,0.04270666
0,0.10927578
0,0.16515504
0,0.24472016
0,0.14087476
0,0.15669923
0,0.09616836
0,0.08155679
0,0.15897630
0,0.10120762
0,0.12339019
0,0.13369562
0,0.15956058
0,0.16698970
0,0.17096508
0,0.09147489
0,0.12690766
0,0.15532501
0,0.16466857
0,0.10649689
0,0.25647119
0,0.10114951
0,0.15407319
0,0.20136243
0,0.10553619
0,0.05523686
0,0.17478527
0,0.05189718
0,0.18880273
0,0.07104907
0,0.17393251
0,0.14097355
0,0.19456534
0,0.19354220
0,0.11668210
0,0.16689616
0,0.03519240
0,0.06157565
0,0.09304049
0,0.13684814
0,0.12247431
0,0.12095239
0,0.08272635
0,0.12452415
0,0.26984623
0,0.10985175
0,0.10747630
0,0.12168675
0,0.18688500
0,0.13285574
0,0.15634899
0,0.11681563
0,0.14522623
0,0.22168165
0,0.12535836
0,0.11604139
0,0.25951737
0,0.16748624
0,0.12266949
0,0.13812034
0,0.18263251
0,0.08774313
0,0.18528260
0,0.11899885
0,0.13620763
0,0.08674205
0,0.09518769
0,0.09493253
0,0.06148249
0,0.12372490
0,0.07979573
0,0.02964467
0,0.04755539
0,0.05867002
0,0.07478242
0,0.18703912
0,0.07334550
0,0.06852502
0,0.18185033
0,0.08612645
0,0.12452116
0,0.09438121
0,0.04719554
0,0.09952716
0,0.11249256
0,0.12687129
0,0.05360055
0,0.10349092
0,0.18792082
0,0.09433822
0,0.16196828
0,0.18372746
0,0.19833611
0,0.19792907
0,0.13289689
0,0.17213286
0,0.15216593
0,0.12784190
0,0.10303524
0,0.11512492
0,0.17526585
0,0.17435296
0,0.18240976
0,0.15328982
0,0.05911795
0,0.15014498
0,0.05779311
0,0.04602660
0,0.03707844
0,0.06447239
0,0.11127279
0,0.17365903
0,0.13022983
0,0.15015244
0,0.11403918
0,0.17597197
0,0.06803214
0,0.15649715
0,0.05533839
0,0.11759341
0,0.14785971
0,0.18419880
0,0.07838422
0,0.11428756
0,0.20097230
0,0.11041621
0,0.12664627
0,0.15148747
0,0.13937336
0,0.10920159
0,0.12355541
0,0.23541272
0,0.11450484
0,0.11322731
0,0.17216186
0,0.02671667
0,0.13430770
0,0.13391790
0,0.03435579
0,0.16131294
0,0.12372553
0,0.11298458
0,0.16601630
0,0.16689318
0,0.12568630
0,0.12027329
0,0.08165357
0,0.09066561
0,0.14898317
0,0.08102817
0,0.12791552
0,0.18071736
0,0.18472499
0,0.06400001
0,0.10059474
0,0.16162066
0,0.09492382
0,0.04858972
0,0.13227314
0,0.12233424
0,0.18434833
0,0.18645561
0,0.17756629
0,0.11864242
0,0.06897217
0,0.17173620
0,0.10991856
0,0.19676661
0,0.05694678
0,0.12269369
0,0.17872506
0,0.03687557
0,0.02898290
1,0.11446422
1,-0.01393666
1,0.05308909
1,0.04336667
1,0.06386561
1,0.02696604
1,0.03770933
1,0.03961410
1,0.03646776
1,0.03774034
1,0.13218553
1,0.16243345
1,0.07573503
1,0.06639880
1,0.02999745
1,0.01930431
1,0.02569480
1,0.41359550
1,0.02356215
1,0.09190470
1,0.09157676
1,0.07488714
1,0.02949452
1,0.04381458
1,-0.00432360
1,0.02325212
1,0.01449929
1,0.08045829
1,-0.00222416
1,-0.00158203
1,0.05907792
1,0.01362001
1,0.16373535
1,0.09541022
1,0.05281971
1,0.06559186
1,-0.02632894
1,0.03519094
1,0.05558039
1,0.12084088
1,0.03492010
1,0.05485348
