category,item,stat,value
panel,months_full,n,303
panel,stocks,n,316
panel,stock_months,n,69155
panel,stocks_per_month_full,min,69
panel,stocks_per_month_full,mean,228.2
panel,stocks_per_month_full,max,313
panel,stocks_per_month_common,min,170
panel,stocks_per_month_common,mean,257.2
panel,stocks_per_month_common,max,313
panel,frac_missing_return_cells,n,0.2777
macro,cbirate,mean,17.000000
macro,cbirate,std,3.841485
macro,cbirate,n_obs,214
macro,cpi,mean,863.166680
macro,cpi,std,1082.866148
macro,cpi,n_obs,210
macro,usd_official,mean,28128.882584
macro,usd_official,std,13068.209098
macro,usd_official,n_obs,186
macro,brent,mean,77.492732
macro,brent,std,23.042091
macro,brent,n_obs,183
macro,gold_coin,mean,175480590.673575
macro,gold_coin,std,355207462.852718
macro,gold_coin,n_obs,193
macro,usd_market,mean,269597.045977
macro,usd_market,std,356029.481079
macro,usd_market,n_obs,174
char,size,mean,26.011934
char,size,std,3.938532
char,size,pct_missing,0.0000
char,st_rev,mean,0.030549
char,st_rev,std,0.206206
char,st_rev,pct_missing,3.9144
char,turnover,mean,0.033034
char,turnover,std,0.064989
char,turnover,pct_missing,0.0000
char,vol,mean,0.149824
char,vol,std,0.119931
char,vol,pct_missing,2.7301
char,bm,mean,46.665812
char,bm,std,197.038319
char,bm,pct_missing,0.0752
char,mom,mean,0.509661
char,mom,std,1.139378
char,mom,pct_missing,11.8965
char,roe,mean,0.368488
char,roe,std,0.332879
char,roe,pct_missing,1.2870
char,ag,mean,0.294929
char,ag,std,0.388989
char,ag,pct_missing,0.3875
char,ac,mean,0.165797
char,ac,std,0.289025
char,ac,pct_missing,0.4165
char,noa,mean,0.563298
char,noa,std,0.201693
char,noa,pct_missing,0.1345
char,nsi,mean,0.499730
char,nsi,std,1.580596
char,nsi,pct_missing,0.3470
char,gp,mean,0.233293
char,gp,std,0.143514
char,gp,pct_missing,10.3275
char,cei,mean,0.154472
char,cei,std,0.270156
char,cei,pct_missing,0.3875
char,ita,mean,0.066161
char,ita,std,0.180394
char,ita,pct_missing,0.5408
char,ig,mean,5.358435
char,ig,std,35.672983
char,ig,pct_missing,7.4832
char,dist,mean,0.183938
char,dist,std,0.159333
char,dist,pct_missing,0.1186
char,oscore,mean,-4.642486
char,oscore,std,2.241323
char,oscore,pct_missing,0.1186
char,investment,mean,0.317053
char,investment,std,0.694366
char,investment,pct_missing,1.5704
char,cbop,mean,0.278255
char,cbop,std,16.703764
char,cbop,pct_missing,1.5848
char,dy,mean,22.328989
char,dy,std,110.140263
char,dy,pct_missing,3.5153
