model,window,alpha
AE(1),1,-0.14498574
AE(1),1,-0.01960229
AE(1),1,-0.09892272
AE(1),1,-0.04910435
AE(1),1,-0.08334619
AE(1),1,0.00276708
AE(1),1,0.05821105
AE(1),1,-0.01104718
AE(1),1,-0.00802209
AE(1),1,-0.03864288
AE(1),1,-0.00230196
AE(1),1,-0.05363457
AE(1),1,-0.01345253
AE(1),1,0.00780544
AE(1),1,-0.05585128
AE(1),1,-0.11766338
AE(1),1,-0.02370023
AE(1),1,-0.13503601
AE(1),1,-0.06383611
AE(1),1,-0.06653705
AE(1),1,-0.02012874
AE(1),1,-0.08484086
AE(1),1,-0.12258225
AE(1),1,-0.06066570
AE(1),1,-0.08488454
AE(1),1,-0.02575249
AE(1),1,-0.09078510
AE(1),1,-0.04289905
AE(1),1,0.00751278
AE(1),1,-0.09293135
AE(1),1,-0.04717070
AE(1),1,0.05834886
AE(1),1,-0.02558197
AE(1),1,0.00885013
AE(1),1,-0.03482158
AE(1),1,-0.06796396
AE(1),1,-0.07300237
AE(1),1,-0.01185768
AE(1),1,-0.03353234
AE(1),1,0.00892851
AE(1),1,-0.00761071
AE(1),1,-0.00586716
AE(1),1,-0.04790917
AE(1),1,0.04226052
AE(1),1,-0.01174153
AE(1),1,0.07855283
AE(1),1,0.00823922
AE(1),1,0.02972583
AE(1),1,-0.00476599
AE(1),1,0.13281122
AE(1),1,-0.03400959
AE(1),1,-0.06760629
AE(1),1,-0.03404252
AE(1),1,-0.03799454
AE(1),1,0.00404138
AE(1),1,-0.04376442
AE(1),1,-0.03062332
AE(1),1,0.00487282
AE(1),1,-0.03569768
AE(1),1,-0.06359875
AE(1),1,-0.03051568
AE(1),1,0.02632700
AE(1),1,0.06833189
AE(1),1,0.07792920
AE(1),1,-0.04646380
AE(1),1,-0.03731275
AE(1),1,0.00724675
AE(1),1,0.00015744
AE(1),1,-0.05713606
AE(1),1,0.08769521
AE(1),1,-0.03616090
AE(1),1,-0.04997775
AE(1),1,-0.00563153
AE(1),1,-0.10137385
AE(1),1,-0.10984742
AE(1),1,-0.09274651
AE(1),1,0.04838349
AE(1),1,-0.05128151
AE(1),1,-0.05137137
AE(1),1,-0.04153126
AE(1),1,-0.03066750
AE(1),1,-0.07905580
AE(1),1,-0.03115022
AE(1),1,-0.04983822
AE(1),1,-0.02172419
AE(1),1,-0.05885196
AE(1),1,-0.08172102
AE(1),1,-0.07225288
AE(1),1,-0.02737372
AE(1),1,0.04989778
AE(1),1,-0.03562438
AE(1),1,-0.03020921
AE(1),1,-0.05459136
AE(1),1,-0.03230836
AE(1),1,0.00618368
AE(1),1,-0.03470564
AE(1),1,-0.02396070
AE(1),1,0.08294747
AE(1),1,-0.04584822
AE(1),1,-0.01573794
AE(1),1,0.00608601
AE(1),1,0.00160416
AE(1),1,-0.01476869
AE(1),1,-0.03051050
AE(1),1,-0.02364102
AE(1),1,-0.06928519
AE(1),1,-0.04842008
AE(1),1,-0.00707279
AE(1),1,0.00118644
AE(1),1,-0.01178987
AE(1),1,-0.00663142
AE(1),1,-0.03782608
AE(1),1,0.01993041
AE(1),1,0.00295536
AE(1),1,0.01306916
AE(1),1,-0.09817115
AE(1),1,0.01793495
AE(1),1,-0.07324759
AE(1),1,0.01101322
AE(1),1,-0.04727474
AE(1),1,0.00292643
AE(1),1,-0.08529120
AE(1),1,-0.03220400
AE(1),1,-0.01740597
AE(1),1,-0.00503586
AE(1),1,-0.11066193
AE(1),1,-0.03542238
AE(1),1,-0.03914674
AE(1),1,-0.01371810
AE(1),1,-0.04715263
AE(1),1,-0.07679221
AE(1),1,-0.00290771
AE(1),1,-0.09233868
AE(1),1,-0.03720943
AE(1),1,-0.02523008
AE(1),1,0.07338519
AE(1),1,0.02444746
AE(1),1,-0.11634537
AE(1),1,-0.08767923
AE(1),1,-0.08386883
AE(1),1,-0.10291264
AE(1),1,-0.05686570
AE(1),1,-0.01216589
AE(1),1,-0.08041385
AE(1),1,-0.06577929
AE(1),1,-0.04465298
AE(1),1,0.01083129
AE(1),1,0.03103040
AE(1),1,-0.02053834
AE(1),1,-0.01504847
AE(1),1,0.01360289
AE(1),1,0.00823170
AE(1),1,-0.08307401
AE(1),1,-0.09764155
AE(1),1,0.02286810
AE(1),1,0.04968961
AE(1),1,-0.01459294
AE(1),1,-0.03666417
AE(1),1,-0.02746929
AE(1),1,0.02902851
AE(1),1,-0.11331324
AE(1),1,-0.01727429
AE(1),1,-0.04712806
AE(1),1,-0.07945496
AE(1),1,0.05821450
AE(1),1,-0.06387627
AE(1),1,-0.07079141
AE(1),1,0.03570587
AE(1),1,-0.02681172
AE(1),1,-0.07526801
AE(1),1,0.04667189
AE(1),1,0.00268588
AE(1),1,-0.07091773
AE(1),1,-0.02696720
AE(1),1,-0.00451915
AE(1),1,-0.05821206
AE(1),1,-0.04538938
AE(1),1,0.00206485
AE(1),1,-0.04737276
AE(1),1,-0.00818072
AE(1),1,-0.09996594
AE(1),1,0.01320321
AE(1),1,0.06385223
AE(1),1,0.03100811
AE(1),1,0.00255527
AE(1),1,-0.06507902
AE(1),1,-0.06892750
AE(1),1,0.01792150
AE(1),1,0.02054762
AE(1),1,-0.05824643
AE(1),1,-0.08885362
AE(1),1,-0.02867807
AE(1),1,0.00719504
AE(1),1,-0.06727274
AE(1),1,-0.04695076
AE(1),1,-0.07621702
AE(1),1,0.01831231
AE(1),1,-0.08382945
AE(1),1,-0.13959493
AE(1),1,-0.01212024
AE(1),1,0.01761009
AE(1),1,-0.04377787
AE(1),1,0.08052789
AE(1),1,-0.04267842
AE(1),1,-0.07503766
AE(1),1,-0.01714972
AE(1),1,-0.07650836
AE(1),1,-0.00870523
AE(1),1,0.01417134
AE(1),1,-0.03333026
AE(1),1,0.00080639
AE(1),1,-0.06828882
AE(1),1,-0.11428578
AE(1),1,-0.06943026
AE(1),1,-0.00450201
AE(1),1,-0.04510037
AE(1),1,-0.12856812
AE(1),1,-0.06613902
AE(1),1,0.00420403
AE(1),1,0.04361614
AE(1),1,-0.05558674
AE(1),1,-0.01472412
AE(1),1,-0.09743130
AE(1),1,0.04307212
AE(1),1,-0.00582188
AE(1),1,0.06721502
AE(1),1,-0.01375661
AE(1),1,0.01697250
AE(1),1,0.02573044
AE(1),1,-0.04211427
AE(1),1,0.01889308
AE(1),1,-0.04111061
AE(1),1,-0.07297727
AE(1),1,-0.05978464
AE(1),1,-0.16521270
AE(1),1,-0.07655092
AE(1),1,-0.00274991
AE(1),1,-0.05870542
AE(1),1,-0.04006150
AE(1),1,-0.04685151
AE(1),1,-0.04403838
AE(1),1,-0.03504279
AE(1),1,-0.09054160
AE(1),1,-0.01909720
AE(1),2,0.03190607
AE(1),2,-0.02693526
AE(1),2,0.03385863
AE(1),2,0.03146446
AE(1),2,-0.00230152
AE(1),2,0.04861673
AE(1),2,-0.02079050
AE(1),2,-0.06668733
AE(1),2,-0.03322148
AE(1),2,-0.03861695
AE(1),2,-0.01733588
AE(1),2,0.01691720
AE(1),2,-0.07637687
AE(1),2,0.05358081
AE(1),2,0.04237912
AE(1),2,-0.03260132
AE(1),2,-0.01602665
AE(1),2,-0.01659694
AE(1),2,-0.02147532
AE(1),2,-0.01267250
AE(1),2,-0.00869509
AE(1),2,0.03217887
AE(1),2,-0.00560417
AE(1),2,-0.01568212
AE(1),2,-0.00206684
AE(1),2,-0.03394897
AE(1),2,0.03518519
AE(1),2,-0.02258504
AE(1),2,-0.01520766
AE(1),2,0.06832603
AE(1),2,0.03721835
AE(1),2,0.02856845
AE(1),2,-0.00491483
AE(1),2,0.02204217
AE(1),2,0.00680502
AE(1),2,0.08577406
AE(1),2,-0.04351211
AE(1),2,0.01026647
AE(1),2,-0.00983488
AE(1),2,-0.00828088
AE(1),2,-0.02688421
AE(1),2,0.01569129
AE(1),2,-0.00655550
AE(1),2,0.00203871
AE(1),2,-0.03354559
AE(1),2,-0.06679763
AE(1),2,0.01388063
AE(1),2,-0.00484584
AE(1),2,-0.00319664
AE(1),2,0.00694530
AE(1),2,-0.04082950
AE(1),2,-0.01254710
AE(1),2,0.05196810
AE(1),2,0.05083977
AE(1),2,-0.05577267
AE(1),2,0.01234333
AE(1),2,-0.03006878
AE(1),2,0.04620656
AE(1),2,0.02537683
AE(1),2,0.01326993
AE(1),2,-0.01096479
AE(1),2,0.02695926
AE(1),2,0.00794764
AE(1),2,0.01456336
AE(1),2,0.00833260
AE(1),2,-0.00264410
AE(1),2,0.01843085
AE(1),2,-0.00858981
AE(1),2,-0.01494971
AE(1),2,-0.04695096
AE(1),2,-0.01027252
AE(1),2,-0.01940858
AE(1),2,-0.07661898
AE(1),2,-0.04315639
AE(1),2,0.01382212
AE(1),2,0.03177260
AE(1),2,0.01542908
AE(1),2,0.00036990
AE(1),2,0.01596260
AE(1),2,-0.06306603
AE(1),2,-0.00559843
AE(1),2,-0.07890532
AE(1),2,0.00849851
AE(1),2,-0.05565073
AE(1),2,0.03099206
AE(1),2,-0.03061800
AE(1),2,-0.02844432
AE(1),2,-0.04287247
AE(1),2,-0.06910518
AE(1),2,-0.03174903
AE(1),2,-0.04921697
AE(1),2,-0.03617584
AE(1),2,-0.07502275
AE(1),2,-0.07752444
AE(1),2,-0.11154629
AE(1),2,-0.05266378
AE(1),2,0.00597768
AE(1),2,-0.00944600
AE(1),2,-0.07264780
AE(1),2,0.02629534
AE(1),2,-0.08399552
AE(1),2,-0.01858947
AE(1),2,-0.01316164
AE(1),2,-0.03096914
AE(1),2,-0.01901029
AE(1),2,-0.02166967
AE(1),2,-0.08046670
AE(1),2,-0.09151795
AE(1),2,-0.09214380
AE(1),2,0.01830177
AE(1),2,-0.03045817
AE(1),2,-0.03213703
AE(1),2,-0.03432618
AE(1),2,0.01288979
AE(1),2,0.01062550
AE(1),2,-0.01148229
AE(1),2,-0.03848210
AE(1),2,-0.05745829
AE(1),2,-0.06360361
AE(1),2,0.00242435
AE(1),2,-0.03566573
AE(1),2,-0.06878514
AE(1),2,-0.01870239
AE(1),2,0.03620667
AE(1),2,-0.05301217
AE(1),2,0.02296735
AE(1),2,0.01251474
AE(1),2,-0.02485804
AE(1),2,-0.02350137
AE(1),2,-0.03635282
AE(1),2,-0.00590827
AE(1),2,0.04004016
AE(1),2,-0.07650383
AE(1),2,0.00160227
AE(1),2,-0.06333730
AE(1),2,0.05815499
AE(1),2,0.00849231
AE(1),2,-0.04839944
AE(1),2,-0.01839385
AE(1),2,0.00320581
AE(1),2,0.02130088
AE(1),2,-0.03159956
AE(1),2,0.00096884
AE(1),2,-0.00734784
AE(1),2,-0.01247085
AE(1),2,-0.04591273
AE(1),2,0.01533949
AE(1),2,0.01403292
AE(1),2,0.04225268
AE(1),2,0.00420178
AE(1),2,0.01903010
AE(1),2,-0.04136615
AE(1),2,-0.05859254
AE(1),2,0.00066807
AE(1),2,0.00489611
AE(1),2,-0.02226437
AE(1),2,-0.01868880
AE(1),2,-0.03571150
AE(1),2,-0.07121897
AE(1),2,-0.10195374
AE(1),2,-0.05771363
AE(1),2,-0.07609991
AE(1),2,-0.01848482
AE(1),2,0.01272696
AE(1),2,-0.06421578
AE(1),2,-0.10399597
AE(1),2,-0.04613285
AE(1),2,0.07264728
AE(1),2,-0.06481246
AE(1),2,-0.05006230
AE(1),2,-0.04277103
AE(1),2,0.00416746
AE(1),2,-0.03610710
AE(1),2,-0.10454407
AE(1),2,-0.04746150
AE(1),2,-0.09660992
AE(1),2,-0.10223887
AE(1),2,-0.03737810
AE(1),2,-0.12710005
AE(1),2,-0.07990234
AE(1),2,-0.04072046
AE(1),2,-0.06289538
AE(1),2,-0.02379554
AE(1),2,-0.00109216
AE(1),2,-0.06362412
AE(1),2,-0.00361143
AE(1),2,0.16409621
AE(1),2,-0.02307655
AE(1),2,0.00333567
AE(1),2,-0.00927785
AE(1),2,0.00805730
AE(1),2,0.01439206
AE(1),2,-0.03356145
AE(1),2,-0.00284193
AE(1),2,-0.01960875
AE(1),2,-0.01049553
AE(1),2,0.02301627
AE(1),2,-0.05938090
AE(1),2,-0.01755132
AE(1),2,-0.00496459
AE(1),2,-0.02565088
AE(1),2,-0.03463546
AE(1),2,-0.07791680
AE(1),2,-0.03370563
AE(1),2,0.03144748
AE(1),2,-0.02054833
AE(1),2,-0.00918124
AE(1),2,-0.03421271
AE(1),2,-0.02327301
AE(1),2,-0.01373193
AE(1),2,-0.01210008
AE(1),2,0.01259084
AE(1),2,-0.03768622
AE(1),2,0.01831745
AE(1),2,-0.03406203
AE(1),2,-0.02468782
AE(1),2,-0.00369704
AE(1),2,0.02056665
AE(1),2,-0.03954690
AE(1),2,-0.04302181
AE(1),2,-0.08105778
AE(1),2,-0.09416195
AE(1),2,-0.02669171
AE(1),2,-0.08281940
AE(1),2,0.03144040
AE(1),2,-0.06226039
AE(1),2,-0.01696447
AE(1),2,0.03931350
AE(1),2,-0.00857435
AE(1),2,-0.07516279
AE(1),2,-0.03997095
AE(1),2,-0.05041660
AE(1),2,-0.04003782
AE(1),2,-0.03011494
AE(1),2,-0.06831533
AE(1),2,-0.02421053
AE(1),2,0.00009896
AE(1),2,-0.07515579
AE(1),2,-0.12383468
AE(1),2,-0.02532160
AE(1),2,-0.02037198
AE(1),2,-0.00923430
AE(1),2,-0.04955856
AE(1),2,-0.02301735
AE(1),2,-0.04240598
AE(1),3,-0.03649738
AE(1),3,0.01913206
AE(1),3,0.00399752
AE(1),3,0.03152950
AE(1),3,0.04425931
AE(1),3,-0.02806595
AE(1),3,-0.01321797
AE(1),3,0.03307114
AE(1),3,0.01625741
AE(1),3,0.03702379
AE(1),3,-0.02246002
AE(1),3,-0.01339716
AE(1),3,0.04096345
AE(1),3,-0.03092737
AE(1),3,-0.03056788
AE(1),3,-0.01179139
AE(1),3,0.00344019
AE(1),3,-0.03208112
AE(1),3,-0.00823916
AE(1),3,-0.01222731
AE(1),3,-0.01335496
AE(1),3,0.05199890
AE(1),3,-0.01449277
AE(1),3,-0.05476545
AE(1),3,0.00131897
AE(1),3,0.01812986
AE(1),3,0.01345972
AE(1),3,0.03210434
AE(1),3,-0.03391886
AE(1),3,0.00421883
AE(1),3,-0.01327307
AE(1),3,0.03310314
AE(1),3,0.01642243
AE(1),3,0.02885365
AE(1),3,-0.04107770
AE(1),3,-0.03489491
AE(1),3,0.02879820
AE(1),3,-0.01388305
AE(1),3,0.00691913
AE(1),3,0.02450285
AE(1),3,0.02641332
AE(1),3,0.00661368
AE(1),3,-0.00577904
AE(1),3,-0.02936942
AE(1),3,-0.01396081
AE(1),3,0.06240536
AE(1),3,-0.00304409
AE(1),3,-0.03590071
AE(1),3,-0.03001927
AE(1),3,-0.01233514
AE(1),3,-0.00826718
AE(1),3,0.03637730
AE(1),3,0.04140131
AE(1),3,-0.01609325
AE(1),3,-0.01957421
AE(1),3,-0.01389485
AE(1),3,0.00392465
AE(1),3,0.02059906
AE(1),3,0.01259882
AE(1),3,0.06083570
AE(1),3,-0.00214848
AE(1),3,0.06144670
AE(1),3,0.02063688
AE(1),3,-0.03255302
AE(1),3,0.02211171
AE(1),3,-0.00166620
AE(1),3,0.02209899
AE(1),3,0.03879495
AE(1),3,0.05407262
AE(1),3,-0.01728818
AE(1),3,0.09907836
AE(1),3,0.00049631
AE(1),3,0.02182425
AE(1),3,0.02924118
AE(1),3,-0.01582014
AE(1),3,-0.01075109
AE(1),3,-0.02128375
AE(1),3,-0.00128467
AE(1),3,0.00988948
AE(1),3,0.02216315
AE(1),3,0.03669287
AE(1),3,-0.01236422
AE(1),3,0.04837282
AE(1),3,-0.00955583
AE(1),3,-0.02149258
AE(1),3,-0.01507055
AE(1),3,-0.04715290
AE(1),3,-0.03200636
AE(1),3,-0.08737154
AE(1),3,-0.03063972
AE(1),3,-0.01873090
AE(1),3,-0.01780289
AE(1),3,-0.02857948
AE(1),3,0.04067512
AE(1),3,-0.02459837
AE(1),3,-0.03908175
AE(1),3,-0.02609665
AE(1),3,-0.00946770
AE(1),3,-0.02842403
AE(1),3,-0.04525655
AE(1),3,-0.02965068
AE(1),3,-0.01964380
AE(1),3,-0.01227927
AE(1),3,-0.01839601
AE(1),3,-0.08034077
AE(1),3,-0.01654029
AE(1),3,-0.01352533
AE(1),3,-0.02400970
AE(1),3,-0.04643879
AE(1),3,-0.02401328
AE(1),3,-0.03950957
AE(1),3,0.00018192
AE(1),3,-0.02237115
AE(1),3,-0.03116439
AE(1),3,-0.00861367
AE(1),3,-0.00321259
AE(1),3,-0.05004274
AE(1),3,-0.02862813
AE(1),3,-0.03920224
AE(1),3,-0.02987337
AE(1),3,-0.02280693
AE(1),3,-0.04005466
AE(1),3,0.07622909
AE(1),3,0.02242476
AE(1),3,-0.01655887
AE(1),3,-0.02845802
AE(1),3,-0.02801315
AE(1),3,-0.02384396
AE(1),3,0.02847939
AE(1),3,-0.01058877
AE(1),3,-0.02959857
AE(1),3,-0.02100809
AE(1),3,0.00559490
AE(1),3,0.05031793
AE(1),3,-0.02639392
AE(1),3,0.00154302
AE(1),3,-0.00446902
AE(1),3,0.00927506
AE(1),3,-0.00055920
AE(1),3,0.03156220
AE(1),3,-0.01826424
AE(1),3,-0.00358427
AE(1),3,-0.01483497
AE(1),3,-0.00335856
AE(1),3,0.00068584
AE(1),3,0.03770860
AE(1),3,-0.01224591
AE(1),3,0.03820788
AE(1),3,-0.00718235
AE(1),3,0.04946922
AE(1),3,0.04502482
AE(1),3,-0.00153640
AE(1),3,0.01560096
AE(1),3,0.02280972
AE(1),3,0.04126546
AE(1),3,0.07731658
AE(1),3,-0.01742831
AE(1),3,-0.02202076
AE(1),3,-0.00680466
AE(1),3,0.08069815
AE(1),3,-0.05107780
AE(1),3,-0.04115588
AE(1),3,-0.00909621
AE(1),3,0.02404175
AE(1),3,0.02015203
AE(1),3,0.04675885
AE(1),3,-0.02636000
AE(1),3,-0.01202685
AE(1),3,0.09161722
AE(1),3,-0.01617584
AE(1),3,-0.02953546
AE(1),3,-0.04120444
AE(1),3,-0.00426988
AE(1),3,-0.02256430
AE(1),3,0.00417386
AE(1),3,0.03575887
AE(1),3,0.00820805
AE(1),3,0.05804522
AE(1),3,0.07110343
AE(1),3,0.04475788
AE(1),3,0.04598145
AE(1),3,-0.01700991
AE(1),3,0.06737735
AE(1),3,0.05096459
AE(1),3,0.01033736
AE(1),3,0.04911154
AE(1),3,-0.03176947
AE(1),3,-0.00804578
AE(1),3,0.01434283
AE(1),3,-0.01554817
AE(1),3,-0.04975363
AE(1),3,0.01165639
AE(1),3,0.01475564
AE(1),3,-0.01403259
AE(1),3,0.00867150
AE(1),3,0.03342482
AE(1),3,0.02191563
AE(1),3,-0.01320540
AE(1),3,-0.01475209
AE(1),3,0.00874030
AE(1),3,-0.03219374
AE(1),3,0.02340260
AE(1),3,0.01742208
AE(1),3,-0.00371370
AE(1),3,-0.02657525
AE(1),3,-0.00752419
AE(1),3,-0.02224858
AE(1),3,-0.00544095
AE(1),3,0.03653774
AE(1),3,-0.00776317
AE(1),3,-0.00741640
AE(1),3,-0.03411105
AE(1),3,-0.00223432
AE(1),3,0.02031994
AE(1),3,-0.03212908
AE(1),3,-0.07903438
AE(1),3,0.01826711
AE(1),3,-0.00419923
AE(1),3,-0.02589771
AE(1),3,0.02359218
AE(1),3,-0.00287052
AE(1),3,-0.02269791
AE(1),3,-0.02421014
AE(1),3,0.05896188
AE(1),3,0.03334393
AE(1),3,-0.00872311
AE(1),3,-0.00021350
AE(1),3,-0.01019941
AE(1),3,0.01642632
AE(1),3,0.04531158
AE(1),3,-0.03178804
AE(1),3,-0.01409221
AE(1),3,0.02344473
AE(1),3,-0.01270588
AE(1),3,-0.00524676
AE(1),3,-0.04184483
AE(1),3,0.00870881
AE(1),3,-0.04238183
AE(1),3,-0.01297851
AE(1),3,-0.02267763
AE(1),3,-0.00481854
AE(1),3,-0.00099211
AE(1),3,-0.01869133
AE(1),3,0.00360597
AE(1),3,-0.02279087
AE(1),3,-0.01033202
AE(1),3,0.01901314
AE(1),3,-0.00726141
AE(1),3,0.08021829
AE(1),3,-0.03494088
AE(1),3,0.06548284
AE(1),3,-0.02784567
AE(1),4,0.04575499
AE(1),4,0.08008156
AE(1),4,-0.00382317
AE(1),4,0.05312324
AE(1),4,0.00505978
AE(1),4,0.03100994
AE(1),4,0.01891202
AE(1),4,-0.00825281
AE(1),4,-0.02059623
AE(1),4,0.06102525
AE(1),4,0.02145061
AE(1),4,-0.00519405
AE(1),4,-0.01121769
AE(1),4,0.01989296
AE(1),4,0.01126275
AE(1),4,0.09255801
AE(1),4,-0.01659538
AE(1),4,0.01819314
AE(1),4,0.00073791
AE(1),4,-0.03308880
AE(1),4,-0.00268236
AE(1),4,-0.01529545
AE(1),4,-0.02590933
AE(1),4,0.00125105
AE(1),4,-0.03988496
AE(1),4,-0.02801817
AE(1),4,0.00610247
AE(1),4,-0.01510787
AE(1),4,0.00128057
AE(1),4,0.10067385
AE(1),4,-0.01443842
AE(1),4,0.01377449
AE(1),4,-0.04475620
AE(1),4,-0.02124761
AE(1),4,-0.03348236
AE(1),4,-0.00259631
AE(1),4,-0.02470453
AE(1),4,-0.02267671
AE(1),4,-0.06407804
AE(1),4,-0.03108916
AE(1),4,-0.04412781
AE(1),4,-0.03252548
AE(1),4,-0.00758889
AE(1),4,-0.03199777
AE(1),4,0.04584222
AE(1),4,0.00817322
