model,oos_return
AE(1),1.01323369
AE(1),0.26367078
AE(1),0.30129072
AE(1),0.34051772
AE(1),1.15617093
AE(1),1.22830664
AE(1),-0.64544867
AE(1),-0.45957384
AE(1),0.03256030
AE(1),-0.27205384
AE(1),-0.13274890
AE(1),-0.53899896
AE(1),0.30669025
AE(1),0.02716298
AE(1),0.15371312
AE(1),0.33769501
AE(1),0.10623687
AE(1),-0.40577162
AE(1),-0.60176381
AE(1),-0.11312815
AE(1),0.04226871
AE(1),-0.09908928
AE(1),-0.21344360
AE(1),-0.09227465
AE(1),0.05694680
AE(1),-0.21177308
AE(1),-0.16162662
AE(1),-0.03989099
AE(1),0.00070220
AE(1),-0.08848542
AE(1),0.69322275
AE(1),0.44782487
AE(1),0.08673758
AE(1),0.00814954
AE(1),-0.01031714
AE(1),-0.08481941
AE(1),0.07396726
AE(1),0.03757348
AE(1),0.18360730
AE(1),0.18510531
AE(1),0.10420178
AE(1),-0.18013231
AE(1),0.04754909
AE(1),-0.01538262
AE(1),0.02055019
AE(1),0.37498958
AE(1),-0.07526569
AE(1),-0.11811160
AE(1),0.17689963
AE(1),-0.07197078
AE(1),-0.05994527
AE(1),-0.19718212
AE(1),-0.03125020
AE(1),-0.21917171
AE(1),0.00642572
AE(1),-0.02081628
AE(1),-0.10119740
AE(1),-0.24149920
AE(1),0.13931152
AE(1),0.33611312
AE(1),-0.00455842
AE(1),0.28531357
AE(1),1.44803399
AE(1),-0.46774660
AE(1),-0.09270812
AE(1),0.02882609
AE(1),0.21335795
AE(1),0.01582116
AE(1),0.38914447
AE(1),0.59394147
AE(1),0.43737508
AE(1),0.27999416
AE(1),0.07412909
AE(1),0.64235864
AE(1),0.51959130
AE(1),-0.36266551
AE(1),0.28179104
AE(1),0.59645508
AE(1),0.34086251
AE(1),0.43737983
AE(1),0.28271476
AE(1),0.84194425
AE(1),0.12925810
AE(1),0.76581843
AE(1),0.19908886
AE(1),-0.44017481
AE(1),-0.54966780
AE(1),-0.24266092
AE(1),0.29733099
AE(1),0.34286602
AE(1),-0.28057267
AE(1),-0.05937358
AE(1),-0.03223667
AE(1),-0.20605371
AE(1),-0.51546599
AE(1),-0.10306464
AE(1),0.06033206
AE(1),0.18459066
AE(1),-0.20725846
AE(1),-0.48480527
AE(1),-0.01498971
AE(1),-0.17678695
AE(1),-0.37468402
AE(1),-0.04202633
AE(1),0.18832855
AE(1),0.36656526
AE(1),0.03862655
AE(1),-0.10335902
AE(1),-0.24972290
AE(1),0.13536550
AE(1),-0.14863063
AE(1),-0.22491945
AE(1),0.25992506
AE(1),0.23202658
AE(1),0.01873129
AE(1),0.15332363
AE(1),0.23415640
AE(1),0.62629311
AE(1),-0.16116823
AE(1),-0.10235065
AE(1),-0.18964352
AE(1),-0.02549286
AE(1),-0.03779729
AE(1),-0.20175486
AE(1),0.14555067
AE(1),0.05851547
AE(1),-0.15822192
AE(1),-0.12869189
AE(1),-0.00084843
AE(1),-0.11281362
AE(1),-0.24547836
AE(1),-0.10012633
AE(1),-0.05074056
AE(1),-0.03639705
AE(1),0.06665275
AE(1),-0.08835851
AE(1),0.14975663
AE(1),0.08184646
AE(1),0.00359533
AE(1),-0.08186882
AE(1),-0.13965314
AE(1),0.14767520
AE(1),-0.01361628
AE(1),-0.14686159
AE(3),0.19323274
AE(3),0.04249643
AE(3),-0.00390668
AE(3),0.02753856
AE(3),0.17272798
AE(3),0.15823667
AE(3),-0.14204394
AE(3),-0.11969648
AE(3),0.11039436
AE(3),-0.06544108
AE(3),0.08979708
AE(3),-0.10521394
AE(3),-0.16778505
AE(3),-0.03463884
AE(3),0.25784623
AE(3),-0.13136581
AE(3),-0.06644525
AE(3),0.10059733
AE(3),-0.00611138
AE(3),-0.09548353
AE(3),-0.17861202
AE(3),0.01858421
AE(3),0.00071541
AE(3),-0.06252295
AE(3),0.03207042
AE(3),0.06368547
AE(3),-0.00058560
AE(3),-0.00311999
AE(3),-0.00703156
AE(3),-0.11090727
AE(3),0.30521847
AE(3),0.24452843
AE(3),-0.03384193
AE(3),0.26188657
AE(3),0.09054365
AE(3),-0.03106445
AE(3),0.01637522
AE(3),0.10230307
AE(3),-0.18946020
AE(3),0.23945077
AE(3),0.34342255
AE(3),0.11881704
AE(3),-0.21289068
AE(3),-0.10323081
AE(3),0.02254903
AE(3),-0.01348088
AE(3),0.19184048
AE(3),-0.08380525
AE(3),-0.05799212
AE(3),-0.06512296
AE(3),0.07999897
AE(3),-0.15491829
AE(3),0.00816547
AE(3),-0.05112208
AE(3),-0.13728968
AE(3),-0.04519369
AE(3),0.04928687
AE(3),0.00759065
AE(3),-0.06908884
AE(3),-0.05435490
AE(3),-0.03746574
AE(3),-0.12826392
AE(3),1.22615952
AE(3),-0.04274831
AE(3),0.05505054
AE(3),0.01034780
AE(3),0.18457646
AE(3),0.09966547
AE(3),0.84858637
AE(3),0.89014119
AE(3),0.73697539
AE(3),0.41914535
AE(3),0.15525385
AE(3),0.76031876
AE(3),0.47608207
AE(3),-0.33249761
AE(3),0.41519195
AE(3),0.73891418
AE(3),0.15230025
AE(3),0.51870851
AE(3),0.36592543
AE(3),0.40722472
AE(3),0.41442964
AE(3),0.21426660
AE(3),-0.25107061
AE(3),0.14584968
AE(3),0.17148948
AE(3),-0.45585108
AE(3),-0.34022072
AE(3),0.78846664
AE(3),0.05981791
AE(3),0.11311620
AE(3),0.05700908
AE(3),-0.03191734
AE(3),-0.28552230
AE(3),-0.82586485
AE(3),-0.35677421
AE(3),0.00294694
AE(3),-0.04763053
AE(3),0.00618100
AE(3),0.28701831
AE(3),0.02063158
AE(3),0.07998623
AE(3),-0.12245624
AE(3),0.25684247
AE(3),0.24374164
AE(3),0.10469481
AE(3),0.01315207
AE(3),0.01703276
