model,window,alpha
Market,1,0.02045740
Market,1,0.01827617
Market,1,-0.04505614
Market,1,0.03575318
Market,1,0.02050401
Market,1,0.09625248
Market,1,0.06372478
Market,1,0.08377846
Market,1,0.14832720
Market,1,-0.00113975
Market,1,0.01746505
Market,1,0.00679268
Market,1,0.06919315
Market,1,0.02499132
Market,1,0.06764637
Market,1,-0.04225874
Market,1,-0.01957205
Market,1,-0.05170610
Market,1,0.01266052
Market,1,0.00361479
Market,1,0.04910899
Market,1,-0.01858810
Market,1,-0.02335294
Market,1,0.05865394
Market,1,0.00505758
Market,1,0.01088066
Market,1,0.02850686
Market,1,0.08728518
Market,1,0.12957153
Market,1,-0.00554282
Market,1,0.08288331
Market,1,0.12687711
Market,1,0.07067973
Market,1,0.04787040
Market,1,0.11167449
Market,1,0.02084334
Market,1,0.09983935
Market,1,0.04228573
Market,1,0.10472490
Market,1,0.00827162
Market,1,0.07280024
Market,1,0.07338980
Market,1,0.06465945
Market,1,0.14125983
Market,1,0.05961849
Market,1,0.08036275
Market,1,0.05036148
Market,1,0.07510910
Market,1,0.16418769
Market,1,0.09625505
Market,1,0.03063080
Market,1,0.05187196
Market,1,0.04673293
Market,1,0.04168590
Market,1,0.04939613
Market,1,0.02716693
Market,1,0.03858171
Market,1,0.08142811
Market,1,-0.00686688
Market,1,0.05306584
Market,1,0.01158762
Market,1,0.06711550
Market,1,0.07108032
Market,1,0.12925142
Market,1,0.05183607
Market,1,0.01673020
Market,1,0.03147035
Market,1,0.04820008
Market,1,0.02644261
Market,1,0.09679880
Market,1,0.04646280
Market,1,0.02545593
Market,1,0.05380779
Market,1,0.01887729
Market,1,0.19541387
Market,1,0.00284307
Market,1,0.05508644
Market,1,0.00585169
Market,1,0.04649904
Market,1,0.01211340
Market,1,0.02158611
Market,1,-0.02382807
Market,1,-0.01572760
Market,1,-0.00319880
Market,1,0.00469021
Market,1,-0.02886119
Market,1,-0.01768377
Market,1,-0.01486053
Market,1,0.06233078
Market,1,0.03173795
Market,1,0.01873901
Market,1,0.00897608
Market,1,0.02600621
Market,1,-0.00197983
Market,1,0.06028495
Market,1,0.01046005
Market,1,0.00539652
Market,1,0.07933774
Market,1,0.00756500
Market,1,0.01839251
Market,1,0.13266956
Market,1,0.01953126
Market,1,0.01326372
Market,1,-0.00911910
Market,1,0.02158647
Market,1,-0.00977786
Market,1,-0.02264556
Market,1,0.02530050
Market,1,0.03903043
Market,1,0.02817586
Market,1,0.04488083
Market,1,-0.02543007
Market,1,0.04345224
Market,1,0.03388248
Market,1,0.02752712
Market,1,-0.06062331
Market,1,0.06848814
Market,1,0.05936825
Market,1,0.02062700
Market,1,0.01624565
Market,1,0.07763933
Market,1,-0.00378929
Market,1,0.08767908
Market,1,-0.00430248
Market,1,-0.01321817
Market,1,-0.07016680
Market,1,-0.02298592
Market,1,-0.01867408
Market,1,0.00238812
Market,1,-0.03944761
Market,1,-0.03110613
Market,1,0.11355782
Market,1,0.04128555
Market,1,0.00567876
Market,1,-0.01423037
Market,1,0.08336242
Market,1,0.06112458
Market,1,0.01250441
Market,1,-0.00964591
Market,1,-0.02450185
Market,1,-0.04631116
Market,1,-0.01701389
Market,1,0.06528873
Market,1,-0.01365201
Market,1,-0.01357117
Market,1,0.00612259
Market,1,0.03041058
Market,1,0.03558550
Market,1,0.01436718
Market,1,0.07036216
Market,1,0.02551787
Market,1,0.03366552
Market,1,-0.01405429
Market,1,-0.04190841
Market,1,0.08898051
Market,1,0.05347859
Market,1,0.00190865
Market,1,0.00550726
Market,1,-0.00794250
Market,1,0.02977984
Market,1,-0.05076935
Market,1,0.04426762
Market,1,-0.03498243
Market,1,-0.04751152
Market,1,0.08542221
Market,1,-0.02340534
Market,1,-0.01633250
Market,1,0.05887896
Market,1,-0.00388311
Market,1,-0.05434542
Market,1,0.08454767
Market,1,0.01121986
Market,1,-0.01213848
Market,1,0.00020591
Market,1,0.01744454
Market,1,0.04123129
Market,1,-0.00131985
Market,1,0.06156954
Market,1,-0.02448767
Market,1,0.03070165
Market,1,-0.06853607
Market,1,0.06254873
Market,1,0.05664930
Market,1,0.13528038
Market,1,0.06326441
Market,1,0.02133349
Market,1,-0.00657270
Market,1,0.03435591
Market,1,0.03103391
Market,1,0.01025382
Market,1,0.02147257
Market,1,0.00698893
Market,1,0.04608956
Market,1,-0.01097137
Market,1,-0.02063081
Market,1,0.00531143
Market,1,0.10106877
Market,1,0.00412497
Market,1,-0.02993575
Market,1,0.01963451
Market,1,0.03587401
Market,1,0.00601703
Market,1,0.06483516
Market,1,0.01079760
Market,1,0.00863510
Market,1,0.04377759
Market,1,-0.00742461
Market,1,0.03285496
Market,1,0.04054001
Market,1,0.02756196
Market,1,-0.00604451
Market,1,-0.04020345
Market,1,-0.03932406
Market,1,-0.02092093
Market,1,0.01393171
Market,1,0.04396966
Market,1,-0.01469112
Market,1,0.02050064
Market,1,0.08827821
Market,1,0.12606959
Market,1,-0.00699142
Market,1,0.00790382
Market,1,0.00522092
Market,1,0.10852444
Market,1,0.09749870
Market,1,0.05734800
Market,1,-0.01183826
Market,1,0.11506300
Market,1,0.08439368
Market,1,0.02724572
Market,1,0.08895732
Market,1,0.03895142
Market,1,-0.00438082
Market,1,0.15537076
Market,1,0.04460661
Market,1,0.05260420
Market,1,0.08443372
Market,1,-0.03818996
Market,1,0.06777976
Market,1,0.10969617
Market,1,0.02816693
Market,1,-0.00564896
Market,1,0.00317182
Market,1,-0.00291628
Market,2,0.04567323
Market,2,-0.02080372
Market,2,0.03019745
Market,2,0.02413294
Market,2,0.00224881
Market,2,0.04732104
Market,2,-0.01674616
Market,2,-0.04778395
Market,2,-0.01699537
Market,2,-0.01918127
Market,2,-0.01743707
Market,2,0.02021627
Market,2,-0.05984062
Market,2,0.04901140
Market,2,0.05893441
Market,2,-0.02222160
Market,2,-0.01525234
Market,2,-0.00413308
Market,2,-0.01423380
Market,2,-0.00259296
Market,2,-0.00564390
Market,2,0.04971247
Market,2,-0.00487134
Market,2,0.01194203
Market,2,0.01246216
Market,2,-0.02793901
Market,2,0.04708514
Market,2,-0.01194878
Market,2,-0.00260180
Market,2,0.06864615
Market,2,0.02716757
Market,2,0.02893320
Market,2,0.00392575
Market,2,0.02165248
Market,2,0.01551881
Market,2,0.10022899
Market,2,-0.02959342
Market,2,0.01950373
Market,2,0.00239104
Market,2,-0.00546834
Market,2,-0.01257419
Market,2,0.02363189
Market,2,0.00150731
Market,2,0.01645794
Market,2,-0.02002554
