model,window,alpha
IPCA(1),1,-0.16729214
IPCA(1),1,-0.02563840
IPCA(1),1,-0.10594383
IPCA(1),1,-0.06101066
IPCA(1),1,-0.09897723
IPCA(1),1,-0.01471009
IPCA(1),1,0.05697282
IPCA(1),1,-0.02339110
IPCA(1),1,-0.02951846
IPCA(1),1,-0.04337691
IPCA(1),1,-0.00588855
IPCA(1),1,-0.06277931
IPCA(1),1,-0.02394056
IPCA(1),1,0.00320134
IPCA(1),1,-0.07428891
IPCA(1),1,-0.12796712
IPCA(1),1,-0.02444830
IPCA(1),1,-0.14536727
IPCA(1),1,-0.07371785
IPCA(1),1,-0.07481268
IPCA(1),1,-0.02923816
IPCA(1),1,-0.09425832
IPCA(1),1,-0.13581618
IPCA(1),1,-0.07627246
IPCA(1),1,-0.09632810
IPCA(1),1,-0.03221398
IPCA(1),1,-0.10626744
IPCA(1),1,-0.05912448
IPCA(1),1,-0.00957105
IPCA(1),1,-0.10479324
IPCA(1),1,-0.06604981
IPCA(1),1,0.04949274
IPCA(1),1,-0.03849055
IPCA(1),1,0.00334262
IPCA(1),1,-0.05484368
IPCA(1),1,-0.08082796
IPCA(1),1,-0.09664325
IPCA(1),1,-0.01887015
IPCA(1),1,-0.05236424
IPCA(1),1,0.00900266
IPCA(1),1,-0.02164418
IPCA(1),1,-0.01640789
IPCA(1),1,-0.06185460
IPCA(1),1,0.02711840
IPCA(1),1,-0.02228435
IPCA(1),1,0.07757407
IPCA(1),1,0.00136925
IPCA(1),1,0.02180561
IPCA(1),1,-0.03159575
IPCA(1),1,0.13811538
IPCA(1),1,-0.04102477
IPCA(1),1,-0.08272994
IPCA(1),1,-0.04493544
IPCA(1),1,-0.04842948
IPCA(1),1,-0.00556765
IPCA(1),1,-0.05336181
IPCA(1),1,-0.04069665
IPCA(1),1,-0.00698638
IPCA(1),1,-0.03922419
IPCA(1),1,-0.08130559
IPCA(1),1,-0.03623163
IPCA(1),1,0.01978797
IPCA(1),1,0.06807413
IPCA(1),1,0.06796799
IPCA(1),1,-0.06055387
IPCA(1),1,-0.04473690
IPCA(1),1,0.00223266
IPCA(1),1,-0.00745426
IPCA(1),1,-0.06883787
IPCA(1),1,0.08593505
IPCA(1),1,-0.04857873
IPCA(1),1,-0.06127235
IPCA(1),1,-0.01386626
IPCA(1),1,-0.11832254
IPCA(1),1,-0.15687445
IPCA(1),1,-0.10649432
IPCA(1),1,0.04740572
IPCA(1),1,-0.05842347
IPCA(1),1,-0.06691431
IPCA(1),1,-0.04899814
IPCA(1),1,-0.03830760
IPCA(1),1,-0.08593779
IPCA(1),1,-0.03401125
IPCA(1),1,-0.05667642
IPCA(1),1,-0.02560834
IPCA(1),1,-0.06325579
IPCA(1),1,-0.08917860
IPCA(1),1,-0.07967980
IPCA(1),1,-0.04314669
IPCA(1),1,0.05205728
IPCA(1),1,-0.04195730
IPCA(1),1,-0.03578131
IPCA(1),1,-0.06510227
IPCA(1),1,-0.03639420
IPCA(1),1,-0.00371103
IPCA(1),1,-0.04214831
IPCA(1),1,-0.02862862
IPCA(1),1,0.08347858
IPCA(1),1,-0.05255797
IPCA(1),1,-0.02052012
IPCA(1),1,-0.01831584
IPCA(1),1,-0.00109557
IPCA(1),1,-0.01866964
IPCA(1),1,-0.03324284
IPCA(1),1,-0.02951278
IPCA(1),1,-0.07660181
IPCA(1),1,-0.05156108
IPCA(1),1,-0.01057831
IPCA(1),1,-0.00427239
IPCA(1),1,-0.01802866
IPCA(1),1,-0.01409875
IPCA(1),1,-0.04020202
IPCA(1),1,0.01590456
IPCA(1),1,-0.00170145
IPCA(1),1,0.01075661
IPCA(1),1,-0.10276549
IPCA(1),1,0.00960725
IPCA(1),1,-0.08939678
IPCA(1),1,0.00819594
IPCA(1),1,-0.05682019
IPCA(1),1,-0.00765715
IPCA(1),1,-0.09739771
IPCA(1),1,-0.05560090
IPCA(1),1,-0.01935976
IPCA(1),1,-0.00444093
IPCA(1),1,-0.11608996
IPCA(1),1,-0.03712088
IPCA(1),1,-0.04193133
IPCA(1),1,-0.01685483
IPCA(1),1,-0.04871599
IPCA(1),1,-0.08390114
IPCA(1),1,-0.01843323
