model,oos_return
IPCA(1),1.18195382
IPCA(1),0.31883471
IPCA(1),0.33398469
IPCA(1),0.41099919
IPCA(1),1.29463235
IPCA(1),1.36413900
IPCA(1),-0.71017741
IPCA(1),-0.50591667
IPCA(1),0.04225867
IPCA(1),-0.31166710
IPCA(1),-0.14329906
IPCA(1),-0.58996775
IPCA(1),0.33987967
IPCA(1),0.03266599
IPCA(1),0.16265667
IPCA(1),0.34946908
IPCA(1),0.10959897
IPCA(1),-0.44005159
IPCA(1),-0.64420087
IPCA(1),-0.12468483
IPCA(1),0.04341836
IPCA(1),-0.10776613
IPCA(1),-0.22512257
IPCA(1),-0.09670040
IPCA(1),0.06060386
IPCA(1),-0.20701147
IPCA(1),-0.16492426
IPCA(1),-0.04289139
IPCA(1),0.00937403
IPCA(1),-0.09081546
IPCA(1),0.72975518
IPCA(1),0.48337361
IPCA(1),0.08851114
IPCA(1),0.00645853
IPCA(1),-0.00821798
IPCA(1),-0.08787535
IPCA(1),0.07921922
IPCA(1),0.04149475
IPCA(1),0.19664212
IPCA(1),0.19264829
IPCA(1),0.12028224
IPCA(1),-0.19301783
IPCA(1),0.05650819
IPCA(1),-0.01642919
IPCA(1),0.02135440
IPCA(1),0.40828786
IPCA(1),-0.07524934
IPCA(1),-0.12164491
IPCA(1),0.19508889
IPCA(1),-0.08115527
IPCA(1),-0.06646550
IPCA(1),-0.20867856
IPCA(1),-0.03600050
IPCA(1),-0.23832770
IPCA(1),-0.00025905
IPCA(1),-0.02240063
IPCA(1),-0.11093819
IPCA(1),-0.24999678
IPCA(1),0.14911109
IPCA(1),0.34859346
IPCA(1),0.00115243
IPCA(1),0.29681373
IPCA(1),1.54225872
IPCA(1),-0.49188275
IPCA(1),-0.09487634
IPCA(1),0.03102925
IPCA(1),0.22655057
IPCA(1),0.02013697
IPCA(1),0.41854504
IPCA(1),0.65096631
IPCA(1),0.47620153
IPCA(1),0.29730710
IPCA(1),0.07321483
IPCA(1),0.65507567
IPCA(1),0.53430423
IPCA(1),-0.36438125
IPCA(1),0.28470109
IPCA(1),0.61835819
IPCA(1),0.35448098
IPCA(1),0.45269817
IPCA(1),0.28170301
IPCA(1),0.88449859
IPCA(1),0.13907401
IPCA(1),0.79734086
IPCA(1),0.20309377
IPCA(1),-0.44528204
IPCA(1),-0.55256907
IPCA(1),-0.24641256
IPCA(1),0.29334528
IPCA(1),0.34304805
IPCA(1),-0.27739762
IPCA(1),-0.05882923
