window,alpha
0,-0.02163041
0,-0.09273829
0,-0.05567342
0,-0.08845448
0,-0.01453268
0,0.04696460
0,-0.03098577
0,-0.03544741
0,-0.03960347
0,-0.05638674
0,0.00738668
0,-0.12606466
0,-0.06793731
0,-0.06589010
0,-0.02479830
0,-0.06996854
0,-0.10508773
0,-0.05990110
0,-0.01787084
0,-0.09189016
0,-0.06058392
0,0.03498155
0,-0.07366007
0,-0.09427734
0,-0.02100412
0,-0.05387684
0,0.00740598
0,-0.02200057
0,-0.02042149
0,-0.06083319
0,-0.02496983
0,0.06009001
0,-0.00284027
0,-0.03358629
0,0.11130405
0,-0.04104928
0,-0.08322585
0,-0.04448096
0,-0.00682638
0,-0.04625345
0,-0.03402014
0,-0.00733518
0,-0.03309761
0,-0.06916735
0,-0.03201943
0,0.01511411
0,0.05660472
0,0.05356476
0,-0.03879074
0,-0.00805510
0,-0.06091978
0,0.07084218
0,-0.04564280
0,-0.05619329
0,-0.01168401
0,-0.10302904
0,-0.14443558
0,-0.09267446
0,0.03898664
0,-0.04630303
0,-0.03220470
0,-0.07285202
0,-0.02874860
0,-0.04907225
0,-0.02236802
0,-0.05185804
0,-0.07785324
0,-0.07009789
0,-0.03925589
0,0.05118998
0,-0.03671027
0,-0.03056816
0,-0.05888493
0,-0.05093176
0,-0.00661702
0,-0.03678665
0,-0.02402969
0,-0.01774134
0,-0.01842618
0,-0.00224063
0,-0.01959133
0,-0.02841532
0,-0.02622353
0,-0.06669050
0,-0.04529405
0,-0.00943223
0,-0.00696757
0,-0.01593358
0,-0.03651328
0,-0.00339311
0,0.00954566
0,-0.09501906
0,0.00907696
0,-0.08252316
0,0.00798709
0,-0.05088226
0,-0.06411991
0,-0.04818062
0,-0.09706710
0,-0.03029685
0,-0.03332028
0,-0.01424093
0,-0.03990253
0,-0.07107548
0,-0.06974451
0,-0.10434029
0,-0.02258151
0,0.06000271
0,0.01037755
0,-0.11960454
0,-0.08636007
0,-0.08437461
0,-0.09463325
0,-0.07602110
0,-0.06175818
0,-0.05102008
0,0.00579803
0,0.02624419
0,-0.02273215
0,-0.02829237
0,0.00188184
0,-0.08927863
0,-0.08952284
0,0.00927812
0,0.04000593
0,-0.01581693
0,-0.03560195
0,-0.02626059
0,0.02604466
0,-0.10382526
0,-0.02654568
0,-0.04465984
0,-0.07137840
0,0.05032791
0,-0.05973328
0,-0.07266273
0,-0.02446028
0,-0.06586806
0,0.00281568
0,-0.06848010
0,-0.02891430
0,-0.01009709
0,-0.06905487
0,-0.04822023
0,-0.00996229
0,-0.04317247
0,-0.01606228
0,-0.08681005
0,-0.00074540
0,0.04884081
0,0.01309280
0,-0.01188661
0,-0.06732482
0,0.01274548
0,0.00241131
0,-0.03571111
0,0.00290029
0,-0.06303103
0,-0.10732472
0,-0.00651251
0,-0.12570728
0,-0.07030182
0,-0.01360113
0,-0.01094870
0,-0.05254662
0,-0.01668885
0,-0.09889993
0,0.02263757
0,-0.02298243
0,0.01312000
0,-0.04381323
0,0.00419570
0,-0.04852800
0,-0.06939414
0,-0.09286455
0,-0.08618466
0,-0.05167342
0,-0.05038275
0,-0.06712697
0,-0.03226409
0,-0.01737769
1,0.01365071
1,-0.02006668
1,0.02824349
1,0.02668848
1,0.00024278
1,0.04124442
1,-0.01644298
1,-0.05430048
1,-0.02936498
1,-0.02544188
1,0.02223389
1,0.04744872
1,0.07291572
1,-0.03590660
1,-0.00967146
1,-0.01650112
1,-0.00546520
1,0.03661761
1,-0.00219438
1,-0.02414346
