window,L_plus,L_minus,rel_gap
0,2.37476008e-04,8.76828504e-04,2.692282
1,5.37564512e-04,2.01240135e-03,2.743553
2,1.05824298e-03,1.14788045e-03,0.084704
3,2.40773763e-04,2.61118915e-03,9.844990
4,2.28719466e-04,3.02268285e-03,12.215678
5,4.69271123e-04,4.32399422e-04,0.085272
6,1.99293572e-04,3.22386273e-04,0.617645
7,3.01163556e-04,5.16282814e-03,16.142938
8,5.69976075e-03,5.04050637e-03,0.130791
9,3.72512732e-03,3.31887999e-03,0.122405
10,4.87238140e-04,1.25379292e-02,24.732651
11,1.40791037e-03,1.62182085e-03,0.151935
