model,oos_return
e2lag,0.161945
e2lag,0.059114
e2lag,0.056378
e2lag,0.068584
e2lag,0.152549
e2lag,0.191844
e2lag,-0.097663
e2lag,-0.059609
e2lag,-0.002761
e2lag,-0.046048
e2lag,-0.037017
e2lag,-0.078262
e2lag,0.050942
e2lag,-0.007891
e2lag,0.024519
e2lag,0.047580
e2lag,0.008416
e2lag,-0.062203
e2lag,-0.098286
e2lag,-0.031670
e2lag,0.005386
e2lag,-0.013245
e2lag,-0.031437
e2lag,-0.015470
e2lag,0.014803
e2lag,-0.043742
e2lag,-0.042170
e2lag,-0.010541
e2lag,0.002404
e2lag,-0.020255
e2lag,0.154917
e2lag,0.104005
e2lag,0.018119
e2lag,0.003815
e2lag,-0.001743
e2lag,-0.010070
e2lag,0.013800
e2lag,0.001851
e2lag,0.044267
e2lag,0.043402
e2lag,0.017824
e2lag,-0.035358
e2lag,0.008662
e2lag,-0.000255
e2lag,0.006012
e2lag,0.091602
e2lag,-0.015350
e2lag,-0.031684
e2lag,0.041897
e2lag,-0.015955
e2lag,-0.019303
e2lag,-0.047528
e2lag,-0.008196
e2lag,-0.048900
e2lag,0.003858
e2lag,-0.010052
e2lag,-0.022572
e2lag,-0.054933
e2lag,0.035495
e2lag,0.077426
e2lag,-0.007790
e2lag,0.125515
e2lag,0.604709
e2lag,-0.182297
e2lag,-0.044221
e2lag,0.008435
e2lag,0.074876
e2lag,0.013315
e2lag,0.176729
e2lag,0.226877
e2lag,0.174239
e2lag,0.126997
e2lag,0.023307
e2lag,0.253508
e2lag,0.190170
e2lag,-0.126536
e2lag,0.096137
e2lag,0.263894
e2lag,0.142107
e2lag,0.193497
e2lag,0.100675
e2lag,0.395572
e2lag,0.076421
e2lag,0.407970
e2lag,0.075992
e2lag,-0.111996
e2lag,-0.152206
e2lag,-0.055448
e2lag,0.084615
e2lag,0.114675
e2lag,-0.074455
e2lag,-0.011463
e2lag,0.012189
e2lag,-0.050737
e2lag,-0.134649
e2lag,-0.010425
e2lag,0.035984
e2lag,0.094639
e2lag,-0.076981
e2lag,-0.184076
e2lag,0.024296
e2lag,-0.034317
e2lag,-0.127042
e2lag,0.000836
e2lag,0.092634
e2lag,0.146565
e2lag,0.021377
e2lag,-0.035283
e2lag,-0.123458
e2lag,0.063698
e2lag,-0.074625
e2lag,-0.107562
e2lag,0.146844
e2lag,0.132888
e2lag,0.025497
e2lag,0.112935
e2lag,0.154353
e2lag,0.325261
e2lag,-0.087282
e2lag,-0.040317
e2lag,-0.080785
e2lag,-0.003665
e2lag,-0.003890
e2lag,-0.081501
e2lag,0.062633
e2lag,0.034491
e2lag,-0.051754
e2lag,-0.038079
e2lag,0.071517
e2lag,-0.044656
e2lag,-0.115171
e2lag,-0.040587
e2lag,-0.034012
e2lag,-0.026621
e2lag,0.056993
e2lag,-0.068151
e2lag,0.139209
e2lag,0.092009
e2lag,0.027537
e2lag,-0.061652
e2lag,-0.071371
e2lag,0.163408
e2lag,0.000348
e2lag,-0.125164
