window,alpha
0,-0.01598694
0,-0.08604036
0,-0.04257540
0,-0.07181332
0,-0.00888084
0,0.04938847
0,-0.01474890
0,-0.01002093
0,-0.03402293
0,-0.04684157
0,0.01176845
0,-0.11464757
0,-0.05664704
0,-0.05541964
0,-0.01349949
0,-0.05118093
0,-0.08557235
0,-0.04026918
0,0.00303236
0,-0.07921202
0,-0.03888783
0,0.04762214
0,-0.06035591
0,-0.06630475
0,-0.01217038
0,-0.03240887
0,0.00743791
0,-0.00772715
0,-0.00747231
0,-0.04256915
0,-0.01242563
0,0.06264932
0,0.00517322
0,-0.00403274
0,0.10825618
0,-0.03200553
0,-0.06476994
0,-0.03178546
0,0.00208441
0,-0.03555107
0,-0.02338306
0,0.00627635
0,-0.02932685
0,-0.05091940
0,-0.02539423
0,0.02276103
0,0.05777828
0,0.06430728
0,-0.03080107
0,-0.00075472
0,-0.04761842
0,0.07437117
0,-0.03281045
0,-0.04470095
0,-0.00202889
0,-0.08509590
0,-0.12976494
0,-0.07849011
0,0.04106405
0,-0.02831928
0,-0.02376450
0,-0.06569598
0,-0.02645026
0,-0.04199250
0,-0.01823804
0,-0.04788126
0,-0.06911291
0,-0.06191501
0,-0.02442970
0,0.04862780
0,-0.02917976
0,-0.02472657
0,-0.04716873
0,-0.04557099
0,0.00356735
0,-0.02965242
0,-0.01969080
0,-0.01255253
0,-0.01257013
0,0.00099693
0,-0.01606101
0,-0.02529571
0,-0.01962985
0,-0.05856875
0,-0.04164095
0,-0.00466669
0,-0.00042576
0,-0.00903057
0,-0.03566196
0,0.00202965
0,0.01268735
0,-0.08829048
0,0.01640744
0,-0.06086080
0,0.01058621
0,-0.04091160
0,-0.05483609
0,-0.04506255
0,-0.09200805
0,-0.02861586
0,-0.03008997
0,-0.01126125
0,-0.03906393
0,-0.06467050
0,-0.05142025
0,-0.09993861
0,-0.02087318
0,0.06256051
0,0.01712620
0,-0.09890857
0,-0.07446136
0,-0.07863319
0,-0.08546373
0,-0.06606438
0,-0.05357414
0,-0.04207317
0,0.00963454
0,0.02790770
0,-0.01701287
0,-0.01610499
0,0.00648153
0,-0.08389439
0,-0.08224029
0,0.02178197
0,0.04151746
0,-0.01304941
0,-0.02845553
0,-0.02355626
0,0.02624381
0,-0.09499720
0,-0.01676636
0,-0.04237849
0,-0.06730076
0,0.05418504
0,-0.05363051
0,-0.06401250
0,-0.02061277
0,-0.06356902
0,0.00431858
0,-0.05936071
0,-0.02509454
0,-0.00606342
0,-0.05334469
0,-0.04150259
0,-0.00023022
0,-0.04044514
0,-0.00994805
0,-0.08354232
0,0.01001671
0,0.05000793
0,0.02070463
0,-0.00134902
0,-0.05801085
0,0.01601763
0,0.01686121
0,-0.02569689
0,0.00200057
0,-0.05886033
0,-0.09688386
0,-0.00314973
0,-0.10901546
0,-0.05748523
0,0.00036471
0,0.00484341
0,-0.04469828
0,-0.01249882
0,-0.08368822
0,0.03518006
0,-0.00548868
0,0.02425375
0,-0.03245975
0,0.01561421
0,-0.03603839
0,-0.05910691
0,-0.08168575
0,-0.06718624
0,-0.04927485
0,-0.03299809
0,-0.04305143
0,-0.02773466
0,-0.01475942
1,0.01716330
1,-0.01948642
1,0.02823443
1,0.02656737
1,0.00092678
1,0.04173621
1,-0.01644483
1,-0.05333902
1,-0.02786653
1,-0.02321370
1,0.02414487
1,0.04814488
1,0.07548051
1,-0.03504527
1,-0.00845035
1,-0.01613472
1,-0.00388584
1,0.03978883
1,0.00211521
1,-0.02324397
1,-0.00599893
1,0.08068465
1,0.05915694
1,0.02955855
1,0.00054119
1,0.01917849
1,0.08998294
1,0.01638485
1,-0.01241330
1,-0.00268416
1,-0.01731359
1,0.02633775
1,-0.00358683
1,0.00844885
1,-0.02230415
1,0.01801821
1,-0.00078654
1,0.00216434
1,-0.03504411
1,-0.00122689
1,0.04619562
1,0.05049295
1,0.01098047
1,-0.02489031
1,0.04086817
1,0.02185935
1,0.02462939
1,-0.00889329
1,0.02731384
1,0.01049610
1,0.01163717
1,-0.00030541
1,-0.00680551
1,-0.00983950
1,-0.03004544
1,-0.00540893
1,-0.01495316
1,-0.04232863
1,-0.03354013
1,0.01246971
1,0.03236783
1,0.01794206
1,0.00941653
1,0.01374756
1,-0.04737283
1,0.00031042
1,-0.04377876
1,0.02707027
1,-0.02459911
1,-0.02266484
1,-0.03409934
1,-0.05065057
1,-0.02587899
1,-0.03584919
1,-0.03235069
1,-0.06042841
1,-0.06148268
1,-0.08822834
1,-0.04115177
1,0.00414531
1,-0.00682128
1,-0.05836212
1,-0.01275650
1,-0.00658933
1,-0.02678460
1,-0.01608189
1,-0.02673578
1,-0.06519277
1,-0.07095463
1,-0.07924908
1,0.01698278
1,-0.02695373
1,-0.02574954
1,0.00506220
1,0.01217682
1,-0.00564966
1,-0.02671541
1,-0.05121773
1,0.00478561
1,-0.02683687
1,-0.05393487
1,-0.03414115
1,-0.00987761
1,-0.03810006
1,0.02075857
1,0.01839226
1,-0.01640601
1,-0.01247436
1,-0.02826058
1,-0.00010951
1,0.04035467
1,-0.05711212
1,0.00667190
1,-0.03758704
1,0.07333770
1,-0.02708923
1,-0.03798327
1,-0.01156020
1,0.01284356
1,0.02264281
1,-0.02510144
1,0.00239132
1,-0.00518007
1,-0.00868097
1,-0.03244528
1,0.01510125
1,0.01286291
1,0.03397265
1,0.01232456
1,0.01673877
1,-0.04776870
1,0.01493540
1,0.00804821
1,-0.01454375
1,-0.01490468
1,-0.02826680
1,-0.05759988
1,-0.07956605
1,-0.04657739
1,-0.05745981
1,-0.01586105
1,0.01004878
1,-0.04802560
1,-0.03072050
1,-0.03966992
1,-0.03017544
1,-0.02236473
1,-0.08104508
1,-0.03600932
1,-0.07526263
1,-0.08024669
1,-0.02840330
1,-0.10314495
1,-0.06110427
1,-0.03876700
1,-0.04925102
1,-0.01410929
1,0.00628958
1,-0.05363317
1,0.01592704
1,-0.01195512
1,0.00139722
1,-0.01462431
1,-0.00683605
1,-0.02591443
1,0.01722660
1,-0.02122289
1,-0.01896243
1,0.00128272
1,0.03273586
1,-0.02891101
1,-0.02859639
