window,L_plus,L_minus,rel_gap
0,2.35532207e-04,8.18894827e-04,2.476785
1,5.04837139e-04,2.09636893e-03,3.152565
2,1.06918626e-03,1.13640469e-03,0.062869
3,2.30444828e-04,2.35506450e-03,9.219646
4,2.17421635e-04,2.76303058e-03,11.708168
5,4.68524755e-04,4.33097681e-04,0.081799
6,1.99505026e-04,3.06028815e-04,0.533940
7,3.00596061e-04,5.19255362e-03,16.274191
8,5.49579924e-03,5.23548853e-03,0.049720
9,3.83859943e-03,3.21443309e-03,0.194176
10,4.29874548e-04,1.10662039e-02,24.742868
11,1.31690747e-03,1.72633538e-03,0.310901
