window,L_plus,L_minus,rel_gap
0,2.20660120e-04,9.20254679e-04,3.170462
1,5.03631250e-04,2.08794535e-03,3.145782
2,1.02418603e-03,1.18460902e-03,0.156635
3,2.35273197e-04,2.61712912e-03,10.123788
4,2.28873803e-04,3.04465345e-03,12.302761
5,4.38889983e-04,4.62359545e-04,0.053475
6,1.97944639e-04,3.08276067e-04,0.557385
7,3.02227214e-04,5.24312304e-03,16.348282
8,4.74207895e-03,6.02820655e-03,0.271216
9,3.77953774e-03,3.26833734e-03,0.156410
10,4.45065205e-04,1.15501797e-02,24.951657
11,1.65503961e-03,1.37814670e-03,0.200917
