window,L_plus,L_minus,rel_gap
0,2.35540196e-04,8.66857707e-04,2.680296
1,5.23674302e-04,2.04074522e-03,2.896974
2,1.04922499e-03,1.15747121e-03,0.103168
3,2.38984387e-04,2.56917812e-03,9.750402
4,2.32417733e-04,3.02131660e-03,11.999510
5,4.50015563e-04,4.50918684e-04,0.002007
6,1.98549591e-04,3.07133712e-04,0.546887
7,2.97150778e-04,5.17368317e-03,16.410970
8,5.13181835e-03,5.60333207e-03,0.091880
9,3.80845158e-03,3.24187498e-03,0.174768
10,4.53960878e-04,1.18436506e-02,25.089584
11,1.63438136e-03,1.39661983e-03,0.170241
