window,alpha
0,0.02328082
0,-0.04057835
0,0.04114399
0,0.03197810
0,0.02280524
0,0.06264244
0,0.08585519
0,0.15818000
0,0.00023354
0,0.01539832
0,0.03580669
0,-0.04297527
0,0.01712806
0,0.01060397
0,0.05442856
0,0.07092638
0,0.03482936
0,0.09530588
0,0.13886537
0,0.00384101
0,0.09933733
0,0.13192473
0,0.02774323
0,0.11405642
0,0.04394188
0,0.11575464
0,0.00796480
0,0.08237699
0,0.07785276
0,0.07382409
0,0.06872848
0,0.07786402
0,0.05411166
0,0.18747659
0,0.08863327
0,0.02926760
0,0.05555091
0,0.05202093
0,0.05897165
0,0.03491461
0,0.04815010
0,0.09332668
0,-0.00309464
0,0.07026070
0,0.01674789
0,0.07241938
0,0.06832507
0,0.13585138
0,0.02410843
0,0.05120188
0,0.03867001
0,0.09617674
0,0.05373203
0,0.03324150
0,0.06208029
0,0.03455376
0,-0.03810503
0,0.01568251
0,0.05566673
0,0.08613018
0,0.03046951
0,-0.01807863
0,-0.01177600
0,0.00356424
0,0.00797808
0,-0.02180544
0,-0.01177262
0,-0.00880246
0,0.07463909
0,0.03183328
0,0.02258772
0,0.01386656
0,0.03267187
0,-0.01000398
0,0.06749991
0,0.01725482
0,0.01000050
0,0.02227958
0,0.02687238
0,0.02082970
0,0.00802101
0,-0.00609466
0,0.02538921
0,-0.00517093
0,-0.01935025
0,0.02774606
0,0.04233837
0,0.03378786
0,-0.03305852
0,0.03443896
0,0.03255482
0,-0.05082629
0,0.05966170
0,0.07342171
0,0.02588453
0,0.02426350
0,0.00485853
0,-0.02819902
0,-0.06258922
0,-0.01869204
0,-0.01221466
0,0.00747323
0,-0.03603837
0,-0.02329119
0,0.06379141
0,-0.07567500
0,-0.01023507
0,0.08126534
0,0.05585277
0,0.03260136
0,0.00053356
0,-0.04173903
0,-0.02956286
0,-0.00348980
0,-0.00351419
0,0.01272821
0,0.03353057
0,0.03689569
0,0.01532845
0,0.05743245
0,0.03507667
0,-0.05300717
0,-0.03456165
0,0.09857190
0,0.05197145
0,0.00348097
0,0.01535533
0,-0.00755507
0,0.02939997
0,-0.04133626
0,0.05042465
0,-0.03086472
0,-0.04390917
0,0.07624208
0,-0.01773757
0,-0.00566998
0,0.00248123
0,-0.05027154
0,0.01402332
0,-0.00239747
0,-0.00266616
0,0.01798970
0,0.04550835
0,0.00022371
0,0.06226550
0,-0.02388597
0,0.02906147
0,-0.06301693
0,0.07568663
0,0.05606985
0,0.06350113
0,0.06394185
0,0.00346480
0,0.03646981
0,0.10922841
0,0.03850432
0,-0.00641748
0,-0.03448616
0,-0.03074338
0,0.01782909
0,-0.00196811
0,0.03029550
0,0.08982147
0,0.11615298
0,0.00461922
0,0.01354371
0,0.01609466
0,0.11518993
0,0.10963213
0,0.09063524
0,0.03718996
0,0.09269411
0,0.04636062
0,0.00686141
0,-0.01585180
0,0.06337684
0,-0.03425874
0,0.07964895
0,0.12406848
0,0.00119111
0,0.00232906
1,0.01838241
1,-0.01916158
1,0.02819981
1,0.02648661
1,0.00113465
1,0.04198334
1,-0.01626206
1,-0.05270630
1,-0.02703754
1,-0.02244902
1,0.02462679
1,0.04816124
1,0.07622144
1,-0.03428436
1,-0.00794113
1,-0.01580375
1,-0.00342831
1,0.04063365
1,0.00356769
1,-0.02289133
1,-0.00563385
1,0.08083797
1,0.05864536
1,0.02973238
1,0.00092788
1,0.01918142
1,0.09120992
1,0.01716381
1,-0.01164996
1,-0.00235471
1,-0.01669400
1,0.02687967
1,-0.00335988
1,0.00904984
1,-0.02160016
1,0.01843687
1,-0.00100070
1,0.00239112
1,-0.03486620
1,-0.00076896
1,0.04629740
1,0.05110874
1,0.01123560
1,-0.02461217
1,0.04109369
1,0.02193391
1,0.02555219
1,-0.00867736
1,0.02772239
1,0.01086208
1,0.01171216
1,0.00016206
1,-0.00666819
1,-0.00957272
1,-0.02991056
1,-0.00506936
1,-0.01460937
1,-0.04182128
1,-0.03298420
1,0.01272663
1,0.03268255
1,0.01822449
1,0.01018963
1,0.01361903
1,-0.04682965
1,0.00047664
1,-0.04336572
1,0.02681800
1,-0.02435992
1,-0.02256096
1,-0.03389457
1,-0.04989723
1,-0.02581809
1,-0.03532482
1,-0.03226428
1,-0.06006622
1,-0.06098266
1,-0.08743901
1,-0.04085171
1,0.00400041
1,-0.00679135
1,-0.05779267
1,-0.01244697
1,-0.00631558
1,-0.02682086
1,-0.01606463
1,-0.02667148
1,-0.06469315
1,-0.07025602
1,-0.07910825
1,0.01724627
1,-0.02686481
1,-0.02549990
1,0.00553428
1,0.01240309
1,-0.00541076
1,-0.02624497
1,-0.05068378
1,0.00527138
1,-0.02649008
1,-0.05317215
1,-0.03388381
1,-0.00990495
1,-0.03755492
1,0.02067260
1,0.01894294
1,-0.01579108
1,-0.01182127
1,-0.02796005
1,0.00010843
1,0.04050467
1,-0.05631136
1,0.00696260
1,-0.03716734
1,0.07415634
1,-0.02684088
1,-0.03772468
1,-0.01102994
1,0.01364868
1,0.02298687
1,-0.02508182
1,0.00281619
1,-0.00514606
1,-0.00841281
1,-0.03182533
1,0.01516877
1,0.01302550
1,0.03378333
1,0.01283205
1,0.01688959
1,-0.04742150
1,0.01568251
1,0.00803024
1,-0.01411659
1,-0.01488103
1,-0.02797068
1,-0.05717663
1,-0.07901882
1,-0.04631032
1,-0.05691077
1,-0.01583309
1,0.01021430
1,-0.04738098
1,-0.03011989
1,-0.03943475
1,-0.02977021
1,-0.02170338
1,-0.08013465
1,-0.03537299
1,-0.07454357
1,-0.07956729
1,-0.02812381
1,-0.10249806
1,-0.06006363
1,-0.03918548
1,-0.04882999
1,-0.01377401
1,0.00725649
1,-0.05329819
1,0.01628583
1,-0.01145759
1,0.00131255
1,-0.01479239
1,-0.00638890
1,-0.02552370
1,0.01739135
1,-0.02065497
1,-0.01861620
1,0.00147482
1,0.03350598
1,-0.02823132
1,-0.02774440
1,-0.06512107
1,-0.07178165
1,-0.01597827
1,-0.06723737
1,0.02945660
1,-0.05549898
1,-0.00922936
1,-0.00689887
1,-0.06739981
1,-0.02740040
1,-0.04092805
1,-0.03273237
1,-0.01978141
1,-0.05179621
1,-0.01954245
1,-0.00472482
1,-0.05702242
1,-0.01263348
1,-0.01285987
1,-0.04002787
1,-0.02689800
2,-0.01928101
2,0.02145094
2,0.05188531
2,0.05619439
2,-0.00440756
2,-0.00974430
2,0.04171817
2,0.02819765
2,0.03828191
2,-0.00657618
2,-0.01058570
2,-0.01256614
2,0.00175072
2,-0.01273002
2,0.01482380
2,0.00872046
2,0.05659879
2,-0.02912193
2,0.02937344
2,-0.00080164
2,0.01928274
2,-0.00124334
2,0.10413092
