char,mean_w,std_w,t_stat,mean_abs_w,n_months
size,-0.17558,0.04056,-51.940,0.17558,144
st_rev,0.06507,0.07028,11.109,0.06960,144
turnover,0.00574,0.05505,1.251,0.04187,144
vol,-0.03259,0.14815,-2.640,0.12100,144
bm,0.03715,0.09426,4.730,0.08632,144
mom,-0.02644,0.06703,-4.733,0.06018,144
roe,0.03532,0.09123,4.646,0.08099,144
ag,-0.01299,0.06672,-2.337,0.05585,144
ac,-0.03924,0.09135,-5.155,0.08306,144
noa,0.05137,0.04274,14.423,0.05552,144
nsi,-0.00002,0.06970,-0.003,0.05442,144
gp,0.03650,0.12915,3.391,0.10327,144
cei,0.05297,0.11091,5.731,0.08923,144
ita,-0.02707,0.10106,-3.215,0.08328,144
ig,0.12363,0.08259,17.963,0.12463,144
dist,0.10988,0.10230,12.889,0.12240,144
oscore,0.15755,0.16286,11.609,0.18398,144
investment,-0.02969,0.11154,-3.194,0.10056,144
cbop,0.01176,0.05335,2.646,0.04385,144
dy,-0.02150,0.08129,-3.174,0.07246,144
