char,mean_w,std_w,t_stat,mean_abs_w,n_months
size,-0.07017,0.41937,-2.008,0.26548,144
st_rev,0.05682,0.22828,2.987,0.12838,144
turnover,0.00606,0.39476,0.184,0.27464,144
vol,0.03477,0.24078,1.733,0.15865,144
bm,0.06028,0.37217,1.944,0.25566,144
mom,-0.04706,0.14259,-3.960,0.09596,144
roe,-0.04557,0.37334,-1.465,0.23973,144
ag,-0.06548,0.29933,-2.625,0.19683,144
ac,-0.07171,0.34055,-2.527,0.19014,144
noa,-0.05594,0.38556,-1.741,0.22837,144
nsi,-0.01164,0.17146,-0.815,0.11497,144
gp,-0.02212,0.25801,-1.029,0.17272,144
cei,-0.05448,0.31414,-2.081,0.18049,144
ita,-0.02469,0.25693,-1.153,0.16355,144
ig,0.05424,0.28618,2.274,0.20375,144
dist,0.07934,0.59437,1.602,0.38853,144
oscore,0.09146,0.63671,1.724,0.41572,144
cbop,-0.03451,0.29501,-1.404,0.14463,144
dy,0.04701,0.38102,1.481,0.26569,144
