char,mean_w,naive_t,boot_t,boot_ci_lo,boot_ci_hi,signif_boot
size,0.00852,0.203,0.098,-0.14324,0.19682,0
st_rev,0.07870,3.212,1.853,-0.00608,0.15610,0
turnover,0.00552,0.131,0.063,-0.17561,0.16871,0
vol,-0.03950,-1.626,-0.826,-0.14741,0.03867,0
bm,-0.08981,-3.275,-1.581,-0.21554,0.00641,0
mom,-0.02193,-1.041,-0.487,-0.10336,0.07256,0
roe,-0.01653,-0.413,-0.200,-0.17213,0.15118,0
ag,-0.11716,-3.195,-1.516,-0.25811,0.04560,0
ac,-0.10980,-2.717,-1.339,-0.26173,0.06148,0
noa,-0.04189,-1.292,-0.608,-0.16237,0.11105,0
nsi,-0.03598,-1.774,-0.844,-0.11267,0.05377,0
gp,0.00574,0.220,0.107,-0.09371,0.11679,0
cei,-0.07773,-2.056,-0.995,-0.21822,0.08815,0
ita,-0.05013,-1.708,-0.790,-0.16103,0.08498,0
ig,-0.02427,-1.507,-0.705,-0.09825,0.03683,0
dist,0.03312,0.660,0.321,-0.18551,0.21954,0
oscore,0.04680,0.851,0.412,-0.19325,0.24801,0
investment,-0.10867,-3.118,-1.492,-0.24228,0.04603,0
cbop,-0.03589,-1.239,-0.603,-0.15530,0.07810,0
dy,-0.06225,-2.183,-1.041,-0.19401,0.03978,0
