char,mean_w,naive_t,boot_t,boot_ci_lo,boot_ci_hi,signif_boot
mom,-0.01300,-2.099,-0.924,-0.04069,0.01425,0
ag,-0.05040,-4.583,-2.091,-0.09661,-0.00187,1
ac,-0.07023,-12.890,-6.094,-0.09297,-0.04825,1
noa,-0.00908,-1.103,-0.492,-0.04508,0.02695,0
nsi,-0.05743,-6.408,-2.992,-0.09390,-0.01867,1
gp,-0.00674,-0.812,-0.363,-0.04404,0.02871,0
cei,0.00283,0.310,0.134,-0.04036,0.04278,0
ita,-0.02346,-2.874,-1.248,-0.05875,0.01486,0
ig,0.05632,7.530,3.341,0.02239,0.08825,1
dist,0.12049,13.799,6.091,0.08300,0.15991,1
oscore,0.09719,10.229,4.686,0.05419,0.13512,1
