month,size,st_rev,turnover,vol,bm,mom,roe,ag,ac,noa,nsi,gp,cei,ita,ig,dist,oscore,cbop,dy
2013-07,-1.63568,1.10366,1.24407,1.29918,1.27906,0.15844,-0.24185,-0.14834,-0.86231,-1.30913,0.03575,-0.09869,-0.49345,-0.22439,-0.01313,1.08182,1.27079,0.31017,1.71692
2013-08,-1.61235,0.66356,1.10343,0.62911,1.36719,-0.08084,-0.21520,-0.39693,-0.80345,-1.20024,-0.33490,0.13440,-0.38508,-0.50860,0.10105,0.97141,1.11711,-0.90269,1.43700
2013-09,-1.55998,1.34288,1.18084,1.13774,1.32546,-0.14386,-0.27264,-0.18399,-0.77499,-1.32287,-0.32707,0.07993,-0.37282,-0.47681,-0.01862,0.95759,1.10755,-0.80886,1.42339
2013-10,-1.54350,1.10769,1.16455,0.37461,1.19867,-0.09633,-0.45401,-0.31074,-0.68038,-1.29086,-0.16909,-0.09587,-0.22253,-0.30666,0.05869,0.91439,1.09860,-0.96693,1.25953
2013-11,-1.54795,0.72900,1.27332,0.30015,1.27781,0.04133,-0.26984,-0.40029,-0.67239,-1.04508,-0.28200,0.03493,-0.26874,-0.47801,0.06901,0.75268,0.94233,-0.90971,1.26977
2013-12,-1.66193,0.94388,1.35813,0.29632,1.22044,-0.06270,-0.25611,-0.23873,-0.74329,-1.22511,-0.17739,0.18827,-0.17574,-0.41979,-0.01662,0.77830,0.99647,-0.85575,1.27359
2014-01,-1.23870,1.00062,1.30564,0.62969,1.03302,-0.36618,-0.54641,-0.70058,-0.97196,-1.12564,0.00350,-0.10447,-0.47717,-0.56605,0.11533,1.07907,1.18565,-1.02270,1.03178
2014-02,-1.43430,0.92981,1.45980,0.52163,1.10322,-0.21803,-0.48609,-0.37668,-0.80495,-1.31903,0.04923,-0.10459,-0.25901,-0.42821,0.11130,1.11660,1.25519,-0.98792,1.07333
2014-03,-1.55004,1.00658,1.53299,0.63086,1.29330,-0.21853,-0.49366,-0.37228,-0.79548,-1.25387,-0.08896,0.03767,-0.34332,-0.48551,0.17606,1.03281,1.16478,-1.05954,1.18983
2014-04,-1.34889,-0.09477,1.14441,0.53518,1.19184,-0.15692,-0.32539,-0.40223,-0.83187,-1.16785,0.05743,0.04633,-0.18308,-0.45800,0.03460,0.77511,0.89373,-1.02450,1.09911
2014-05,-1.54738,1.00349,1.56641,0.54876,1.14995,-0.29184,-0.69390,-0.63429,-1.00170,-1.14140,-0.05492,-0.09072,-0.34573,-0.59855,0.06085,0.95878,1.12648,-1.25268,1.13753
2014-06,-1.44259,0.51004,1.46115,0.47322,1.25162,-0.27456,-0.83451,-0.57301,-0.90810,-0.92316,0.00043,-0.07236,-0.33063,-0.61649,0.29918,0.95481,1.05167,-1.19232,1.15261
2014-07,0.00778,-0.35452,-0.34257,-0.31487,-0.16962,-0.09823,0.11961,0.05181,0.06082,0.21517,-0.18555,-0.01545,-0.13046,0.07723,-0.30994,-0.12252,-0.09611,0.35577,-0.24177
2014-08,0.20391,0.02635,-0.23750,-0.47896,-0.16761,-0.21997,0.17105,-0.01372,0.15509,0.30944,-0.20503,0.00582,-0.01687,0.31252,-0.21403,-0.16740,-0.20060,0.24341,-0.26965
2014-09,0.19702,-0.24237,-0.21964,-0.42021,-0.14572,-0.17730,0.15102,-0.04005,0.11115,0.29780,-0.13940,0.02924,-0.06778,0.27881,-0.18921,-0.20700,-0.21571,0.37283,-0.26426
2014-10,0.23539,-0.23027,-0.21997,-0.36232,-0.12546,-0.14262,0.18444,-0.00872,0.12302,0.31941,-0.12995,0.08838,-0.01560,0.29223,-0.17897,-0.28189,-0.30504,0.37991,-0.24636
2014-11,0.23352,-0.10874,-0.22195,-0.37564,-0.12311,-0.15170,0.16952,-0.00447,0.13914,0.31212,-0.15440,0.02202,-0.00616,0.33237,-0.18229,-0.26291,-0.28647,0.37103,-0.23615
2014-12,0.27865,-0.47947,-0.43106,-0.49950,-0.11531,-0.12715,0.19188,0.08326,0.20334,0.38814,-0.16398,0.13164,0.08511,0.36064,-0.22660,-0.29226,-0.32355,0.44453,-0.22994
2015-01,0.24035,-0.37203,-0.42049,-0.51316,-0.16931,-0.07225,0.17847,0.04190,0.17107,0.32376,-0.15352,0.05514,0.06587,0.33730,-0.24255,-0.25517,-0.26911,0.42726,-0.29201
2015-02,0.20251,-0.03670,-0.36060,-0.43587,-0.12821,-0.03522,0.17142,0.00070,0.13664,0.34052,-0.19467,0.07548,0.02626,0.30358,-0.21312,-0.24763,-0.26514,0.38705,-0.26029
2015-03,0.27100,0.02185,-0.41653,-0.46626,-0.17981,-0.06548,0.09865,0.02206,0.14046,0.35164,-0.15675,0.08389,0.02694,0.31140,-0.24139,-0.25365,-0.29423,0.40587,-0.32860
2015-04,0.23849,-0.31778,-0.50432,-0.56439,-0.18194,-0.04620,0.14313,0.05190,0.16807,0.36818,-0.16665,0.13200,0.07319,0.33947,-0.23143,-0.30848,-0.34904,0.41920,-0.30941
2015-05,0.24831,-0.23075,-0.58728,-0.45928,-0.22160,-0.03528,0.09272,0.01363,0.11336,0.34115,-0.16349,0.11630,0.04177,0.33642,-0.26085,-0.26182,-0.29619,0.40556,-0.36285
2015-06,0.27088,0.00641,-0.53199,-0.43817,-0.17081,-0.02318,0.05562,0.00543,0.09688,0.34501,-0.16441,0.10803,0.01140,0.28980,-0.21684,-0.24554,-0.29422,0.42768,-0.33641
2015-07,-0.02177,-0.00271,0.00726,0.01122,-0.01478,0.01834,0.00589,-0.00654,-0.00816,-0.01046,-0.03610,0.01942,0.01043,-0.02669,0.00043,-0.00967,-0.00108,-0.00515,-0.00764
2015-08,-0.01576,-0.02054,-0.01428,0.00834,-0.00556,0.00683,0.01170,-0.03904,-0.03831,-0.01383,-0.03853,0.02101,-0.03714,-0.04438,-0.01681,-0.00979,-0.00249,0.00662,0.01044
2015-09,-0.01796,-0.00735,-0.01693,0.01119,-0.00179,0.00824,0.01265,-0.03933,-0.03778,-0.01606,-0.04050,0.02244,-0.03831,-0.04650,-0.00200,-0.00798,-0.00002,0.00720,0.01215
2015-10,-0.01603,-0.03138,-0.02856,0.00637,-0.00506,0.01054,0.01305,-0.04109,-0.04108,-0.02072,-0.03837,0.02238,-0.03718,-0.04622,-0.01613,-0.00741,-0.00053,0.00453,0.01063
2015-11,-0.01691,-0.01344,-0.01636,0.00377,-0.00340,0.00788,0.01265,-0.03749,-0.03718,-0.02007,-0.03790,0.02272,-0.03585,-0.04265,-0.01261,-0.00890,-0.00196,0.00847,0.00893
2015-12,-0.01764,-0.01047,-0.01628,-0.00158,-0.00132,0.00671,0.01299,-0.03620,-0.03543,-0.01817,-0.03678,0.02203,-0.03430,-0.04288,-0.01647,-0.00734,0.00013,0.00512,0.00952
2016-01,-0.01558,-0.01399,-0.02261,-0.00576,0.00021,0.00584,0.01230,-0.04024,-0.03853,-0.01669,-0.03686,0.02165,-0.03549,-0.04318,-0.01673,-0.00974,-0.00295,0.00645,0.00922
2016-02,-0.01806,-0.01912,-0.01758,-0.00045,0.00131,0.00624,0.01308,-0.03970,-0.04011,-0.01757,-0.03772,0.02340,-0.03567,-0.04433,-0.00963,-0.00844,-0.00091,0.00908,0.00639
2016-03,-0.01882,-0.00320,-0.01978,-0.00592,0.00217,0.00535,0.01460,-0.03694,-0.03613,-0.01315,-0.03785,0.02481,-0.03438,-0.04384,-0.00682,-0.01277,-0.00326,0.00952,0.00770
2016-04,-0.02131,-0.01446,-0.01886,-0.00240,0.00560,0.00655,0.01310,-0.03879,-0.03942,-0.01486,-0.03908,0.02434,-0.03627,-0.04681,-0.00975,-0.01075,-0.00213,0.00406,0.00795
2016-05,-0.02064,-0.01081,-0.00375,-0.00120,0.00416,0.00162,0.01384,-0.03525,-0.03588,-0.01455,-0.03711,0.02427,-0.03378,-0.04221,-0.01096,-0.01006,-0.00114,0.00520,0.00793
2016-06,-0.01646,-0.00211,-0.00538,0.00652,0.00130,0.00480,0.01198,-0.03606,-0.03436,-0.01238,-0.03481,0.02332,-0.03216,-0.04121,-0.00931,-0.01004,-0.00312,0.00325,0.00545
2016-07,-0.68827,0.18339,0.50587,0.38329,0.45042,-0.11950,-0.55124,0.02827,-0.05795,-0.30551,0.12500,-0.40708,-0.07064,0.26969,0.41136,0.82503,1.00703,0.30332,0.41112
2016-08,-0.64065,-0.09737,0.54513,0.38407,0.39019,-0.12764,-0.60605,0.05174,-0.03449,-0.33387,0.35565,-0.32701,-0.06449,0.26175,0.28234,0.93003,1.09243,0.21322,0.47825
2016-09,-0.65122,0.18823,0.54221,0.31560,0.38530,-0.10985,-0.63663,0.02097,-0.05365,-0.30103,0.37255,-0.31550,-0.08151,0.25805,0.26181,0.91971,1.07337,0.20975,0.47208
2016-10,-0.67790,0.21431,0.54600,0.29082,0.38404,-0.12957,-0.61336,0.00712,-0.07046,-0.28856,0.36123,-0.30887,-0.09909,0.24675,0.26511,0.93440,1.10073,0.19938,0.46163
