month,size,st_rev,turnover,vol,bm,mom,roe,ag,ac,noa,nsi,gp,cei,ita,ig,dist,oscore,investment,cbop,dy
2013-07,-1.36287,0.88708,1.22101,0.97214,0.92027,-0.27318,-0.84343,-0.54222,-0.84713,-1.14284,0.13417,-0.67809,-0.97670,-0.15289,0.69418,1.49258,1.62738,-0.35703,-0.04389,1.11868
2013-08,-1.27941,0.56786,1.09724,0.37827,0.90528,-0.47172,-0.96102,-0.92930,-1.08501,-1.18096,-0.11525,-0.60323,-0.91913,-0.61053,0.97646,1.51911,1.58732,-0.84035,-1.37155,0.79339
2013-09,-1.23714,0.84026,1.24090,0.69166,0.84139,-0.55109,-1.01952,-0.82650,-1.08904,-1.32474,-0.13512,-0.67256,-0.95391,-0.60452,0.88596,1.51735,1.61709,-0.73541,-1.31585,0.72299
2013-10,-1.23365,0.92583,1.16885,0.16262,0.78645,-0.47241,-1.10286,-0.88451,-1.00009,-1.34380,0.00080,-0.75081,-0.79552,-0.46977,0.91903,1.46874,1.59402,-0.78833,-1.40228,0.64903
2013-11,-1.29161,0.44788,1.18697,0.03116,0.87996,-0.40144,-0.96981,-0.94159,-1.01439,-1.18333,-0.07950,-0.68314,-0.86097,-0.60700,0.91532,1.38379,1.51482,-0.86544,-1.35610,0.66215
2013-12,-1.32928,0.42907,1.35441,0.02758,0.79089,-0.47656,-0.98070,-0.87600,-1.08623,-1.25487,-0.00333,-0.56314,-0.78044,-0.57646,0.84194,1.38575,1.54203,-0.78723,-1.32817,0.63717
2014-01,-1.04522,0.92680,1.49978,0.40334,0.69468,-0.67218,-1.20539,-1.17928,-1.23082,-1.20873,0.16069,-0.76091,-0.98568,-0.66101,0.97214,1.62006,1.67699,-1.05418,-1.44769,0.49115
2014-02,-1.09167,0.77819,1.68557,0.41130,0.73446,-0.57273,-1.19886,-0.97193,-1.11720,-1.30980,0.16578,-0.79953,-0.84782,-0.55355,0.98242,1.66192,1.72676,-0.86159,-1.45476,0.50891
2014-03,-1.21688,0.88884,1.76296,0.57162,0.90303,-0.58177,-1.21813,-0.98179,-1.11849,-1.29159,0.11810,-0.72059,-0.91325,-0.61964,1.01750,1.61658,1.67616,-0.87979,-1.49332,0.61539
2014-04,-1.11249,-0.49431,1.32335,0.54197,0.81529,-0.52154,-1.09588,-1.03858,-1.21339,-1.19566,0.19796,-0.69874,-0.79623,-0.57917,0.92383,1.39770,1.45259,-0.94562,-1.47660,0.53304
2014-05,-1.20689,0.78421,1.77365,0.55345,0.74853,-0.64883,-1.40921,-1.19266,-1.32347,-1.21236,0.17022,-0.79868,-0.94736,-0.70461,0.94963,1.56840,1.64942,-1.07140,-1.63932,0.51545
2014-06,-1.09214,0.46128,1.81617,0.53709,0.84873,-0.62609,-1.59254,-1.13084,-1.23029,-1.03347,0.20373,-0.81968,-0.88720,-0.70971,1.10971,1.53602,1.55769,-1.06226,-1.68655,0.47889
2014-07,0.20885,-0.34285,-0.12131,-0.30470,-0.62058,-0.31701,-0.27128,-0.45262,-0.43990,-0.02929,0.13097,-0.44868,-0.54009,-0.28277,-0.22441,0.10650,0.10635,-0.43150,0.01030,-0.80887
2014-08,0.34779,-0.23238,0.04858,-0.24165,-0.59991,-0.30285,-0.40482,-0.44521,-0.20931,0.15174,-0.04610,-0.57838,-0.43317,-0.11949,-0.47324,0.18576,0.08756,-0.47032,-0.29856,-0.81044
2014-09,0.31400,-0.28161,-0.02562,-0.20948,-0.56397,-0.25570,-0.35626,-0.47771,-0.25193,0.16699,-0.00878,-0.52871,-0.46797,-0.12432,-0.37007,0.12671,0.08449,-0.49073,-0.09104,-0.69928
2014-10,0.37526,-0.27896,0.00575,-0.12474,-0.49776,-0.22736,-0.31584,-0.40665,-0.19581,0.19259,0.03206,-0.46520,-0.42043,-0.08174,-0.39540,0.05752,-0.02087,-0.42721,-0.06861,-0.70064
2014-11,0.32650,-0.18965,0.02916,-0.13204,-0.50102,-0.20029,-0.34152,-0.38497,-0.18800,0.14447,-0.02086,-0.53757,-0.39416,-0.03280,-0.40745,0.09676,0.04059,-0.39940,-0.10263,-0.69901
2014-12,0.35725,-0.31600,-0.17629,-0.22318,-0.50377,-0.19883,-0.28443,-0.34466,-0.13178,0.22248,-0.03900,-0.42332,-0.37778,-0.01961,-0.42563,0.06191,-0.00127,-0.35498,-0.02432,-0.72269
2015-01,0.31579,-0.33062,-0.17288,-0.28347,-0.53140,-0.13762,-0.30499,-0.35086,-0.12326,0.17176,-0.02733,-0.47481,-0.36001,-0.01501,-0.43156,0.09228,0.04633,-0.36719,-0.01680,-0.75752
2015-02,0.30970,-0.14807,-0.07315,-0.18245,-0.53506,-0.11528,-0.34222,-0.38625,-0.19332,0.21398,-0.08917,-0.49059,-0.36145,-0.10807,-0.43131,0.10957,0.05495,-0.40606,-0.10735,-0.72523
2015-03,0.37885,-0.06358,-0.15132,-0.23099,-0.58227,-0.14036,-0.36998,-0.38418,-0.21118,0.17842,-0.05485,-0.47405,-0.36941,-0.12955,-0.44453,0.06938,-0.00954,-0.39180,-0.09941,-0.77903
2015-04,0.33582,-0.30174,-0.31687,-0.34150,-0.60163,-0.11330,-0.30354,-0.34813,-0.14818,0.25480,-0.06273,-0.40345,-0.29581,-0.07174,-0.44941,-0.00437,-0.07807,-0.35486,-0.06352,-0.77763
2015-05,0.34201,-0.18160,-0.31149,-0.26876,-0.65073,-0.11459,-0.33464,-0.37396,-0.21480,0.18116,-0.06803,-0.37724,-0.32460,-0.07265,-0.44158,0.02842,-0.02205,-0.39844,-0.05669,-0.82278
2015-06,0.34829,-0.10653,-0.25366,-0.21961,-0.59888,-0.12352,-0.41189,-0.41339,-0.26157,0.19050,-0.08465,-0.42412,-0.37535,-0.13951,-0.46464,0.06868,-0.00218,-0.43146,-0.07289,-0.78105
2015-07,-0.02158,-0.00835,0.01479,-0.01413,0.00835,-0.00336,0.01502,-0.00567,0.00054,-0.00426,0.01767,0.01316,-0.00703,0.02167,-0.00240,0.00334,0.01402,-0.00544,0.01545,0.01955
2015-08,-0.02243,0.00121,0.00980,-0.00401,0.00376,-0.00167,0.00975,0.01876,0.02036,0.00079,0.02958,0.01551,0.02205,0.03149,-0.01297,0.00265,0.01198,0.01923,0.01977,0.02273
2015-09,-0.02063,-0.01392,0.01023,-0.00718,0.00451,-0.00141,0.01329,0.02037,0.02118,0.00129,0.03026,0.01688,0.02264,0.03264,-0.00475,0.00076,0.00997,0.02130,0.02117,0.02224
2015-10,-0.02107,0.01055,0.01391,-0.00075,0.00155,0.00065,0.01281,0.01776,0.01758,-0.00261,0.02635,0.01683,0.01850,0.02860,-0.00466,0.00313,0.01278,0.01746,0.02151,0.02060
2015-11,-0.02056,0.00334,0.01399,-0.00282,0.00053,-0.00030,0.00981,0.02031,0.01959,-0.00234,0.02811,0.01481,0.02152,0.03207,-0.00505,0.00153,0.01177,0.02022,0.01960,0.01676
2015-12,-0.02215,-0.00737,0.00988,-0.00142,0.00288,0.00027,0.00762,0.02034,0.02097,-0.00142,0.02907,0.01427,0.02070,0.02996,-0.00526,0.00442,0.01532,0.02035,0.01795,0.01768
