month,mom,ag,ac,noa,nsi,gp,cei,ita,ig,dist,oscore
2013-07,-0.17822,-0.56703,-1.36120,-1.80356,-0.42999,-1.48984,-1.06201,-0.06954,0.50343,1.77313,1.75725
2013-08,-0.58984,-0.85122,-1.23674,-1.29081,-0.21002,-1.30065,-1.04604,0.07861,0.67283,1.54052,1.47581
2013-09,-0.60774,-0.89708,-1.28096,-1.37016,-0.21193,-1.32188,-1.11453,0.04512,0.67768,1.56862,1.52087
2013-10,-0.56997,-0.87867,-1.23706,-1.41972,-0.21716,-1.32196,-1.10366,0.06785,0.67943,1.56243,1.53273
2013-11,-0.57060,-0.89167,-1.24015,-1.43425,-0.21619,-1.32697,-1.11461,0.06574,0.68756,1.57082,1.54708
2013-12,-0.61177,-0.90360,-1.25204,-1.31244,-0.20659,-1.31331,-1.11179,0.06296,0.67822,1.57551,1.54422
2014-01,-0.61026,-0.91023,-1.26171,-1.31346,-0.20950,-1.30616,-1.11005,0.05767,0.67881,1.58143,1.53979
2014-02,-0.61022,-0.91889,-1.27473,-1.34738,-0.21854,-1.35116,-1.12617,0.05568,0.69161,1.61377,1.56080
2014-03,-0.62287,-0.93608,-1.29424,-1.35515,-0.22138,-1.37334,-1.13607,0.04566,0.69123,1.62201,1.57370
2014-04,-0.61422,-0.93728,-1.29637,-1.34349,-0.21141,-1.35257,-1.12565,0.04485,0.70292,1.63933,1.57529
2014-05,-0.61526,-0.95213,-1.29345,-1.34501,-0.20737,-1.37970,-1.15160,0.03986,0.70039,1.69102,1.61180
2014-06,-0.56948,-0.93542,-1.19985,-1.12715,-0.16330,-1.30856,-1.02602,-0.03999,0.71767,1.53622,1.45271
2014-07,-0.12979,0.05515,0.07705,0.20034,-0.27118,0.31096,0.04021,-0.01009,-0.50103,-0.35009,-0.27545
2014-08,-0.21439,-0.09754,0.14775,0.32186,-0.27271,0.30018,0.05818,0.25769,-0.39566,-0.44159,-0.44389
