window,alpha
0,-0.01754440
0,-0.08680987
0,-0.04982113
0,-0.07833111
0,-0.01306949
0,0.04730130
0,-0.01771142
0,-0.01402202
0,-0.03363779
0,-0.04961099
0,0.00702463
0,-0.11594131
0,-0.05757244
0,-0.05711870
0,-0.02219659
0,-0.05283434
0,-0.08911108
0,-0.03663464
0,-0.00307153
0,-0.08222204
0,-0.05184293
0,-0.06371678
0,-0.01654401
0,-0.03144854
0,0.00683966
0,-0.01724539
0,-0.00886589
0,-0.04453781
0,-0.01497588
0,0.06215524
0,0.00038710
0,-0.01758009
0,0.10863703
0,-0.03162574
0,-0.06712729
0,-0.03374565
0,-0.00319803
0,-0.03751097
0,-0.02751119
0,0.00279149
0,-0.02814428
0,-0.05846059
0,-0.02860752
0,0.01794755
0,0.05636077
0,0.05480115
0,-0.03051873
0,-0.00128652
0,-0.04964624
0,0.07130877
0,-0.03561545
0,-0.04529075
0,-0.00440532
0,-0.08787298
0,-0.13291271
0,-0.07887857
0,0.04039125
0,-0.03575342
0,-0.02636923
0,-0.06762026
0,-0.04457206
0,-0.01846519
0,-0.04973592
0,-0.06961561
0,-0.06252776
0,-0.03238326
0,0.05063915
0,-0.02963585
0,-0.02720619
0,-0.04658518
0,-0.04501349
0,-0.03330328
0,-0.02235852
0,-0.01431034
0,-0.00919929
0,-0.00014040
0,-0.01498996
0,-0.02643953
0,-0.02095962
0,-0.06023636
0,-0.04102902
0,-0.00516034
0,-0.00027619
0,-0.01279707
0,-0.03657428
0,-0.00033251
0,0.01001599
0,-0.09385567
0,0.01202971
0,-0.06462466
0,0.00892935
0,-0.04160076
0,-0.05732875
0,-0.04790356
0,-0.09601837
0,-0.02805060
0,-0.03274267
0,-0.01246289
0,-0.04106218
0,-0.06841335
0,-0.05720972
0,-0.10301225
0,-0.02336339
0,0.06074001
0,0.01481406
0,-0.10712745
0,-0.07805613
0,-0.07922420
0,-0.09033690
0,-0.07066614
0,-0.05836841
0,-0.04409783
0,0.00618112
0,0.02497921
0,-0.02196132
0,-0.02342538
0,0.00535823
0,-0.08643704
0,-0.08253542
0,0.01647388
0,0.04010979
0,-0.01346505
0,-0.03553126
0,-0.02521950
0,0.02577564
0,-0.09762800
0,-0.01736932
0,-0.04459476
0,-0.06687672
0,-0.05615463
0,-0.07002784
0,-0.02364109
0,-0.06214764
0,0.00300797
0,-0.06421188
0,-0.02550188
0,-0.00377964
0,-0.05935693
0,-0.04162144
0,-0.00402603
0,-0.04073790
0,-0.00970395
0,-0.08450211
0,0.00298970
0,0.05266299
0,0.01430384
0,-0.00491895
0,-0.06050090
0,0.01593486
0,0.01399056
0,-0.03433354
0,0.00057782
0,-0.06155754
0,-0.09794801
0,-0.11220094
0,-0.05673939
0,-0.00244836
0,0.01232224
0,-0.01426613
0,-0.08824354
0,0.03595863
0,-0.01073845
0,0.01474562
0,-0.03775463
0,0.00959585
0,-0.03886113
0,-0.06449011
0,-0.08551951
0,-0.06603201
0,-0.05028255
0,-0.03830620
0,-0.03130433
0,-0.01652708
1,0.01672693
1,-0.01965319
1,0.02837302
1,0.02729493
1,0.00079165
1,0.04119528
1,-0.01664212
1,-0.05372638
1,-0.02906317
1,-0.02401161
1,0.02376644
1,0.04814401
1,0.07468855
1,-0.03521032
1,-0.00893514
1,-0.01621960
1,-0.00415376
1,0.03869873
1,0.00125000
1,-0.02342528
1,-0.00687264
1,0.08033856
1,0.05889307
1,0.02930648
1,0.00026427
1,0.08855551
1,0.01569513
1,-0.01327514
1,-0.00282297
1,-0.01820619
1,0.02568978
1,-0.00352092
1,0.00762355
1,-0.02245500
1,0.01756498
1,-0.00080344
1,0.00195599
1,-0.00158635
1,0.04555691
1,0.04966776
1,0.01096125
1,-0.02514140
1,0.04076378
1,0.02181248
1,0.02351251
1,-0.00895607
1,0.02698348
1,0.00976621
1,0.01147671
1,-0.00064944
1,-0.00675873
1,-0.02997689
1,-0.00583140
1,-0.01500089
1,-0.04250580
1,-0.03334798
1,0.01214573
1,0.03258269
1,0.01784389
1,0.00920247
1,0.01387433
1,-0.04765048
1,0.00011989
1,-0.04359462
1,-0.02456712
1,-0.02263893
1,-0.03392674
1,-0.05070387
1,-0.02535319
1,-0.03571883
1,-0.06012257
1,-0.06146420
1,-0.08830892
1,-0.04103872
1,-0.00686232
1,-0.05826000
1,-0.01285629
1,-0.00663033
1,-0.02673652
1,-0.01603966
1,-0.02663030
1,-0.06535600
1,-0.07090007
1,-0.07887357
1,0.01659417
1,-0.02690603
1,-0.02588617
1,0.00438378
1,0.01193364
1,-0.00583062
1,-0.02720563
1,-0.05162374
1,0.00405855
1,-0.02714979
1,-0.05474901
1,-0.03389858
1,-0.00969164
1,-0.03805796
1,0.02057963
1,0.01745237
1,-0.01691921
1,-0.01275748
1,-0.02828834
1,-0.00030513
1,0.04033842
1,-0.05763938
1,0.00659950
1,-0.03789421
1,0.07221433
1,-0.02714230
1,-0.03790409
1,-0.01268057
1,0.01196032
1,0.02235094
1,-0.02502321
1,0.00171973
1,-0.00517432
1,-0.00896863
1,-0.03285408
1,0.01484733
1,0.01269291
1,0.03404022
1,0.01175338
1,0.01664168
1,-0.04810597
1,0.01466745
1,0.00798859
1,-0.01478469
1,-0.01471600
1,-0.02838478
1,-0.05765887
1,-0.07934286
1,-0.04673919
1,-0.05741480
1,-0.01583689
1,0.00980343
1,-0.04833395
1,-0.03083591
1,-0.03945716
1,-0.03048078
1,-0.02330546
1,-0.08141619
1,-0.03640928
1,-0.07545815
1,-0.08031170
1,-0.02818109
