model,oos_return
LASSO-lagged,0.177705
LASSO-lagged,0.048845
LASSO-lagged,0.050401
LASSO-lagged,0.057945
LASSO-lagged,0.174068
LASSO-lagged,0.187858
LASSO-lagged,-0.092878
LASSO-lagged,-0.068012
LASSO-lagged,0.001129
LASSO-lagged,-0.042174
LASSO-lagged,-0.026534
LASSO-lagged,-0.076544
LASSO-lagged,0.049213
LASSO-lagged,0.000996
LASSO-lagged,0.026053
LASSO-lagged,0.047414
LASSO-lagged,0.013004
LASSO-lagged,-0.064828
LASSO-lagged,-0.097206
LASSO-lagged,-0.023864
LASSO-lagged,0.003040
LASSO-lagged,-0.013264
LASSO-lagged,-0.031702
LASSO-lagged,-0.015523
LASSO-lagged,0.013607
LASSO-lagged,-0.047781
LASSO-lagged,-0.039039
LASSO-lagged,-0.008165
LASSO-lagged,0.000019
LASSO-lagged,-0.024022
LASSO-lagged,0.159544
LASSO-lagged,0.101400
LASSO-lagged,0.020632
LASSO-lagged,0.002478
LASSO-lagged,-0.003128
LASSO-lagged,-0.014504
LASSO-lagged,0.017404
LASSO-lagged,0.009713
LASSO-lagged,0.046710
LASSO-lagged,0.047565
LASSO-lagged,0.029707
LASSO-lagged,-0.042235
LASSO-lagged,0.010944
LASSO-lagged,-0.003597
LASSO-lagged,0.005560
LASSO-lagged,0.097998
LASSO-lagged,-0.014041
LASSO-lagged,-0.031148
LASSO-lagged,0.039238
LASSO-lagged,-0.017785
LASSO-lagged,-0.016574
LASSO-lagged,-0.045077
LASSO-lagged,-0.008253
LASSO-lagged,-0.047794
LASSO-lagged,0.003744
LASSO-lagged,-0.009657
LASSO-lagged,-0.022092
LASSO-lagged,-0.055804
LASSO-lagged,0.030809
LASSO-lagged,0.078896
LASSO-lagged,-0.003104
LASSO-lagged,0.121849
LASSO-lagged,0.602428
LASSO-lagged,-0.185512
LASSO-lagged,-0.041479
LASSO-lagged,0.009794
LASSO-lagged,0.080389
LASSO-lagged,0.011952
LASSO-lagged,0.168393
LASSO-lagged,0.245191
LASSO-lagged,0.177033
LASSO-lagged,0.122944
LASSO-lagged,0.028833
LASSO-lagged,0.271548
LASSO-lagged,0.220270
LASSO-lagged,-0.151183
LASSO-lagged,0.113478
LASSO-lagged,0.255946
LASSO-lagged,0.144023
LASSO-lagged,0.186085
LASSO-lagged,0.114287
LASSO-lagged,0.383616
LASSO-lagged,0.055761
LASSO-lagged,0.360255
LASSO-lagged,0.053883
LASSO-lagged,-0.126547
LASSO-lagged,-0.156502
LASSO-lagged,-0.070619
LASSO-lagged,0.086001
LASSO-lagged,0.092711
LASSO-lagged,-0.080973
LASSO-lagged,-0.020298
LASSO-lagged,-0.008375
LASSO-lagged,-0.061170
LASSO-lagged,-0.148091
LASSO-lagged,-0.028576
LASSO-lagged,0.026057
LASSO-lagged,0.070614
LASSO-lagged,-0.081069
LASSO-lagged,-0.192214
LASSO-lagged,-0.009120
LASSO-lagged,-0.072302
LASSO-lagged,-0.150357
LASSO-lagged,-0.018254
LASSO-lagged,0.077591
LASSO-lagged,0.143329
LASSO-lagged,0.012680
LASSO-lagged,-0.042636
LASSO-lagged,-0.124744
LASSO-lagged,0.060572
LASSO-lagged,-0.076204
LASSO-lagged,-0.114932
LASSO-lagged,0.126114
LASSO-lagged,0.116777
LASSO-lagged,0.006392
LASSO-lagged,0.081615
LASSO-lagged,0.116107
LASSO-lagged,0.312717
LASSO-lagged,-0.085743
LASSO-lagged,-0.050400
LASSO-lagged,-0.089813
LASSO-lagged,-0.011922
LASSO-lagged,-0.018610
LASSO-lagged,-0.094443
LASSO-lagged,0.066595
LASSO-lagged,0.026909
LASSO-lagged,-0.074699
LASSO-lagged,-0.062391
LASSO-lagged,0.003006
LASSO-lagged,-0.051123
LASSO-lagged,-0.116457
LASSO-lagged,-0.046373
LASSO-lagged,-0.041184
LASSO-lagged,-0.029761
LASSO-lagged,0.055086
LASSO-lagged,-0.075004
LASSO-lagged,0.128213
LASSO-lagged,0.075729
LASSO-lagged,0.009938
LASSO-lagged,-0.070579
LASSO-lagged,-0.118954
LASSO-lagged,0.126091
LASSO-lagged,-0.010601
LASSO-lagged,-0.127676
