window,alpha
0,0.03198263
0,-0.06892831
0,-0.16260636
0,0.07487970
0,0.18144281
0,0.16763608
0,0.10277013
0,0.27853346
0,0.13714292
0,0.07509227
0,-0.03056799
0,0.14906554
0,0.03689252
0,0.07245438
0,-0.03569897
0,0.00157260
0,-0.00538725
0,0.06668865
0,0.21661419
0,0.03045608
0,-0.03256149
0,0.05804529
0,0.03063439
0,0.20193042
0,-0.22156625
0,0.12607438
0,-0.04666967
0,0.21903472
0,-0.00506248
0,-0.03739199
0,-0.05089647
0,0.05624798
0,-0.09937874
0,0.18546496
0,0.07027452
0,-0.20542285
0,0.00252077
0,0.14715053
0,0.13275704
0,0.19178871
0,-0.06065196
0,-0.02918223
0,0.04224089
0,0.05603333
0,0.09467624
0,0.28770841
0,0.04016275
0,-0.04898807
0,0.03800053
0,0.03639669
0,-0.04413695
0,0.01137659
0,-0.03676958
0,-0.04028133
0,0.00296094
0,-0.06064293
0,-0.06025574
0,-0.00385285
0,0.07913112
0,0.02504254
0,0.13753296
0,-0.09111144
0,-0.07454998
0,0.10659146
0,0.01427982
0,-0.05234342
0,0.14572237
0,-0.01860675
0,-0.08066446
0,-0.00210270
0,-0.15842030
0,-0.13392375
0,-0.12890421
0,0.03225224
0,0.11880734
0,0.04677317
0,-0.00154901
0,-0.00597440
0,0.00373071
0,0.00120818
0,-0.04314130
0,-0.06972090
0,-0.02346105
0,0.06538192
0,0.00468433
0,-0.02527421
0,-0.01220069
0,-0.12975434
0,-0.03950732
0,0.09182503
0,0.02496938
0,-0.04915070
0,0.04926597
0,-0.11614081
0,-0.00335235
0,0.00441078
0,0.06364118
0,-0.01660077
0,0.03615096
0,-0.00248859
0,-0.02045666
0,-0.01503915
0,0.03909966
0,-0.02096886
0,0.03385939
0,0.08238429
0,0.01047385
0,0.09721178
0,-0.03812395
0,0.01804099
0,0.15422394
0,0.23325462
0,-0.02587069
0,-0.08044829
0,-0.08140559
0,0.02612587
0,0.10324787
0,0.03499434
0,-0.06238593
0,-0.02107477
0,0.03178691
0,-0.02568607
0,-0.00836686
0,-0.04748913
0,0.24115533
0,0.04386413
0,-0.01011398
0,-0.00884566
0,0.06572308
0,0.27352987
0,0.08122060
0,0.04671335
0,0.06994046
0,0.00478060
0,0.02350150
0,0.02685480
0,0.07051295
0,0.02124888
0,0.07868344
0,0.05755273
0,0.06697972
0,0.07879326
0,0.20724748
0,0.04906006
0,0.03779868
0,-0.12451163
0,0.08767472
0,0.07849814
0,0.02545103
0,0.05959579
0,0.01677046
0,0.04501477
0,0.04023523
0,-0.08478477
0,0.05373222
0,0.04247905
0,0.04430901
0,0.05858457
0,-0.01149493
0,0.05121879
0,0.00893123
0,0.00280895
0,-0.04050110
0,-0.00000633
0,0.06598490
0,0.13452280
0,0.03057369
0,0.19786730
0,0.05370456
0,0.17016660
0,0.06003139
0,0.12296987
0,-0.04214173
0,0.18858247
0,0.00251382
0,0.25157179
0,0.18448365
0,0.19668317
0,-0.05026160
0,0.02053209
0,0.02164206
0,-0.09042335
0,-0.04828087
0,-0.02084467
0,-0.03620736
0,0.01979050
0,0.01225962
0,0.09037950
0,0.01828242
0,0.00459805
0,-0.02492940
0,-0.07801659
0,-0.03981216
0,0.04603397
0,-0.07015476
0,-0.04324584
0,-0.02943554
0,-0.12377114
0,-0.02165076
0,0.02521152
0,0.05551203
0,-0.02221023
0,-0.08730038
0,0.07591535
0,0.02154996
0,0.12514510
0,0.00023239
0,-0.19047048
0,0.14045185
0,-0.14772813
0,-0.00699247
0,-0.01589594
0,-0.08045127
0,0.08936174
0,0.01551719
0,-0.00411699
0,0.07659040
0,0.25931439
0,0.02970075
0,0.04069026
0,0.00028652
0,0.00251038
0,0.04267155
0,0.39847239
0,-0.22906858
0,-0.11979662
0,-0.03283138
0,0.03306632
0,-0.23812564
0,-0.03344346
0,-0.05953134
0,-0.00557399
0,-0.07828169
1,0.00896754
1,-0.01436224
1,0.03390146
1,-0.00070551
1,0.00521820
1,0.02515576
1,-0.00484220
1,-0.06531368
1,-0.00463669
1,-0.01386600
1,0.01414766
1,-0.01186029
1,0.03825049
1,0.01647106
