model,sharpe,ev,rms_alpha_pct,max_alpha_pct,note
Market,0.33756227567828334,0.342564321099195,5.775093189454067,31.19414830976877,benchmark
FF5,0.47351128668425746,0.322618566030623,6.072418067377152,29.679771042987568,benchmark
q-factor,0.8881946909938039,0.2731449574429097,7.085840829743955,41.586208226827175,benchmark
PCA(5),0.41944964184378736,0.4170473480112633,5.829078623153789,27.220575868410645,benchmark
LASSO,0.6319006553938018,0.422511234743273,7.298953705252275,53.757518810183804,benchmark
Linear SDF (11ch),1.0711,0.1503,8.5392,43.0612,"linear SDF (common, omega=theta'x)"
Linear SDF (20ch),1.3098,0.1794,9.5807,44.1744,"linear SDF (common, omega=theta'x)"
E2,0.0160,0.4252,6.1126,32.5601,11ch LSTM (cpz common SDF)
E3,0.4792,0.4246,5.7667,29.1323,20ch LSTM (cpz common SDF)
E4A,0.1822,0.4229,6.0441,31.9615,20ch const (cpz common SDF)
E4B,0.1865,0.4159,6.0331,31.2468,11ch const (cpz common SDF)
E5A,-0.0221,0.4227,6.0121,31.5366,11ch LSTM critic (cpz common SDF)
E5B,0.0349,0.4062,6.1080,31.6480,20ch LSTM critic (cpz common SDF)
E8,0.6078,0.4233,6.0756,31.6597,11ch LSTM liq-filter (cpz common SDF)
E8B,0.7861,0.4109,5.5915,28.3066,20ch LSTM liq-filter (cpz common SDF)
E2-CS,0.6216,0.4251,7.6042,86.8361,11ch LSTM (characteristic-score SDF)
E3-CS,0.5836,0.4254,7.5376,72.0566,20ch LSTM (characteristic-score SDF)
