model,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,full
Market,0.5288,-0.5435,0.2945,0.6403,0.9352,1.6994,2.6983,-1.3156,-0.6318,0.2396,-2.1262,-0.2788,0.3376
FF5,1.6264,-0.6654,1.2171,1.2069,-1.3709,1.4019,4.0347,-2.1241,-0.2495,0.6986,-1.6554,-0.6255,0.4735
q-factor,2.1501,0.4275,1.4978,1.7285,-0.1414,1.9835,1.8383,-2.2637,0.9829,1.2271,-0.9405,0.2610,0.8882
PCA(5),0.8970,-1.3638,0.6610,1.4031,-0.4555,1.8281,3.7949,-1.8069,-0.9086,0.7555,-2.7205,-0.2212,0.4194
LASSO,1.1591,-0.7501,0.8169,1.3844,-0.5398,2.0393,4.0049,-1.6605,-0.7403,0.8577,-2.6201,-0.2708,0.6319
E2,1.2332,-0.5463,1.1168,1.3499,-0.6990,-2.0683,3.9348,-1.7212,0.6211,-0.9075,-2.6458,-0.2011,0.0160
E3,1.2633,-0.2696,-0.6697,1.4282,-0.5767,2.0909,3.9908,-1.6037,-0.6477,-0.8151,-2.6133,-0.3071,0.4792
E4B,1.2312,-0.6130,0.9797,1.3966,-0.6427,-2.3353,3.9478,-1.7510,-0.5768,-0.8859,-2.5121,0.3686,0.1865
E5A,1.1498,-0.6942,0.9815,1.5063,-0.3709,-2.0597,4.0180,-1.7671,-1.1361,-0.8605,-2.6329,-0.3076,-0.0221
E8,1.1720,-0.5166,0.3569,1.2975,-0.4978,2.0816,3.9715,-1.8101,-0.6780,0.8144,-2.4745,-0.1968,0.6078
E8B,1.2201,-0.5280,0.9835,1.3010,-0.5563,2.0475,4.0224,-1.6321,-0.2743,0.9537,-2.4613,1.1723,0.7861
