window,alpha
0,-0.01830993
0,-0.09022603
0,-0.04800775
0,-0.07816741
0,-0.01152239
0,0.04871321
0,-0.02199637
0,-0.02177643
0,-0.03688991
0,-0.05104327
0,0.00964185
0,-0.12214953
0,-0.06283055
0,-0.06270086
0,-0.01949557
0,-0.06269693
0,-0.09702268
0,-0.05284566
0,-0.00703345
0,-0.08623335
0,-0.04874402
0,0.03938980
0,-0.06651164
0,-0.08042073
0,-0.01607126
0,-0.04441127
0,0.00754049
0,-0.01074458
0,-0.01339030
0,-0.05354425
0,-0.01924725
0,0.06176207
0,0.00225405
0,-0.01476950
0,0.10977129
0,-0.03795785
0,-0.07648793
0,-0.04001724
0,0.00050418
0,-0.04224848
0,-0.02924231
0,-0.00170077
0,-0.03251374
0,-0.05998852
0,-0.02940944
0,0.01999064
0,0.05759867
0,0.06329199
0,-0.03580329
0,-0.00235959
0,-0.05588941
0,0.07382218
0,-0.03753487
0,-0.04991453
0,-0.00806472
0,-0.09587749
0,-0.13990241
0,-0.08681387
0,0.03981442
0,-0.03499768
0,-0.02849369
0,-0.07001090
0,-0.02696612
0,-0.04541004
0,-0.02053638
0,-0.05028265
0,-0.07578865
0,-0.06693398
0,-0.02714391
0,0.04994396
0,-0.03449850
0,-0.02781774
0,-0.05445793
0,-0.04904280
0,0.00149311
0,-0.03166755
0,-0.02146615
0,-0.01535035
0,-0.01535953
0,-0.00014005
0,-0.01806224
0,-0.02718207
0,-0.02305062
0,-0.06376459
0,-0.04446847
0,-0.00805756
0,-0.00408871
0,-0.01236134
0,-0.03634246
0,-0.00003695
0,0.01007583
0,-0.09284219
0,0.01171771
0,-0.07523620
0,0.00934547
0,-0.04615918
0,-0.06103826
0,-0.04762974
0,-0.09594763
0,-0.03040837
0,-0.03305097
0,-0.03962901
0,-0.06748014
0,-0.06377357
0,-0.10311175
0,-0.02035299
0,0.06188043
0,0.01559619
0,-0.10760514
0,-0.08057212
0,-0.08223049
0,-0.08954009
0,-0.07150966
0,-0.05832066
0,0.00889110
0,0.02653613
0,-0.01812399
0,0.00385299
0,-0.08690268
0,-0.08882377
0,0.01552415
0,0.04100053
0,-0.01460062
0,-0.03062905
0,-0.02568447
0,0.02632187
0,-0.10101610
0,-0.02112613
0,-0.04277507
0,-0.07100279
0,0.05245460
0,-0.05745661
0,-0.06503816
0,-0.02281053
0,-0.06610041
0,0.00330999
0,-0.02562692
0,-0.00906949
0,-0.00225835
0,-0.04164088
0,-0.08574381
0,0.00755844
0,0.04914479
0,0.01563034
0,-0.00407057
0,-0.06234351
0,0.01358086
0,0.00721797
0,0.00174532
0,-0.05948809
0,-0.10566559
0,-0.00478429
0,-0.12032760
0,-0.06509649
0,-0.00650104
0,-0.00534534
0,-0.04877652
0,-0.09109336
0,0.02684657
0,-0.01225843
0,0.01901098
0,-0.03878991
0,0.01127186
0,-0.04095646
0,-0.06483937
0,-0.08663294
0,-0.07914826
0,-0.05036416
0,-0.04193134
0,-0.05530916
0,-0.03043435
0,-0.01635004
1,0.01513827
1,-0.01964773
1,0.02821432
1,0.02669149
1,0.00059242
1,0.04121702
1,-0.01654604
1,-0.05375431
1,-0.02820300
1,-0.02418317
1,0.02313423
1,0.04782857
1,0.07359920
1,-0.03582148
1,-0.00912227
1,-0.01655777
1,-0.00456818
1,0.03836668
1,-0.00017098
1,-0.02340121
1,-0.00650190
1,0.08002928
1,0.05923472
1,0.02908759
1,-0.00038641
1,0.01912971
1,0.08810227
1,0.01545231
1,-0.01323348
1,-0.00294029
1,-0.01767169
1,0.02542338
1,-0.00392805
1,0.00744524
1,-0.02298841
1,0.01711579
1,-0.00081939
1,0.00188043
1,-0.03505265
1,-0.00210715
1,0.04569701
1,0.04978541
1,0.01072087
1,-0.02479013
1,0.04038317
1,0.02181480
1,0.02318063
1,-0.00890409
1,0.02707739
1,0.00995693
1,0.01153944
1,-0.00064355
1,-0.00682623
1,-0.01017229
1,-0.03007326
1,-0.00570830
1,-0.01516290
1,-0.04256497
1,-0.03410966
1,0.01196664
1,0.03194132
1,0.01746438
1,0.00863589
1,0.01368993
1,-0.04783300
1,0.00003373
1,-0.04384159
1,0.02749717
1,-0.02498016
1,-0.02264582
1,-0.03452811
1,-0.05110763
1,-0.02599603
1,-0.03647704
1,-0.03220903
1,-0.06079937
1,-0.06177334
1,-0.08852416
1,-0.04128182
1,0.00426623
1,-0.00687614
1,-0.05865569
1,-0.01314558
1,-0.00706792
1,-0.02652240
1,-0.01596276
1,-0.02682497
1,-0.06552488
1,-0.07140725
1,-0.07894469
1,0.01672441
1,-0.02681931
1,-0.02586149
1,0.00444926
1,0.01193692
1,-0.00581694
1,-0.02694267
1,-0.05147456
1,0.00431142
1,-0.02724257
1,-0.05397030
1,-0.03472995
1,-0.01011781
1,-0.03836964
1,0.02086341
1,0.01809862
1,-0.01709872
1,-0.01327604
1,-0.02827201
1,-0.00046842
1,0.03949619
1,-0.05785049
1,0.00601677
1,-0.03803396
1,0.07159349
1,-0.02732458
1,-0.03816904
1,-0.01174306
1,0.01162358
1,0.02192003
1,-0.02507392
1,-0.00519863
1,-0.00905587
1,-0.03310989
1,0.01470012
1,0.01248439
1,0.03369413
1,0.01642234
1,-0.04780449
1,0.01365255
1,0.00801241
1,-0.01490466
1,-0.01484008
1,-0.02833234
1,-0.05766113
1,-0.07971342
1,-0.04664392
1,-0.05780341
1,-0.01574892
1,0.00976909
1,-0.04823321
1,-0.03121159
1,-0.03956181
1,-0.03072445
1,-0.03626863
1,-0.10293301
1,-0.06144733
1,-0.04932306
1,-0.01446493
1,0.00490618
1,-0.05371865
1,0.01552708
1,-0.01237663
1,0.00139226
1,-0.01434925
1,-0.00753683
1,-0.02655509
1,0.01675805
1,-0.02168798
