window,L_plus,L_minus,rel_gap
0,2.13666615e-04,7.73913634e-04,2.622062
1,4.74294706e-04,1.91034714e-03,3.027764
2,1.01136474e-03,1.10308710e-03,0.090692
3,2.33566927e-04,2.68448866e-03,10.493445
4,2.25727796e-04,3.15330876e-03,12.969519
5,4.24837810e-04,3.84935382e-04,0.103660
6,1.96057736e-04,2.77745741e-04,0.416653
7,2.94425263e-04,4.98875463e-03,15.944044
8,5.52706327e-03,5.09194052e-03,0.085453
9,3.46551067e-03,3.32502625e-03,0.042251
10,4.48010629e-04,1.15090385e-02,24.689209
11,1.56806875e-03,1.33489922e-03,0.174672
