window,alpha
0,-0.01947240
0,-0.09063528
0,-0.05163325
0,-0.08483414
0,-0.01438869
0,0.04770027
0,-0.02584159
0,-0.02611883
0,-0.03866787
0,-0.05388259
0,0.00477369
0,-0.12614866
0,-0.06452071
0,-0.06615088
0,-0.02530828
0,-0.06736930
0,-0.10380006
0,-0.05269876
0,-0.01109352
0,-0.08947340
0,-0.05662652
0,0.03878422
0,-0.06837592
0,-0.08705345
0,-0.01771899
0,-0.04501054
0,0.00776919
0,-0.01656148
0,-0.01556368
0,-0.05823176
0,-0.02180128
0,0.06253859
0,-0.00026300
0,-0.02509927
0,0.11350370
0,-0.03694519
0,-0.07981539
0,-0.04310724
0,-0.00316595
0,-0.04497041
0,-0.03217725
0,-0.00626498
0,-0.03301432
0,-0.06557115
0,-0.03167231
0,0.01749333
0,0.05906317
0,0.06063779
0,-0.03729845
0,-0.00297269
0,-0.05988408
0,0.07262615
0,-0.03978501
0,-0.05161865
0,-0.01085436
0,-0.09990229
0,-0.14646947
0,-0.09012639
0,0.03990650
0,-0.04152404
0,-0.03210359
0,-0.07219445
0,-0.02836238
0,-0.04809284
0,-0.02188356
0,-0.05268672
0,-0.07740232
0,-0.06919494
0,-0.03191004
0,0.05181703
0,-0.03534110
0,-0.02946393
0,-0.05530369
0,-0.05013392
0,-0.00259426
0,-0.03433223
0,-0.02269085
0,-0.01652597
0,-0.01537507
0,-0.00136680
0,-0.01792367
0,-0.02872668
0,-0.02425389
0,-0.06547168
0,-0.04577582
0,-0.00895096
0,-0.00501787
0,-0.01530382
0,-0.03818050
0,-0.00195713
0,0.00858256
0,-0.09763949
0,0.00757174
0,-0.08320718
0,0.00746898
0,-0.04841347
0,-0.06394731
0,-0.05058070
0,-0.09940833
0,-0.03198559
0,-0.03631120
0,-0.04136375
0,-0.07019336
0,-0.06985892
0,-0.10712299
0,-0.02198707
0,0.06254550
0,0.01380314
0,-0.11610600
0,-0.08518241
0,-0.08497018
0,-0.09412157
0,-0.07638064
0,-0.06286748
0,0.00691597
0,0.02507714
0,-0.02296322
0,0.00262273
0,-0.08999833
0,-0.09057182
0,0.01028566
0,0.04161386
0,-0.01562892
0,-0.03539254
0,-0.02635876
0,0.02645223
0,-0.10544822
0,-0.02206397
0,-0.04494499
0,-0.07334203
0,0.04992346
0,-0.06084619
