window,L_plus,L_minus,rel_gap
0,2.12473024e-04,7.75780005e-04,2.651193
1,4.64196783e-04,1.94034027e-03,3.179995
2,1.02489907e-03,1.08888163e-03,0.062428
3,2.32114224e-04,2.67472863e-03,10.523329
4,2.24899195e-04,3.15870205e-03,13.044968
5,3.85074003e-04,4.24692116e-04,0.102884
6,1.95735091e-04,2.85905058e-04,0.460673
7,2.92379118e-04,5.02342498e-03,16.181203
8,5.28046442e-03,5.33389766e-03,0.010119
9,3.30578466e-03,3.48528475e-03,0.054299
10,4.72161686e-04,1.23399831e-02,25.135079
11,1.55418145e-03,1.34741294e-03,0.153456
