window,alpha
0,-0.02117919
0,-0.09283292
0,-0.05580266
0,-0.08945183
0,-0.01469387
0,0.04713433
0,-0.03285179
0,-0.03563775
0,-0.05707449
0,0.00818759
0,-0.12635888
0,-0.06635128
0,-0.02501956
0,-0.07023374
0,-0.10591636
0,-0.05887512
0,-0.01911535
0,-0.09213978
0,-0.06257734
0,0.03561283
0,-0.07333239
0,-0.09533063
0,-0.02159459
0,-0.05316056
0,-0.02311746
0,-0.02166138
0,-0.06241440
0,-0.02567979
0,0.05892903
0,-0.00331749
0,-0.03616002
0,0.10982179
0,-0.04031902
0,-0.08332300
0,-0.04504455
0,-0.00763406
0,-0.04546958
0,-0.03354855
0,-0.00691114
0,-0.03269603
0,-0.06877927
0,-0.03241968
0,0.01443453
0,0.05701598
0,0.05203488
0,-0.03854964
0,-0.00764414
0,-0.06112332
0,0.07057493
0,-0.04617475
0,-0.05644884
0,-0.14500612
0,-0.09199485
0,0.03862777
0,-0.04692970
0,-0.03226983
0,-0.07286314
0,-0.02906178
0,-0.04938557
0,-0.02201241
0,-0.05211703
0,-0.07756460
0,-0.07056503
0,-0.04045483
0,0.05053845
0,-0.03614203
0,-0.03030828
0,-0.05793182
0,-0.05027604
0,-0.00777857
0,-0.03749075
0,-0.02385555
0,-0.01743129
0,-0.01742891
0,-0.00231895
0,-0.02609141
0,-0.06631098
0,-0.04546766
0,-0.00895905
0,-0.00693503
0,-0.01581143
0,-0.03683700
0,-0.00306634
0,0.00926113
0,-0.09531520
0,0.00882754
0,-0.08398017
0,0.00830163
0,-0.05017598
0,-0.06454495
0,-0.04885005
0,-0.09716781
0,-0.02997202
0,-0.03367558
0,-0.01459056
0,-0.04003238
0,-0.07143487
0,-0.07014719
0,-0.10395395
0,-0.02272963
0,0.00995839
0,-0.12118741
0,-0.08688774
0,-0.08463137
0,-0.09521350
0,-0.07658377
0,-0.06214303
0,-0.05097053
0,0.00547239
0,0.02585087
0,-0.02170467
0,-0.02833995
0,0.00169392
0,-0.08883654
0,-0.08972052
0,0.01045078
0,0.03997945
0,-0.01605427
