window,L_plus,L_minus,rel_gap
0,2.44851923e-04,8.69666110e-04,2.551804
1,4.98951704e-04,2.04503769e-03,3.098669
2,1.11228193e-03,1.03237748e-03,0.077398
3,2.45503121e-04,2.63544475e-03,9.734873
4,2.33824467e-04,2.92971800e-03,11.529561
5,4.72445536e-04,4.28050145e-04,0.103715
6,1.95829329e-04,3.12599528e-04,0.596286
7,2.94697442e-04,5.14213275e-03,16.448854
8,5.41070104e-03,5.44620678e-03,0.006562
9,3.29556921e-03,3.82075668e-03,0.159362
10,4.51513333e-04,1.10606030e-02,23.496736
11,1.49497995e-03,1.55061542e-03,0.037215
