window,alpha
0,-0.02520019
0,-0.09581085
0,-0.06519789
0,-0.10346585
0,-0.01962165
0,0.04565078
0,-0.04160468
0,-0.05223224
0,-0.04476671
0,-0.06421667
0,0.00078294
0,-0.13497934
0,-0.07526942
0,-0.07348274
0,-0.08305997
0,-0.11952829
0,-0.06883200
0,-0.03125533
0,-0.10076574
0,-0.07937404
0,0.02770341
0,-0.08191936
0,-0.11464281
0,-0.02655117
0,-0.06521802
0,0.00735274
0,-0.03420418
0,-0.07399032
0,-0.03366685
0,0.06160301
0,-0.00863350
0,-0.05858907
0,0.11714777
0,-0.04440540
0,-0.09536386
0,-0.05270424
0,-0.01470324
0,-0.05333734
0,-0.04171740
0,-0.01673441
0,-0.03531358
0,-0.08313158
0,-0.03650400
0,0.00939627
0,0.05713698
0,0.04442783
0,-0.04391657
0,-0.01323122
0,0.06826074
0,-0.05362962
0,-0.06337976
0,-0.11513957
0,-0.15762816
0,-0.10282234
0,0.03845905
0,-0.06076944
0,-0.03982750
0,-0.07852639
0,-0.03167229
0,-0.02580610
0,-0.05548919
0,-0.08332938
0,-0.07560354
0,-0.05177986
0,0.05499890
0,-0.04106554
0,-0.03522835
0,-0.05495004
0,-0.01517429
0,-0.04308302
0,-0.02759370
0,-0.02175425
0,-0.02054989
0,-0.00515844
0,-0.02128239
0,-0.03176562
0,-0.03061620
0,-0.07242572
0,-0.04823284
0,-0.01348981
0,-0.01058659
0,-0.02150048
0,-0.03833327
0,-0.00720878
0,0.00751984
0,-0.10227168
0,0.00205881
0,-0.09883773
0,0.00517617
0,-0.05826959
0,-0.07090242
0,-0.05109651
0,-0.10190263
0,-0.03300115
0,-0.03696713
0,-0.01703999
0,-0.04187736
0,-0.07695948
0,-0.08225352
0,-0.10964987
0,-0.02514203
0,0.05944946
0,0.00561553
0,-0.13821648
0,-0.09684793
0,-0.09043138
0,-0.10412870
0,-0.08550224
0,-0.06947809
0,-0.05837648
0,0.00228260
0,-0.02742497
0,-0.03802574
0,-0.00076339
0,-0.09583720
0,-0.09377956
0,-0.00109894
0,0.03799676
0,-0.01802726
0,-0.04383842
0,-0.02903761
0,0.02656003
0,-0.11223775
0,-0.03246666
0,-0.07640050
0,0.04659575
0,-0.06537600
0,-0.08200566
0,-0.02866741
0,-0.06811509
0,0.00202351
0,-0.07734390
0,-0.03214024
0,-0.01167966
0,-0.08150207
0,-0.05335521
0,-0.01708773
0,-0.04591085
0,-0.01973540
0,-0.09061741
0,-0.01030442
0,0.00552194
0,-0.01965885
0,-0.07389938
0,0.01107376
0,-0.00698228
0,-0.04500211
0,0.00227811
0,-0.06756070
0,-0.11394010
0,-0.00986404
0,-0.13798390
0,-0.07782159
0,-0.02151504
0,-0.01859438
0,-0.06046928
0,-0.01995060
0,-0.11015608
0,0.01500494
0,-0.03621759
0,0.00295976
0,-0.05320482
0,-0.00442444
0,-0.05797327
0,-0.10255317
0,-0.09595046
0,-0.05439864
0,-0.06311845
0,-0.08005188
0,-0.01982697
1,0.01135026
1,-0.02065245
1,0.02839696
1,0.02644189
1,-0.00013685
1,0.04165547
1,-0.01684934
1,-0.05504199
1,-0.03034967
1,-0.02689069
1,0.02052131
1,0.04713849
1,0.07246021
1,-0.03708297
1,-0.01044739
1,-0.01684880
1,-0.00651990
1,0.03513670
1,-0.00484850
1,-0.02512844
1,-0.00851507
1,0.07898679
1,0.05985303
1,0.02757759
1,0.01903285
1,0.08514068
1,0.01350117
1,-0.01550223
1,-0.00411958
1,-0.01938800
1,0.02171385
1,-0.00427226
1,0.00595740
1,-0.02470770
1,0.01530216
1,-0.00156940
1,0.00056929
1,-0.03518400
1,-0.00481427
1,0.04523417
1,0.04737209
1,0.01082892
1,-0.02477795
1,0.04048303
1,-0.00869718
1,0.02613288
1,0.00914007
