window,L_plus,L_minus,rel_gap
0,2.39143483e-04,8.94739351e-04,2.741433
1,5.07874240e-04,2.17423216e-03,3.281044
2,1.11633004e-03,1.14745414e-03,0.027881
3,2.41010348e-04,2.43048230e-03,9.084556
4,2.14691216e-04,3.18850623e-03,13.851592
5,4.27821244e-04,4.66228958e-04,0.089775
6,1.99553731e-04,3.24608001e-04,0.626670
7,3.10124335e-04,5.29803801e-03,16.083593
8,5.24235144e-03,5.53564169e-03,0.055946
9,3.73331294e-03,3.44189815e-03,0.084667
10,4.57014859e-04,1.16187688e-02,24.423175
11,1.52705272e-03,1.53777061e-03,0.007019
