spec,seed,pooled_sharpe,n_neg_windows,worst_window_sharpe,windows
E2,42,0.016,7,-2.65,+1.23 -0.55 +1.12 +1.35 -0.70 -2.07 +3.93 -1.72 +0.62 -0.91 -2.65 -0.20
E8,42,0.608,6,-2.47,+1.17 -0.52 +0.36 +1.30 -0.50 +2.08 +3.97 -1.81 -0.68 +0.81 -2.47 -0.20
PRANDOM,42,0.040,7,-2.67,+1.22 -0.58 -0.97 +1.17 -0.74 -2.09 +3.86 -1.83 +2.19 +0.82 -2.67 -0.55
PNOISY,42,0.086,6,-2.62,+1.24 -0.60 +0.79 +1.26 -0.60 -2.07 +3.93 -1.65 +0.95 -1.20 -2.62 +0.34
E2,43,0.097,7,-2.64,+1.17 -0.47 +0.89 +1.35 -0.70 -2.09 +3.91 -1.79 -0.66 +0.78 -2.64 -0.35
E8,43,0.566,6,-2.55,+1.12 -0.62 +0.75 +1.26 -0.50 +2.05 +4.00 -1.85 -1.42 -1.06 -2.55 +0.46
PRANDOM,43,0.555,5,-2.51,+1.17 -0.65 +0.86 +1.22 -0.67 +2.43 +3.97 -1.80 -0.75 +0.23 -2.51 +0.05
PNOISY,43,-0.038,8,-2.57,+1.18 -0.51 +0.92 +1.26 -0.56 -2.05 +3.94 -1.64 -0.68 -0.62 -2.57 -0.18
E2,44,0.400,8,-2.64,+1.21 -0.57 -1.46 +1.33 -0.68 +2.08 +3.98 -1.80 -0.70 -0.87 -2.64 -0.11
E8,44,0.423,8,-2.51,+1.15 -0.65 -0.82 +1.30 -0.57 +1.99 +3.88 -1.80 -0.57 -1.15 -2.51 -0.23
PRANDOM,44,0.628,6,-2.46,+1.22 -0.63 +1.48 +1.38 -0.78 +2.02 +3.90 -1.81 -0.91 +0.57 -2.46 -0.58
PNOISY,44,0.723,5,-2.53,+1.21 -0.38 +0.82 +1.26 -0.55 +2.04 +3.95 -1.79 -0.50 +1.13 -2.53 +0.03
