market,spec,benchmark,rms_deep_pct,rms_bench_pct,diff_pp,ci_lo,ci_hi,p_diff_le0,p_diff_ge0,n_windows
IR,E2,Market,6.1126,5.7751,0.4165,-0.9498,2.0223,0.3459,0.6541,12
IR,E2,q-factor,6.1126,7.0858,-0.8755,-3.3039,1.7078,0.7347,0.2653,12
IR,E2,LASSO,6.1126,7.299,-1.2192,-4.0982,0.7045,0.6546,0.3454,12
IR,E2,PCA(5),6.1126,5.8291,0.3712,-1.113,2.454,0.3878,0.6122,12
IR,E2,Linear SDF (SY),6.1126,8.5392,-2.3489,-4.8026,-0.0207,0.9766,0.0234,12
IR,E2,Linear SDF (all),6.1126,8.8916,-2.6737,-5.1202,-0.5678,0.9991,0.0009,12
IR,E3,Market,5.8564,5.7751,0.1478,-1.0315,1.4756,0.4377,0.5623,12
IR,E3,q-factor,5.8564,7.0858,-1.1441,-3.4244,1.1897,0.8163,0.1837,12
IR,E3,LASSO,5.8564,7.299,-1.4878,-4.2587,0.4936,0.7202,0.2798,12
IR,E3,PCA(5),5.8564,5.8291,0.1026,-1.1802,1.9422,0.4799,0.5201,12
IR,E3,Linear SDF (SY),5.8564,8.5392,-2.6175,-4.956,-0.2885,0.9928,0.0072,12
IR,E3,Linear SDF (all),5.8564,8.8916,-2.9423,-5.365,-0.8782,0.9997,0.0003,12
IR,E4A,Market,5.9373,5.7751,0.2344,-0.9231,1.5815,0.4032,0.5968,12
IR,E4A,q-factor,5.9373,7.0858,-1.0576,-3.3784,1.3284,0.7863,0.2137,12
IR,E4A,LASSO,5.9373,7.299,-1.4012,-4.1672,0.6025,0.6615,0.3385,12
IR,E4A,PCA(5),5.9373,5.8291,0.1892,-1.1058,1.9807,0.4487,0.5513,12
IR,E4A,Linear SDF (SY),5.9373,8.5392,-2.5309,-4.9387,-0.1977,0.9897,0.0103,12
IR,E4A,Linear SDF (all),5.9373,8.8916,-2.8557,-5.2457,-0.8288,1.0,0.0,12
IR,E4B,Market,6.0331,5.7751,0.3364,-0.9144,1.7795,0.3525,0.6475,12
IR,E4B,q-factor,6.0331,7.0858,-0.9556,-3.406,1.6048,0.7535,0.2465,12
IR,E4B,LASSO,6.0331,7.299,-1.2993,-4.1748,0.6836,0.6543,0.3457,12
IR,E4B,PCA(5),6.0331,5.8291,0.2911,-1.0798,2.2157,0.4069,0.5931,12
IR,E4B,Linear SDF (SY),6.0331,8.5392,-2.429,-4.8074,-0.115,0.983,0.017,12
IR,E4B,Linear SDF (all),6.0331,8.8916,-2.7538,-5.1782,-0.7084,0.9998,0.0002,12
IR,E5A,Market,6.0121,5.7751,0.3137,-0.9015,1.7866,0.3758,0.6242,12
IR,E5A,q-factor,6.0121,7.0858,-0.9782,-3.4019,1.5683,0.7615,0.2385,12
IR,E5A,LASSO,6.0121,7.299,-1.3219,-4.1899,0.6919,0.6407,0.3593,12
IR,E5A,PCA(5),6.0121,5.8291,0.2685,-1.1148,2.1914,0.4181,0.5819,12
IR,E5A,Linear SDF (SY),6.0121,8.5392,-2.4516,-4.9267,-0.0849,0.9818,0.0182,12
IR,E5A,Linear SDF (all),6.0121,8.8916,-2.7764,-5.1904,-0.7222,1.0,0.0,12
IR,E5B,Market,5.9274,5.7751,0.2251,-0.9096,1.5209,0.3924,0.6076,12
IR,E5B,q-factor,5.9274,7.0858,-1.0668,-3.2826,1.2315,0.7983,0.2017,12
IR,E5B,LASSO,5.9274,7.299,-1.4105,-3.974,0.5284,0.6987,0.3013,12
IR,E5B,PCA(5),5.9274,5.8291,0.1799,-1.0832,1.933,0.4416,0.5584,12
IR,E5B,Linear SDF (SY),5.9274,8.5392,-2.5402,-4.8909,-0.2574,0.9906,0.0094,12
IR,E5B,Linear SDF (all),5.9274,8.8916,-2.865,-5.3089,-0.8282,0.9995,0.0005,12
IR,E8,Market,6.0756,5.7751,0.3615,-0.7769,1.5002,0.293,0.707,12
IR,E8,q-factor,6.0756,7.0858,-0.9304,-2.7524,1.1513,0.8059,0.1941,12
IR,E8,LASSO,6.0756,7.299,-1.2741,-3.5673,0.609,0.7396,0.2604,12
IR,E8,PCA(5),6.0756,5.8291,0.3163,-0.9024,1.9432,0.382,0.618,12
IR,E8,Linear SDF (SY),6.0756,8.5392,-2.4038,-4.674,-0.2755,0.992,0.008,12
IR,E8,Linear SDF (all),6.0756,8.8916,-2.7286,-5.19,-0.5301,0.9961,0.0039,12
IR,E8B,Market,5.911,5.7751,0.2003,-1.011,1.6134,0.4243,0.5757,12
IR,E8B,q-factor,5.911,7.0858,-1.0917,-3.4239,1.3974,0.7902,0.2098,12
IR,E8B,LASSO,5.911,7.299,-1.4354,-4.2625,0.5363,0.6916,0.3084,12
IR,E8B,PCA(5),5.911,5.8291,0.155,-1.1736,2.0239,0.4675,0.5325,12
IR,E8B,Linear SDF (SY),5.911,8.5392,-2.5651,-4.9969,-0.2105,0.9879,0.0121,12
IR,E8B,Linear SDF (all),5.911,8.8916,-2.8899,-5.2495,-0.809,0.9998,0.0002,12
