window,alpha
0,-0.02713763
0,-0.09650248
0,-0.06571743
0,-0.10273751
0,-0.01857780
0,0.04540576
0,-0.04078827
0,-0.05540699
0,-0.04401549
0,-0.06458607
0,0.00032217
0,-0.13493456
0,-0.07564042
0,-0.07426644
0,-0.03473150
0,-0.08538952
0,-0.11972719
0,-0.07360072
0,-0.03299296
0,-0.10207820
0,-0.07989071
0,0.02572931
0,-0.08302008
0,-0.11592553
0,-0.02646440
0,-0.06975658
0,0.00743612
0,-0.03477550
0,-0.02979433
0,-0.07455537
0,-0.03425023
0,0.06133154
0,-0.00829964
0,-0.06105686
0,0.11785951
0,-0.04530928
0,-0.09680617
0,-0.05524173
0,-0.01515343
0,-0.05562085
0,-0.04445626
0,-0.01959340
0,-0.03654214
0,-0.08668777
0,-0.03743342
0,0.00819498
0,0.05602607
0,0.04387384
0,-0.04619170
0,-0.01502190
0,-0.07238027
0,0.06753508
0,-0.05580472
0,-0.06528432
0,-0.02111072
0,-0.11844748
0,-0.15792471
0,-0.10496313
0,0.03740563
0,-0.06211562
0,-0.04099871
0,-0.07949436
0,-0.03143195
0,-0.05566048
0,-0.02601963
0,-0.05658120
0,-0.08427612
0,-0.07646856
0,-0.05347642
0,0.05523604
0,-0.04302241
0,-0.03594374
0,-0.06766672
0,-0.05551422
0,-0.01533354
0,-0.04363139
0,-0.02847919
0,-0.02257499
0,-0.02202867
0,-0.00493707
0,-0.02166528
0,-0.03145381
0,-0.03211679
0,-0.07309773
0,-0.04788931
0,-0.01434404
0,-0.01154860
0,-0.02214237
0,-0.03756726
0,-0.00716069
0,0.00632523
0,-0.10094962
0,0.00171761
0,-0.10012782
0,0.00473015
0,-0.05912753
0,-0.07186089
0,-0.05117967
0,-0.10160659
0,-0.03301578
0,-0.03741767
0,-0.01748081
0,-0.04109135
0,-0.07710650
0,-0.08443034
0,-0.10897300
0,-0.02505598
0,0.05809072
0,0.00728492
0,-0.13861464
0,-0.09675007
0,-0.09038416
0,-0.10279533
0,-0.08595651
0,-0.06982264
0,-0.05756622
0,0.00190134
0,0.02437344
0,-0.02646713
0,-0.03738235
0,-0.00128935
0,-0.09394734
0,-0.09496950
0,-0.00238033
0,0.03883354
0,-0.01769398
0,-0.04393989
0,-0.02798328
0,0.02511657
0,-0.11153694
0,-0.03434944
0,-0.04699656
0,-0.07505090
0,0.04556853
0,-0.06485373
0,-0.08256274
0,-0.02896685
0,-0.06784339
0,0.00071239
0,-0.07751899
0,-0.03107391
0,-0.01144841
0,-0.08072794
0,-0.05248843
0,-0.01741750
0,-0.04527073
0,-0.01941089
0,-0.09045014
0,-0.01040540
0,0.05044537
0,0.00513332
0,-0.01913586
0,-0.07576689
0,0.01016941
0,-0.00945108
0,-0.04632071
0,0.00332688
0,-0.06682865
0,-0.11459645
0,-0.01004273
0,-0.13895339
0,-0.08079838
0,-0.02260920
0,-0.02360441
0,-0.06125981
0,-0.02017909
0,-0.11150205
0,0.01352365
0,-0.03872044
0,0.00317873
0,-0.05429791
0,-0.00573864
0,-0.05916930
0,-0.07954774
0,-0.10007400
0,-0.10043596
0,-0.05434756
0,-0.06529439
0,-0.08607618
0,-0.03706702
0,-0.02054196
1,0.01572710
1,-0.01967392
1,0.02829038
1,0.02636262
1,0.00065246
1,0.04171859
1,-0.01641092
1,-0.05359391
1,-0.02816848
1,-0.02395632
1,0.02324371
1,0.04777893
1,0.07470909
1,-0.03527392
1,-0.00873207
1,-0.01615613
1,-0.00448297
1,0.03874320
1,0.00052051
1,-0.02366891
1,-0.00655982
1,0.08003229
1,0.05897812
1,0.02900749
1,0.00016410
1,0.01915441
1,0.08885426
1,0.01585432
1,-0.01301247
1,-0.00301734
1,-0.01762204
1,0.02514029
1,-0.00378885
1,0.00807215
1,-0.02270030
1,0.01727718
1,-0.00099769
1,0.00181865
1,-0.03496889
1,-0.00205717
1,0.04590138
1,0.04951708
1,0.01097849
1,-0.02456544
1,0.04078364
1,0.02187034
1,0.02384593
1,-0.00866514
1,0.02707887
1,0.01024510
1,0.01174578
1,-0.00022125
1,-0.00674164
1,-0.00966566
1,-0.02988154
1,-0.00550037
1,-0.01502195
1,-0.04242445
1,-0.03351524
1,0.01259974
1,0.03208991
1,0.01765816
1,0.00888107
1,0.01363984
1,-0.04762703
1,-0.00016444
1,-0.04387769
1,0.02734725
1,-0.02464087
1,-0.02262859
1,-0.03423613
1,-0.05103156
1,-0.02594106
1,-0.03633657
1,-0.03224412
1,-0.06057866
1,-0.06156952
1,-0.08832427
1,-0.04125767
1,0.00402442
1,-0.00690307
1,-0.05840054
1,-0.01295326
1,-0.00703139
1,-0.02660341
1,-0.01606926
1,-0.02670637
1,-0.06515843
1,-0.07129291
1,-0.07893214
1,0.01683158
1,-0.02688815
1,-0.02583169
1,0.00455299
1,0.01191558
1,-0.00595172
1,-0.02698123
1,-0.05122744
1,0.00473147
1,-0.02688656
1,-0.05387455
1,-0.03442204
1,-0.00985098
1,-0.03841624
1,0.02086225
1,0.01773628
1,-0.01642310
1,-0.01293927
1,-0.02827026
1,-0.00044661
1,0.03960173
1,-0.05751392
1,0.00612231
1,-0.03805945
1,0.07283521
1,-0.02709179
1,-0.03806834
1,-0.01180437
1,0.01233417
1,0.02242734
1,-0.02525199
1,0.00217867
1,-0.00520120
1,-0.00850116
1,-0.03284057
1,0.01484062
1,0.01275131
1,0.03392792
1,0.01145639
1,0.01676648
1,-0.04764407
1,0.01448998
1,0.00750666
1,-0.01483025
1,-0.01493165
1,-0.02829790
1,-0.05752319
1,-0.07987971
1,-0.04660277
1,-0.05787152
1,-0.01580723
1,0.01029512
1,-0.04833292
1,-0.03129851
1,-0.03972204
1,-0.03051154
1,-0.02282938
1,-0.08120681
1,-0.03611438
1,-0.07544691
1,-0.08039686
1,-0.02868813
1,-0.10313559
1,-0.06101321
1,-0.03837876
1,-0.04929990
1,-0.01440010
1,0.00593869
1,-0.05350398
1,0.01586968
1,-0.01253983
1,0.00150566
1,-0.01444241
1,-0.00721923
1,-0.02624086
1,0.01728273
1,-0.02174614
1,-0.01927962
1,0.00078118
1,0.03240231
1,-0.02902750
1,-0.02895566
1,-0.06543459
1,-0.07280594
1,-0.01677165
1,-0.06751776
1,0.02912344
1,-0.05507371
1,-0.00991629
1,-0.00691572
1,-0.06741694
1,-0.02800572
1,-0.04112816
1,-0.03280669
1,-0.02050360
1,-0.05268274
1,-0.01964118
1,-0.00613975
1,-0.05786149
1,-0.01377630
1,-0.01330872
1,-0.04014043
1,-0.02777549
2,-0.01886995
2,0.02196713
2,0.05264086
2,0.05671254
2,-0.00379709
2,-0.00964867
2,0.04203190
2,0.02864911
2,0.03843692
2,-0.00643761
2,-0.01005083
2,-0.01209773
2,0.00211317
2,-0.01221392
2,0.01557854
2,0.00931103
2,0.05685888
2,-0.02848847
2,0.02989893
2,0.00013812
2,0.01976124
2,-0.00092184
2,0.10650080
2,0.04638307
2,-0.01403181
2,0.04317278
2,0.05693465
2,0.04752843
2,0.09347606
2,0.05528050
2,0.00852920
2,-0.02099499
2,0.04441505
2,0.07519082
2,0.04761769
2,-0.01479890
2,0.01406271
2,0.03650430
2,0.04941308
2,0.06350160
2,0.03463821
2,-0.00347639
2,0.00874372
2,0.03264266
2,0.01886108
2,0.06152890
2,0.00239279
2,0.06702460
2,0.03704894
2,-0.03593395
2,0.02433156
2,0.04065830
2,0.06947859
2,-0.01347114
2,0.09416837
2,0.03933184
2,0.04057334
2,0.07698188
2,0.00762762
2,0.01428194
2,-0.00592393
2,0.01843663
2,0.02196956
2,0.02892864
2,0.06458800
2,0.00796609
2,-0.01423467
2,-0.01656590
2,-0.03966061
2,-0.03183223
2,-0.07725275
2,-0.01101172
2,-0.00240483
2,-0.02094848
2,0.04706527
2,0.00313430
2,-0.03130506
2,-0.00120684
2,-0.00841629
2,-0.02436138
2,-0.04619117
2,-0.02568897
2,-0.01569447
2,-0.01191617
2,-0.06111796
2,-0.01735852
2,-0.03857999
2,-0.00460579
2,-0.02792842
2,0.00403949
2,-0.03312853
2,-0.00364410
2,0.00991286
2,-0.01751162
2,-0.02635176
2,-0.00747872
2,0.09446442
2,0.05926332
2,-0.01546754
2,0.00313954
2,-0.01113137
2,-0.01427412
2,0.03782624
2,-0.00172657
2,-0.00511456
2,0.01462554
2,0.05883302
2,-0.02770210
2,0.02108493
2,-0.00194654
2,0.02320354
2,0.00927551
2,0.04522784
2,-0.01787462
2,-0.00545196
2,-0.01517977
2,0.00671233
2,0.00415668
2,0.03481080
2,-0.01025271
2,0.03556439
2,-0.00696877
2,0.05966120
2,0.05245136
2,0.00411729
2,0.00722898
2,0.02036546
2,0.05472263
2,0.15417635
2,-0.02445201
2,0.01984989
2,0.08219694
2,-0.05538763
2,-0.04071868
2,0.03158741
2,0.04266629
2,0.02147290
2,0.04939662
2,-0.03546225
2,-0.00559527
2,0.10551263
2,-0.00845932
2,-0.00682656
2,0.01347169
2,0.01906634
2,0.01705439
2,0.07276538
2,0.06812541
2,0.04504346
2,0.03287091
2,-0.00832150
2,0.05582920
2,0.03974204
2,0.00580513
2,0.03984379
2,0.01023700
2,-0.00070208
2,0.04637358
2,0.00006828
2,0.00288451
2,-0.01650708
2,0.03322292
2,-0.00930218
2,-0.02998414
2,0.02070869
2,-0.04891992
2,0.01372695
2,-0.01287095
2,0.04781102
2,0.03091945
2,-0.00980503
2,0.05924505
2,0.04499013
2,0.01241539
2,0.01897923
2,0.00347056
2,0.02770282
2,0.05483249
2,-0.00586369
2,-0.01523672
2,0.03714308
2,-0.00712235
2,-0.03340120
2,0.03522796
2,-0.03128347
2,-0.00845290
2,-0.00996916
2,0.00905515
2,-0.01241102
2,0.02374261
2,-0.00779959
2,0.03466402
2,-0.00004760
2,-0.01536238
2,-0.01531642
3,0.04194443
3,-0.00741697
3,0.04513464
3,0.00545974
3,0.02900006
3,0.01643004
3,-0.01455391
3,0.05315591
3,0.01687895
3,-0.00572869
3,0.01755108
3,0.04988448
3,-0.01655775
3,0.01607338
3,-0.03093458
3,-0.00447229
3,-0.01407256
3,-0.02497757
3,0.00099086
3,-0.02775822
3,-0.01644531
3,-0.00009762
3,0.00963792
3,-0.04127295
3,-0.02095275
3,-0.00426254
3,-0.02339784
3,-0.06028000
3,-0.03520689
3,-0.03053697
3,0.00527021
3,-0.03041696
3,0.06318850
3,0.01972097
3,-0.03459092
3,-0.04189617
3,-0.04115361
3,0.01460708
3,0.04513826
3,-0.03683336
3,-0.03997820
3,0.04213221
3,-0.02566133
3,0.00446384
3,0.00294089
3,-0.02874588
3,-0.01216202
3,0.00383248
3,-0.01917063
3,-0.01554950
3,-0.00781243
3,-0.00277041
3,-0.00010871
3,0.02135764
3,0.00965048
3,0.02539344
3,0.03757491
3,0.08091947
