window,L_plus,L_minus,rel_gap
0,2.39374014e-04,8.69980140e-04,2.634397
1,5.51386096e-04,1.97771797e-03,2.586811
2,1.08655076e-03,1.11852062e-03,0.029423
3,2.28976336e-04,2.39099935e-03,9.442124
4,2.32725986e-04,3.05430684e-03,12.124047
5,4.25928534e-04,4.76395624e-04,0.118487
6,2.00617011e-04,3.05120426e-04,0.520910
7,3.00952146e-04,5.16217295e-03,16.152803
8,5.28173801e-03,5.44857001e-03,0.031587
9,3.29717784e-03,3.74835380e-03,0.136837
10,4.49770596e-04,1.16767641e-02,24.961600
11,1.19073491e-03,1.88808306e-03,0.585645
