window,alpha
0,-0.02256921
0,-0.09132528
0,-0.05773136
0,-0.09318808
0,-0.01683115
0,0.04622617
0,-0.03185716
0,-0.03807149
0,-0.04148924
0,-0.05789512
0,0.00182365
0,-0.12908238
0,-0.06823651
0,-0.06914142
0,-0.03025042
0,-0.07386383
0,-0.11025369
0,-0.05883811
0,-0.01812395
0,-0.09382840
0,-0.06604918
0,0.03518164
0,-0.07368989
0,-0.09811005
0,-0.02114305
0,-0.05257997
0,0.00764052
0,-0.02567101
0,-0.02109100
0,-0.06358730
0,-0.02521383
0,0.06417138
0,-0.00372316
0,-0.04018324
0,0.11744425
0,-0.03877886
0,-0.08546632
0,-0.04686351
0,-0.00818055
0,-0.04871654
0,-0.03703005
0,-0.01124176
0,-0.03405318
0,-0.07365876
0,-0.03367009
0,0.01360540
0,0.05836004
0,0.05329075
0,-0.04028039
0,-0.00887024
0,-0.06396673
0,0.06958142
0,-0.04621345
0,-0.05643368
0,-0.01501059
0,-0.10590189
0,-0.15068632
0,-0.09526923
0,0.03950693
0,-0.05088755
0,-0.03593799
0,-0.07517893
0,-0.02980704
0,-0.05123201
0,-0.02366023
0,-0.05404100
0,-0.07895610
0,-0.07152169
0,-0.04160739
0,0.05445569
0,-0.03752052
0,-0.03185922
0,-0.05915759
0,-0.05221901
0,-0.00835012
0,-0.03834577
0,-0.02488730
0,-0.01877711
0,-0.01784636
0,-0.00313751
0,-0.01907960
0,-0.02985310
0,-0.02736819
0,-0.06793354
0,-0.04619028
0,-0.01121525
0,-0.00704799
0,-0.01821359
0,-0.03816332
0,-0.00470568
0,0.00829142
0,-0.09908661
0,0.00478162
0,-0.08955419
0,0.00617396
0,-0.05232947
0,-0.06688119
0,-0.05069556
0,-0.09994102
0,-0.03256604
0,-0.03694697
0,-0.01561835
0,-0.04136647
0,-0.07282373
0,-0.07431413
0,-0.10793328
0,-0.02369150
0,0.06063567
0,0.00943406
0,-0.12518752
0,-0.08971322
0,-0.08776579
0,-0.09758153
0,-0.08053926
0,-0.06558209
