window,L_plus,L_minus,rel_gap
0,2.47288204e-04,8.79625615e-04,2.557087
1,5.52848738e-04,2.02172762e-03,2.656927
2,1.07328512e-03,1.09815365e-03,0.023170
3,2.49549397e-04,2.55525671e-03,9.239483
4,2.37995861e-04,3.05781770e-03,11.848197
5,4.37404582e-04,4.61595570e-04,0.055306
6,1.98812355e-04,3.20133753e-04,0.610231
7,3.09101364e-04,5.38945431e-03,16.435880
8,5.42482641e-03,5.34962025e-03,0.014058
9,3.58730531e-03,3.49428132e-03,0.026622
10,5.11958613e-04,1.27825048e-02,23.967848
11,1.65200466e-03,1.45243539e-03,0.137403
